pos,step_decoded,conf_decoded,token_id,token_str
41,0,0.53515625,18990,Welcome
42,1,0.97265625,297,Ġto
51,2,0.88671875,313,st
48,3,1.0,220,Ġ
49,4,1.0,17,2
50,5,1.0,16,1
45,6,0.99609375,2291,ush
44,7,1.0,49,R
46,8,1.0,35432,ĠHour
47,9,1.0,11,","
52,10,1.0,29356,ĠCentury
43,11,0.76953125,689,Ġ'
53,12,0.486328125,1341,"',"
54,13,0.396484375,289,Ġan
55,14,0.42578125,56577,Ġimmersive
56,15,0.6484375,11043,Ġaudio
58,16,0.85546875,378,Ġthat
57,17,0.5234375,21908,Ġexhibit
60,18,0.4609375,362,Ġyou
59,19,0.5625,5087,Ġtakes
62,20,0.84375,259,Ġa
61,21,0.98046875,366,Ġon
63,22,0.8984375,8510,Ġjourney
64,23,0.87890625,1352,Ġthrough
65,24,0.84765625,268,Ġthe
67,25,0.51171875,300,Ġof
69,26,0.48046875,11649,Ġcities
70,27,0.7109375,13,.
68,28,0.6796875,82510,Ġextinct
66,29,0.6171875,10277,Ġsounds
71,30,0.4609375,1965,ĠAs
72,31,0.75390625,362,Ġyou
75,32,0.4609375,268,Ġthe
74,33,0.5,1352,Ġthrough
73,34,0.427734375,53767,Ġwander
77,35,0.2734375,11,","
76,36,0.8515625,21908,Ġexhibit
78,37,0.71875,362,Ġyou
79,38,0.6640625,4164,'ll
80,39,0.4453125,6413,Ġhear
81,40,0.84375,268,Ġthe
83,41,0.375,300,Ġof
82,42,0.828125,84377,Ġechoes
86,43,0.2431640625,11,","
87,44,0.478515625,268,Ġthe
85,45,0.4453125,17223,Ġstreets
84,46,0.42578125,88190,Ġbustling
88,47,0.23828125,2851,Ġhum
89,48,0.99609375,300,Ġof
91,49,0.4765625,11,","
93,50,0.90234375,268,Ġthe
92,51,1.0,301,Ġand
90,52,0.734375,8727,Ġtraffic
94,53,0.65625,28709,Ġdistant
96,54,0.6953125,300,Ġof
95,55,0.1953125,95808,Ġchatter
97,56,0.828125,1255,Ġpeople
98,57,0.1884765625,11,","
99,58,0.73046875,654,Ġall
102,59,0.203125,268,Ġthe
104,60,0.380859375,300,Ġof
103,61,0.326171875,24545,Ġsilence
101,62,0.310546875,296,Ġin
100,63,0.259765625,6040,Ġlost
108,64,0.349609375,198,Ċ
107,65,0.609375,198,Ċ
106,66,1.0,13,.
105,67,0.8046875,898,Ġtime
110,68,0.265625,268,Ġthe
112,69,0.318359375,300,Ġof
111,70,0.251953125,10277,Ġsounds
109,71,0.447265625,37968,Experience
113,72,0.189453125,14825,Ġancient
115,73,0.482421875,11,","
114,74,0.59765625,21924,ĠRome
117,75,0.5234375,268,Ġthe
116,76,0.69921875,1387,Ġwhere
119,77,0.37109375,300,Ġof
118,78,0.361328125,94189,Ġroar
120,79,0.36328125,268,Ġthe
122,80,0.6015625,102449,osse
123,81,1.0,416,um
121,82,0.96484375,2554,ĠCol
125,83,0.61328125,268,Ġthe
124,84,0.92578125,301,Ġand
127,85,0.404296875,300,Ġof
128,86,0.33203125,268,Ġthe
126,87,0.3828125,95808,Ġchatter
129,88,0.43359375,38503,Ġcrowds
130,89,0.46484375,2111,Ġstill
133,90,0.37890625,268,Ġthe
135,91,0.66796875,13,.
134,92,0.82421875,3662,Ġair
131,93,0.74609375,65132,Ġlinger
132,94,0.99609375,296,Ġin
136,95,0.3046875,36350,ĠListen
138,96,0.984375,268,Ġthe
137,97,0.98046875,297,Ġto
140,98,0.5859375,300,Ġof
141,99,0.30859375,268,Ġthe
144,100,0.32421875,11,","
146,101,0.66015625,268,Ġthe
145,102,0.80078125,1387,Ġwhere
148,103,0.46875,300,Ġof
149,104,0.34765625,268,Ġthe
151,105,0.455078125,301,Ġand
152,106,0.95703125,268,Ġthe
139,107,0.33984375,10277,Ġsounds
147,108,0.466796875,94189,Ġroar
150,109,0.39453125,20628,Ġengines
142,110,0.5703125,23496,ĠIndustrial
143,111,0.98828125,26346,ĠRevolution
153,112,0.625,682,Ġcl
155,113,0.98828125,300,Ġof
156,114,0.77734375,268,Ġthe
154,115,0.8515625,4055,atter
158,116,0.365234375,2111,Ġstill
157,117,0.81640625,28999,Ġmachinery
159,118,0.421875,8119,Ġecho
161,119,0.859375,268,Ġthe
160,120,0.8203125,1352,Ġthrough
163,121,0.51171875,13,.
165,122,0.458984375,198,Ċ
164,123,0.99609375,198,Ċ
166,124,0.7109375,2441,As
167,125,0.8671875,362,Ġyou
