pos,step_decoded,conf_decoded,token_id,token_str
49,0,0.490234375,23224,Ġvisitor
48,1,0.84765625,678,The
50,2,0.140625,698,'s
52,3,0.2373046875,341,Ġis
51,4,0.423828125,18185,Ġobservation
53,5,0.279296875,259,Ġa
54,6,0.859375,90402,Ġpoignant
55,7,0.77734375,26103,Ġreminder
56,8,0.58203125,378,Ġthat
57,9,0.14453125,869,Ġour
58,10,0.294921875,3379,Ġpersonal
59,11,0.74609375,52671,Ġhistories
60,12,0.3828125,11,","
61,13,0.318359375,1029,Ġlike
62,14,0.55078125,268,Ġthe
63,15,0.193359375,87683,Ġscents
66,16,0.400390625,11,","
67,17,0.8203125,449,Ġare
64,18,0.65234375,438,Ġwe
65,19,0.3828125,6965,Ġcarry
68,20,0.34765625,3327,Ġoften
70,21,0.279296875,301,Ġand
69,22,0.224609375,4858,Ġunique
71,23,0.1484375,3379,Ġpersonal
72,24,0.45703125,13,.
73,25,0.423828125,468,ĠThe
74,26,0.83984375,17081,Ġmuseum
75,27,0.55859375,698,'s
76,28,0.4296875,6049,Ġcollection
78,29,0.5234375,1816,Ġwhile
77,30,1.0,11,","
79,31,0.185546875,9765,Ġrich
80,32,0.4921875,296,Ġin
83,33,0.53515625,11,","
81,34,0.5546875,12364,Ġhistorical
82,35,0.62109375,18350,Ġsignificance
86,36,0.458984375,13509,Ġcapture
87,37,0.9765625,268,Ġthe
85,38,0.69921875,6749,Ġfully
84,39,1.0,4331,Ġcannot
88,40,0.41015625,27472,Ġessence
89,41,0.98828125,300,Ġof
91,42,0.82421875,3182,Ġindividual
92,43,0.9609375,698,'s
93,44,0.6328125,3261,Ġpast
94,45,0.64453125,11,","
90,46,0.484375,289,Ġan
95,47,0.34765625,818,Ġwhich
96,48,0.875,341,Ġis
97,49,0.291015625,409,Ġas
99,50,0.65234375,301,Ġand
101,51,0.69140625,409,Ġas
102,52,0.59375,268,Ġthe
98,53,0.2890625,11079,Ġdistinct
100,54,0.35546875,3379,Ġpersonal
103,55,0.3671875,37264,Ġscent
111,56,0.99609375,126081,<|endoftext|>
110,57,0.8671875,126348,<|eot_id|>
109,58,1.0,13,.
104,59,0.46875,300,Ġof
105,60,0.275390625,259,Ġa
107,61,0.31640625,698,'s
106,62,0.7421875,1728,Ġperson
108,63,0.130859375,62118,Ġperfume
