pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.30078125,678,The
37,1,0.5,4231,Ġcity
38,2,0.12353515625,11,","
39,3,0.5,3779,Ġonce
40,4,0.6484375,259,Ġa
41,5,0.70703125,88190,Ġbustling
42,6,0.80078125,96247,Ġmetropolis
43,7,0.890625,11,","
44,8,0.310546875,1550,Ġnow
46,9,0.431640625,1029,Ġlike
47,10,0.66796875,259,Ġa
45,11,0.40234375,6561,Ġfelt
49,12,0.212890625,300,Ġof
48,13,0.30078125,10473,Ġsea
51,14,0.328125,13,.
50,15,0.73828125,16919,Ġmemories
52,16,0.279296875,1965,ĠAs
53,17,0.494140625,268,Ġthe
54,18,0.57421875,6326,Ġsun
56,19,0.41796875,3781,Ġbelow
55,20,1.0,79951,Ġdipped
57,21,0.88671875,268,Ġthe
58,22,0.98828125,31022,Ġhorizon
59,23,0.96484375,11,","
60,24,0.640625,34315,Ġcasting
61,25,0.65234375,259,Ġa
62,26,0.8125,7524,Ġwarm
65,27,0.54296875,268,Ġthe
63,28,0.96484375,26829,Ġglow
64,29,0.8359375,997,Ġover
67,30,0.5625,11,","
66,31,0.48046875,17223,Ġstreets
68,32,0.39453125,268,Ġthe
69,33,0.263671875,3662,Ġair
72,34,0.671875,391,Ġwith
73,35,0.6796875,268,Ġthe
71,36,0.6796875,10256,Ġthick
75,37,0.77734375,300,Ġof
70,38,0.76953125,14296,Ġgrew
74,39,0.44921875,37264,Ġscent
78,40,0.32421875,301,Ġand
79,41,0.609375,268,Ġthe
81,42,0.515625,300,Ġof
80,43,0.28125,84377,Ġechoes
76,44,0.294921875,2622,Ġold
77,45,0.197265625,5732,Ġbooks
82,46,0.302734375,41305,Ġlaughter
83,47,0.5390625,13,.
84,48,0.2490234375,8550,ĠPeople
89,49,0.169921875,11,","
91,50,0.373046875,15319,Ġfaces
90,51,0.98828125,802,Ġtheir
87,52,0.18359375,296,Ġin
86,53,0.70703125,22123,Ġfrozen
85,54,0.92578125,15840,Ġstood
88,55,0.71484375,898,Ġtime
92,56,0.458984375,106668,Ġetched
93,57,0.82421875,391,Ġwith
94,58,0.703125,268,Ġthe
96,59,0.7890625,300,Ġof
99,60,0.26171875,13,.
98,61,0.53125,3261,Ġpast
97,62,0.380859375,802,Ġtheir
95,63,0.1201171875,6039,Ġlines
100,64,0.28515625,13541,ĠChildren
101,65,0.388671875,7372,Ġplayed
102,66,0.4921875,296,Ġin
103,67,0.65625,268,Ġthe
105,68,0.75,11,","
104,69,0.8203125,6896,Ġpark
106,70,0.73828125,802,Ġtheir
107,71,0.328125,41305,Ġlaughter
108,72,0.337890625,1550,Ġnow
109,73,0.66015625,259,Ġa
110,74,0.62109375,28709,Ġdistant
112,75,0.54296875,11,","
113,76,0.69140625,1816,Ġwhile
111,77,0.5234375,6306,Ġmemory
114,78,0.236328125,25329,Ġelderly
115,79,0.6953125,23012,Ġcouples
119,80,0.494140625,1759,Ġhand
116,81,0.8515625,15095,Ġwalked
117,82,0.99609375,1759,Ġhand
118,83,1.0,296,Ġin
120,84,0.9453125,11,","
121,85,0.76953125,802,Ġtheir
122,86,0.443359375,6405,Ġeyes
124,87,0.45703125,391,Ġwith
123,88,0.78515625,10604,Ġfilled
125,89,0.66796875,268,Ġthe
127,90,0.82421875,300,Ġof
130,91,0.3359375,13,.
131,92,0.353515625,468,ĠThe
129,93,0.310546875,12078,Ġyouth
128,94,0.96875,802,Ġtheir
126,95,0.2255859375,2318,Ġlove
132,96,0.38671875,4231,Ġcity
133,97,0.3046875,698,'s
135,98,0.23046875,11,","
136,99,0.458984375,3779,Ġonce
137,100,0.4140625,259,Ġa
139,101,0.50390625,300,Ġof
141,102,0.384765625,301,Ġand
143,103,0.89453125,11,","
144,104,0.458984375,1550,Ġnow
146,105,0.287109375,1029,Ġlike
145,106,0.7734375,6561,Ġfelt
147,107,0.734375,259,Ġa
138,108,0.291015625,21214,Ġhub
140,109,0.5390625,5367,Ġactivity
134,110,0.294921875,17223,Ġstreets
142,111,0.267578125,3805,Ġenergy
149,112,0.3046875,300,Ġof
152,113,0.220703125,13,.
153,114,0.296875,468,ĠThe
150,115,0.326171875,25149,Ġforgotten
151,116,0.6875,13475,Ġmoments
148,117,0.2119140625,17081,Ġmuseum
155,118,0.181640625,300,Ġof
154,119,0.28515625,10277,Ġsounds
156,120,0.37109375,268,Ġthe
157,121,0.458984375,4231,Ġcity
158,122,0.275390625,11,","
159,123,0.4921875,3779,Ġonce
160,124,0.5234375,259,Ġa
163,125,0.6640625,4735,oph
161,126,1.0,272,Ġc
162,127,1.0,588,ac
164,128,1.0,4109,ony
165,129,0.92578125,300,Ġof
167,130,0.41015625,301,Ġand
169,131,0.80859375,11,","
170,132,0.384765625,1550,Ġnow
172,133,0.5234375,1029,Ġlike
171,134,0.62109375,6561,Ġfelt
173,135,0.7109375,259,Ġa
166,136,0.361328125,11666,Ġnoise
174,137,0.40625,17561,Ġgentle
168,138,0.32421875,31826,Ġchaos
176,139,0.34375,1039,ull
175,140,1.0,322,Ġl
177,141,0.98828125,5981,aby
178,142,0.5625,11,","
179,143,0.255859375,259,Ġa
181,144,0.294921875,26103,Ġreminder
182,145,0.98828125,300,Ġof
183,146,0.55078125,268,Ġthe
185,147,0.59765625,378,Ġthat
186,148,0.6328125,1028,Ġhad
180,149,0.341796875,53948,Ġsoothing
189,150,0.369140625,13,.
190,151,0.44140625,468,ĠThe
191,152,0.67578125,4231,Ġcity
193,153,0.462890625,20710,Ġcollective
192,154,0.9921875,698,'s
187,155,0.34375,1007,Ġbeen
188,156,0.458984375,6040,Ġlost
195,157,0.302734375,1119,Ġinto
194,158,0.84375,25117,Ġslip
184,159,0.294921875,898,Ġtime
196,160,0.98046875,16919,Ġmemories
197,161,0.43359375,529,Ġwas
198,162,0.796875,259,Ġa
199,163,0.22265625,90402,Ġpoignant
200,164,0.84375,26103,Ġreminder
201,165,0.8515625,300,Ġof
202,166,0.90234375,268,Ġthe
203,167,0.400390625,103243,Ġfleeting
205,168,0.9921875,300,Ġof
204,169,0.99609375,6132,Ġnature
208,170,0.65625,268,Ġthe
207,171,0.9765625,301,Ġand
206,172,0.828125,898,Ġtime
211,173,0.546875,21713,Ġcher
210,174,1.0,300,Ġof
209,175,0.984375,7417,Ġimportance
212,176,1.0,6438,ishing
213,177,0.703125,268,Ġthe
214,178,0.67578125,2549,Ġpresent
215,179,0.466796875,13,.
216,180,0.400390625,1965,ĠAs
217,181,0.74609375,268,Ġthe
223,182,0.24609375,4231,Ġcity
222,183,0.99609375,268,Ġthe
221,184,0.91796875,11,","
220,185,0.75390625,366,Ġon
219,186,0.98046875,30027,Ġwore
218,187,0.416015625,1813,Ġday
224,188,0.376953125,698,'s
227,189,0.267578125,297,Ġto
226,190,0.5390625,6636,Ġbegan
225,191,0.1533203125,11300,Ġresidents
230,192,0.318359375,802,Ġtheir
229,193,0.51953125,546,Ġfrom
228,194,0.54296875,34197,Ġemerge
231,195,0.640625,16919,Ġmemories
232,196,0.984375,11,","
233,197,0.359375,802,Ġtheir
234,198,0.77734375,15319,Ġfaces
236,199,0.5234375,391,Ġwith
235,200,0.515625,106668,Ġetched
237,201,0.734375,268,Ġthe
239,202,0.80859375,300,Ġof
238,203,0.5703125,6039,Ġlines
240,204,0.46875,802,Ġtheir
241,205,0.625,3261,Ġpast
242,206,0.5859375,11,","
243,207,0.765625,731,Ġbut
244,208,0.486328125,911,Ġalso
245,209,0.498046875,391,Ġwith
246,210,0.9296875,259,Ġa
247,211,0.875,97695,Ġnewfound
248,212,0.48828125,27514,Ġappreciation
249,213,1.0,352,Ġfor
250,214,0.92578125,268,Ġthe
251,215,0.5234375,11055,Ġbeauty
252,216,0.85546875,300,Ġof
257,217,0.7734375,4231,Ġcity
255,218,0.99609375,13,.
256,219,1.0,468,ĠThe
253,220,0.8828125,268,Ġthe
254,221,0.7890625,2549,Ġpresent
259,222,0.6484375,20710,Ġcollective
258,223,1.0,698,'s
261,224,0.90625,1119,Ġinto
262,225,0.99609375,16919,Ġmemories
260,226,0.96484375,25117,Ġslip
263,227,0.5078125,1028,Ġhad
265,228,0.447265625,259,Ġa
264,229,0.625,1007,Ġbeen
267,230,0.2431640625,2526,Ġexperience
268,231,0.9375,11,","
266,232,0.53515625,63442,Ġtransformative
269,233,0.46875,259,Ġa
272,234,0.62109375,268,Ġthe
270,235,0.84765625,26103,Ġreminder
271,236,0.81640625,300,Ġof
275,237,0.41015625,300,Ġof
274,238,0.478515625,6132,Ġnature
273,239,0.56640625,103243,Ġfleeting
291,240,0.99609375,126081,<|endoftext|>
277,241,0.9296875,301,Ġand
278,242,0.99609375,268,Ġthe
280,243,0.9609375,300,Ġof
279,244,0.97265625,7417,Ġimportance
276,245,0.9609375,898,Ġtime
289,246,0.890625,13,.
290,247,1.0,126348,<|eot_id|>
281,248,0.72265625,21713,Ġcher
282,249,1.0,6438,ishing
283,250,0.83203125,268,Ġthe
285,251,0.59765625,378,Ġthat
284,252,0.8671875,13475,Ġmoments
286,253,0.44921875,1253,Ġmake
287,254,0.89453125,1968,Ġlife
288,255,0.341796875,41957,Ġworthwhile
