pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.462890625,10277,Ġsounds
36,1,0.96875,1029,Ġlike
37,2,0.640625,259,Ġa
38,3,0.73828125,23452,Ġfascinating
34,4,0.8125,5638,That
39,5,0.40625,16211,Ġscenario
40,6,0.53125,0,!
41,7,0.2890625,468,ĠThe
42,8,0.53515625,4336,Ġidea
43,9,0.96484375,300,Ġof
45,10,0.83203125,11351,Ġvirus
44,11,0.9921875,259,Ġa
46,12,0.48046875,14760,Ġcausing
48,13,0.875,297,Ġto
47,14,0.98046875,1255,Ġpeople
49,15,0.859375,5956,Ġremember
52,16,0.8984375,2658,Ġnever
51,17,0.99609375,792,Ġthey
50,18,0.984375,5809,Ġlives
53,19,0.91796875,11455,Ġlived
54,20,0.3671875,341,Ġis
56,21,0.7578125,40086,Ġintriguing
55,22,0.6640625,4729,Ġquite
57,23,0.796875,13,.
58,24,0.62109375,963,ĠIt
59,25,0.69140625,25041,Ġraises
61,26,0.66796875,4294,Ġquestions
62,27,0.9609375,866,Ġabout
64,28,0.5390625,6132,Ġnature
63,29,1.0,268,Ġthe
65,30,1.0,300,Ġof
60,31,0.2890625,4834,Ġcomplex
67,32,0.67578125,11,","
69,33,0.85546875,11,","
70,34,0.9921875,301,Ġand
71,35,0.6640625,268,Ġthe
73,36,0.62109375,300,Ġof
66,37,0.52734375,9117,Ġreality
68,38,0.4765625,6306,Ġmemory
72,39,0.1943359375,2548,Ġpower
76,40,0.40625,13,.
74,41,0.6796875,20710,Ġcollective
78,42,0.51171875,362,Ġyou
79,43,0.4296875,561,Ġhave
81,44,0.8671875,2918,Ġspecific
80,45,0.8125,897,Ġany
77,46,0.6953125,3488,ĠDo
75,47,0.18359375,26201,Ġimagination
82,48,0.74609375,4294,Ġquestions
83,49,0.83984375,453,Ġor
87,50,0.455078125,1029,Ġlike
85,51,1.0,362,Ġyou
86,52,0.95703125,5800,'d
89,53,0.8828125,9070,Ġexplore
88,54,1.0,297,Ġto
84,55,0.3359375,10380,Ġaspects
97,56,0.97265625,126081,<|endoftext|>
96,57,0.796875,126348,<|eot_id|>
95,58,0.99609375,30,?
91,59,0.6796875,3747,Ġdiscuss
90,60,1.0,453,Ġor
93,61,0.98046875,501,Ġthis
92,62,0.73828125,866,Ġabout
94,63,0.65625,16211,Ġscenario
