pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.625,678,The
47,1,0.75,7806,Ġtruth
48,2,0.7890625,14466,Ġlies
49,3,0.7109375,1745,Ġbetween
50,4,0.65625,268,Ġthe
52,5,0.22265625,301,Ġand
53,6,0.6953125,268,Ġthe
51,7,0.546875,12118,Ġartists
54,8,0.890625,19149,Ġfarmers
55,9,0.51171875,13,.
56,10,0.53125,468,ĠThe
57,11,0.169921875,14250,Ġsky
58,12,0.423828125,341,Ġis
59,13,0.5234375,526,Ġnot
61,14,0.341796875,297,Ġto
60,15,0.69921875,4678,Ġlearning
62,16,0.984375,8260,Ġpaint
67,17,0.671875,24818,Ġdying
64,18,0.8984375,9103,Ġnor
66,19,1.0,403,Ġit
65,20,1.0,341,Ġis
63,21,0.99609375,11,","
68,22,0.828125,13,.
69,23,0.49609375,468,ĠThe
71,24,0.26953125,341,Ġis
70,25,0.435546875,14250,Ġsky
72,26,0.58203125,4720,Ġsimply
75,27,0.1337890625,11,","
73,28,0.3828125,79993,Ġraining
74,29,0.5546875,9668,Ġcolors
76,30,0.353515625,818,Ġwhich
77,31,0.72265625,341,Ġis
78,32,0.8671875,259,Ġa
79,33,0.59765625,4946,Ġnatural
80,34,0.419921875,24022,Ġphenomenon
81,35,0.2294921875,13,.
82,36,0.380859375,468,ĠThe
83,37,0.369140625,12118,Ġartists
84,38,0.2412109375,449,Ġare
85,39,0.2060546875,52752,Ġinterpreting
87,40,0.91015625,409,Ġas
86,41,0.81640625,403,Ġit
88,42,0.6484375,259,Ġa
93,43,0.328125,11,","
92,44,0.4609375,6127,Ġexpression
89,45,0.796875,1627,Ġform
90,46,1.0,300,Ġof
91,47,0.85546875,26445,Ġartistic
95,48,0.9921875,268,Ġthe
96,49,0.99609375,19149,Ġfarmers
97,50,0.94921875,449,Ġare
94,51,0.890625,1816,Ġwhile
99,52,0.6875,403,Ġit
100,53,0.93359375,409,Ġas
101,54,0.7734375,259,Ġa
98,55,0.625,52752,Ġinterpreting
109,56,0.99609375,126081,<|endoftext|>
107,57,0.9609375,13,.
108,58,1.0,126348,<|eot_id|>
102,59,0.6171875,1710,Ġsign
103,60,0.984375,300,Ġof
105,61,0.251953125,72341,Ġimpending
104,62,0.9453125,289,Ġan
106,63,0.26171875,1389,Ġend
