pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.1474609375,11,","
40,1,0.208984375,331,ĠI
37,2,0.267578125,301,Ġand
36,3,0.95703125,116096,Ladies
38,4,0.984375,62605,Ġgentlemen
43,5,0.1953125,297,Ġto
42,6,0.34375,1029,Ġlike
41,7,0.69921875,1017,Ġwould
46,8,0.27734375,362,Ġyou
45,9,0.69140625,391,Ġwith
44,10,0.8828125,3817,Ġshare
47,11,0.3515625,259,Ġa
49,12,0.1923828125,378,Ġthat
50,13,0.349609375,723,Ġhas
51,14,0.2431640625,1007,Ġbeen
48,15,0.2431640625,5997,Ġconcept
52,16,0.154296875,259,Ġa
54,17,0.75390625,300,Ġof
55,18,0.7421875,811,Ġmy
53,19,0.69140625,914,Ġpart
57,20,0.3203125,352,Ġfor
58,21,0.341796875,1494,Ġmany
59,22,0.984375,1594,Ġyears
60,23,0.72265625,13,.
56,24,0.41015625,19474,Ġphilosophy
61,25,0.2412109375,331,ĠI
62,26,0.5234375,4346,Ġbelieve
63,27,0.9453125,378,Ġthat
64,28,0.400390625,15161,Ġdust
65,29,0.45703125,45203,Ġstorms
66,30,0.357421875,449,Ġare
67,31,0.53125,259,Ġa
69,32,0.455078125,300,Ġof
68,33,0.57421875,3757,Ġsource
70,34,0.74609375,20326,Ġwisdom
71,35,0.33984375,13,.
73,36,0.369140625,198,Ċ
72,37,0.7265625,198,Ċ
76,38,0.29296875,45203,Ġstorms
75,39,0.59765625,539,ust
74,40,1.0,35,D
77,41,0.61328125,449,Ġare
79,42,0.333984375,4946,Ġnatural
78,43,0.9609375,259,Ġa
81,44,0.67578125,378,Ġthat
80,45,0.76953125,24022,Ġphenomenon
82,46,0.2490234375,12909,Ġoccurs
83,47,0.451171875,950,Ġwhen
84,48,0.41796875,268,Ġthe
85,49,0.69921875,8486,Ġwind
87,50,0.67578125,760,Ġup
86,51,0.9453125,26621,Ġpicks
88,52,0.41015625,301,Ġand
89,53,0.78125,24738,Ġcarries
91,54,0.62109375,15174,Ġparticles
93,55,0.6484375,268,Ġthe
95,56,0.8828125,13,.
94,57,0.8359375,3662,Ġair
96,58,0.63671875,3237,ĠThese
97,59,0.91796875,15174,Ġparticles
92,60,0.55859375,1119,Ġinto
90,61,0.52734375,2258,Ġsmall
98,62,0.28515625,449,Ġare
99,63,0.1806640625,526,Ġnot
100,64,0.875,1125,Ġjust
101,65,0.34765625,6454,Ġrandom
104,66,0.275390625,792,Ġthey
103,67,0.62890625,26,;
108,68,0.52734375,3738,Ġhuman
107,69,0.9921875,300,Ġof
109,70,0.9921875,3149,Ġthought
106,71,0.9609375,36850,Ġfragments
105,72,0.671875,3650,Ġcontain
110,73,0.494140625,13,.
102,74,0.306640625,4564,Ġmatter
112,75,0.236328125,198,Ċ
111,76,0.96875,198,Ċ
113,77,0.1904296875,2441,As
114,78,0.30859375,259,Ġa
115,79,0.9765625,66908,Ġphilosopher
117,80,0.96875,331,ĠI
116,81,1.0,11,","
118,82,0.4375,4346,Ġbelieve
119,83,0.98828125,378,Ġthat
120,84,0.2578125,1261,Ġthese
121,85,0.59375,36850,Ġfragments
122,86,0.66015625,300,Ġof
123,87,0.58203125,3738,Ġhuman
124,88,1.0,3149,Ġthought
125,89,0.46484375,449,Ġare
126,90,0.365234375,259,Ġa
128,91,0.80859375,300,Ġof
129,92,0.44140625,268,Ġthe
127,93,0.80859375,20972,Ġreflection
130,94,0.388671875,3738,Ġhuman
131,95,0.7890625,2526,Ġexperience
132,96,0.87109375,13,.
133,97,0.75,2240,ĠThey
134,98,0.55859375,449,Ġare
137,99,0.56640625,300,Ġof
135,100,0.5625,259,Ġa
138,101,0.486328125,268,Ġthe
136,102,0.69140625,26103,Ġreminder
140,103,0.20703125,301,Ġand
142,104,0.490234375,378,Ġthat
143,105,0.478515625,438,Ġwe
139,106,0.3984375,5636,Ġideas
144,107,0.453125,561,Ġhave
146,108,0.349609375,5729,Ġthroughout
147,109,0.76953125,869,Ġour
145,110,0.6015625,25246,Ġencountered
141,111,0.267578125,13996,Ġconcepts
148,112,0.97265625,5809,Ġlives
149,113,0.953125,13,.
150,114,0.73828125,198,Ċ
151,115,1.0,198,Ċ
154,116,0.1875,45203,Ġstorms
153,117,0.5234375,539,ust
152,118,1.0,35,D
155,119,0.5703125,449,Ġare
156,120,0.59765625,259,Ġa
158,121,0.494140625,300,Ġof
159,122,0.66015625,268,Ġthe
161,123,0.640625,1866,ness
162,124,0.96875,300,Ġof
160,125,0.96484375,59526,Ġinterconnected
163,126,0.80859375,654,Ġall
157,127,0.5859375,8431,Ġsymbol
164,128,0.8125,2369,Ġthings
165,129,0.8984375,13,.
166,130,0.78515625,2240,ĠThey
167,131,0.52734375,14935,Ġremind
168,132,0.99609375,611,Ġus
169,133,0.9375,378,Ġthat
170,134,0.578125,4246,Ġeverything
171,135,0.458984375,341,Ġis
172,136,0.73046875,8299,Ġconnected
173,137,0.50390625,301,Ġand
174,138,0.93359375,378,Ġthat
175,139,0.50390625,869,Ġour
177,140,0.3984375,449,Ġare
178,141,0.62109375,526,Ġnot
176,142,0.76953125,8960,Ġthoughts
179,143,0.51953125,19177,Ġisolated
180,144,0.71484375,546,Ġfrom
181,145,0.87109375,268,Ġthe
183,146,0.71875,2137,Ġaround
182,147,0.99609375,1931,Ġworld
184,148,1.0,611,Ġus
185,149,0.99609375,13,.
186,150,0.94140625,198,Ċ
187,151,1.0,198,Ċ
188,152,0.208984375,2856,By
190,153,0.7578125,297,Ġto
189,154,0.98828125,14286,Ġlistening
194,155,0.65234375,438,Ġwe
193,156,1.0,11,","
191,157,0.9921875,15161,Ġdust
192,158,0.99609375,45203,Ġstorms
195,159,0.9453125,560,Ġcan
196,160,0.95703125,7498,Ġgain
199,161,0.59375,5942,Ġunderstanding
200,162,0.99609375,300,Ġof
197,163,0.9921875,259,Ġa
198,164,0.8828125,16407,Ġdeeper
201,165,0.76953125,268,Ġthe
203,166,0.80078125,2526,Ġexperience
202,167,1.0,3738,Ġhuman
205,168,0.91015625,1104,ĠWe
204,169,1.0,13,.
206,170,0.9765625,560,Ġcan
207,171,0.5078125,3071,Ġlearn
209,172,0.4453125,268,Ġthe
208,173,0.921875,546,Ġfrom
211,174,0.578125,300,Ġof
210,175,0.451171875,36850,Ġfragments
213,176,0.94921875,3149,Ġthought
212,177,0.99609375,3738,Ġhuman
214,178,0.7734375,378,Ġthat
215,179,0.47265625,449,Ġare
216,180,0.6171875,10726,Ġcarried
218,181,0.90625,268,Ġthe
219,182,0.78515625,8486,Ġwind
217,183,0.55078125,527,Ġby
220,184,0.50390625,301,Ġand
221,185,0.6640625,4589,Ġapply
226,186,0.859375,5809,Ġlives
227,187,0.99609375,13,.
223,188,0.984375,297,Ġto
224,189,1.0,869,Ġour
225,190,0.99609375,1645,Ġown
222,191,0.9921875,989,Ġthem
228,192,0.96875,198,Ċ
229,193,1.0,198,Ċ
231,194,0.52734375,13445,Ġconclusion
230,195,1.0,846,In
232,196,1.0,11,","
234,197,0.796875,45203,Ġstorms
233,198,1.0,15161,Ġdust
235,199,0.96484375,449,Ġare
236,200,0.9296875,259,Ġa
238,201,0.94140625,300,Ġof
239,202,0.9609375,20326,Ġwisdom
237,203,0.9921875,3757,Ġsource
240,204,0.318359375,13,.
241,205,0.8671875,2240,ĠThey
242,206,0.7421875,14935,Ġremind
243,207,1.0,611,Ġus
247,208,0.8671875,1866,ness
244,209,1.0,300,Ġof
245,210,1.0,268,Ġthe
246,211,1.0,59526,Ġinterconnected
248,212,1.0,300,Ġof
250,213,0.9921875,2369,Ġthings
249,214,1.0,654,Ġall
251,215,0.98046875,301,Ġand
252,216,0.5234375,268,Ġthe
254,217,0.9609375,300,Ġof
253,218,0.9609375,7417,Ġimportance
257,219,0.37109375,268,Ġthe
258,220,0.68359375,1931,Ġworld
259,221,0.99609375,2137,Ġaround
255,222,0.71875,14286,Ġlistening
256,223,1.0,297,Ġto
260,224,1.0,611,Ġus
261,225,0.984375,13,.
262,226,0.251953125,3893,ĠBy
266,227,0.703125,45203,Ġstorms
265,228,1.0,15161,Ġdust
268,229,0.97265625,438,Ġwe
267,230,1.0,11,","
269,231,0.9921875,560,Ġcan
270,232,0.96484375,7498,Ġgain
273,233,0.9765625,5942,Ġunderstanding
271,234,1.0,259,Ġa
274,235,1.0,300,Ġof
272,236,0.9921875,16407,Ġdeeper
275,237,0.94921875,268,Ġthe
264,238,0.9375,297,Ġto
263,239,0.99609375,14286,Ġlistening
277,240,1.0,2526,Ġexperience
276,241,1.0,3738,Ġhuman
278,242,0.99609375,301,Ġand
291,243,0.98828125,126081,<|endoftext|>
290,244,0.92578125,126348,<|eot_id|>
289,245,0.9921875,13,.
288,246,0.7265625,362,Ġyou
286,247,0.75390625,198,Ċ
285,248,1.0,198,Ċ
287,249,1.0,9944,Thank
284,250,0.99609375,13,.
283,251,0.546875,5809,Ġlives
282,252,0.6875,869,Ġour
281,253,0.8125,297,Ġto
279,254,0.921875,4589,Ġapply
280,255,0.94921875,403,Ġit
