pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.51171875,2441,As
37,1,0.47265625,268,Ġthe
38,2,0.734375,1728,Ġperson
39,3,0.6015625,391,Ġwith
42,4,0.984375,8514,Ġsecret
41,5,0.9921875,6455,Ġdark
40,6,0.62109375,268,Ġthe
47,7,0.58203125,11,","
45,8,0.98046875,268,Ġthe
46,9,0.98828125,18449,Ġmirror
44,10,0.796875,527,Ġby
43,11,0.69921875,22693,Ġwalks
48,12,0.3203125,268,Ġthe
49,13,0.369140625,20972,Ġreflection
51,14,0.2265625,297,Ġto
50,15,0.6015625,12688,Ġbegins
52,16,0.271484375,2712,Ġchange
53,17,0.78515625,13,.
54,18,0.66796875,468,ĠThe
55,19,0.4921875,3779,Ġonce
58,20,0.298828125,1550,Ġnow
57,21,0.208984375,6405,Ġeyes
56,22,0.435546875,10209,Ġbright
60,23,0.298828125,391,Ġwith
61,24,0.7421875,259,Ġa
59,25,0.55859375,26829,Ġglow
63,26,0.46484375,11,","
62,27,0.30859375,5854,Ġdim
65,28,0.431640625,2885,Ġlight
66,29,0.66015625,11,","
67,30,0.50390625,35907,Ġrevealing
64,31,0.181640625,118546,Ġeerie
68,32,0.466796875,268,Ġthe
75,33,0.205078125,13,.
76,34,0.76953125,468,ĠThe
77,35,0.267578125,5742,Ġskin
74,36,0.302734375,2602,Ġwithin
72,37,0.302734375,378,Ġthat
70,38,0.8984375,301,Ġand
73,39,0.66796875,14466,Ġlies
69,40,0.388671875,4529,Ġpain
78,41,0.255859375,8372,Ġbecomes
80,42,0.447265625,301,Ġand
79,43,0.71875,32150,Ġpale
82,44,0.353515625,11,","
83,45,0.474609375,409,Ġas
81,46,0.328125,15067,Ġdrawn
71,47,0.1884765625,49123,Ġsorrow
84,48,0.9140625,624,Ġif
85,49,0.458984375,268,Ġthe
86,50,0.265625,1728,Ġperson
87,51,0.4140625,698,'s
89,52,0.31640625,341,Ġis
88,53,0.3828125,13360,Ġsoul
90,54,0.376953125,1775,Ġbeing
95,55,0.1962890625,13,.
93,56,0.6171875,268,Ġthe
96,57,0.5625,468,ĠThe
94,58,0.240234375,7966,Ġglass
92,59,0.326171875,1352,Ġthrough
97,60,0.1748046875,3779,Ġonce
99,61,0.2080078125,3983,Ġfeatures
91,62,0.1982421875,15101,Ġexposed
98,63,0.1474609375,9167,Ġsmooth
100,64,0.33203125,449,Ġare
101,65,0.6796875,1550,Ġnow
102,66,0.361328125,106668,Ġetched
103,67,0.9140625,391,Ġwith
105,68,0.546875,6039,Ġlines
106,69,0.83203125,300,Ġof
104,70,0.70703125,268,Ġthe
108,71,0.423828125,11,","
110,72,0.28515625,268,Ġthe
109,73,0.4453125,301,Ġand
107,74,0.341796875,48604,Ġdespair
111,75,0.375,3779,Ġonce
113,76,0.3125,14586,Ġsmile
114,77,0.5859375,341,Ġis
115,78,0.57421875,1550,Ġnow
112,79,0.5703125,10209,Ġbright
116,80,0.6953125,259,Ġa
118,81,0.40234375,11,","
123,82,0.37890625,198,Ċ
121,83,0.671875,13,.
122,84,0.97265625,198,Ċ
124,85,0.875,678,The
125,86,0.412109375,18449,Ġmirror
127,87,0.431640625,297,Ġto
126,88,0.7578125,5132,Ġseems
117,89,0.298828125,42261,Ġtwisted
128,90,0.259765625,2644,Ġcome
129,91,0.9609375,16399,Ġalive
130,92,0.65625,11,","
131,93,0.3359375,409,Ġas
120,94,0.21875,72377,Ġgrin
119,95,0.435546875,88914,Ġsinister
132,96,0.98046875,624,Ġif
133,97,0.625,403,Ġit
134,98,0.5078125,341,Ġis
136,99,0.41796875,268,Ġthe
137,100,0.75,1728,Ġperson
138,101,0.94140625,698,'s
135,102,0.6328125,39800,Ġsensing
141,103,0.482421875,13,.
142,104,0.515625,468,ĠThe
143,105,0.5078125,20972,Ġreflection
140,106,0.453125,71740,Ġturmoil
139,107,0.9375,11605,Ġinner
144,108,0.32421875,8372,Ġbecomes
145,109,0.66015625,67304,Ġdistorted
146,110,0.7265625,11,","
147,111,0.3203125,391,Ġwith
148,112,0.27734375,39770,Ġshadows
149,113,0.546875,301,Ġand
150,114,0.21875,50682,Ġreflections
151,115,0.1650390625,378,Ġthat
153,116,0.439453125,297,Ġto
152,117,0.97265625,4492,Ġseem
155,118,0.328125,301,Ġand
156,119,0.52734375,27742,Ġtwist
154,120,0.5859375,9142,Ġshift
160,121,0.2236328125,13,.
161,122,0.921875,468,ĠThe
162,123,0.53125,1728,Ġperson
163,124,0.326171875,698,'s
157,125,0.298828125,1029,Ġlike
158,126,0.74609375,4976,Ġliving
159,127,0.478515625,2369,Ġthings
166,128,0.1611328125,297,Ġto
165,129,0.349609375,12688,Ġbegins
168,130,0.365234375,11,","
170,131,0.54296875,624,Ġif
169,132,1.0,409,Ġas
171,133,0.447265625,268,Ġthe
172,134,0.57421875,18449,Ġmirror
173,135,0.9453125,341,Ġis
175,136,0.396484375,297,Ġto
174,137,0.91015625,4629,Ġtrying
177,138,0.34765625,268,Ġthe
167,139,0.34375,53375,Ġblur
176,140,0.359375,61790,Ġconceal
178,141,0.59765625,7806,Ġtruth
179,142,0.609375,13,.
164,143,0.396484375,4107,Ġface
181,144,0.59375,198,Ċ
180,145,0.99609375,198,Ċ
183,146,0.376953125,268,Ġthe
184,147,0.86328125,1728,Ġperson
182,148,0.95703125,2441,As
188,149,0.33203125,268,Ġthe
189,150,0.58984375,18449,Ġmirror
190,151,0.67578125,11,","
186,152,0.69140625,3204,Ġaway
187,153,0.9921875,546,Ġfrom
185,154,0.53125,12284,Ġturns
192,155,0.62109375,20972,Ġreflection
191,156,0.953125,268,Ġthe
194,157,0.333984375,297,Ġto
195,158,0.6640625,39009,Ġfade
193,159,0.8359375,12688,Ġbegins
196,160,0.765625,11,","
197,161,0.70703125,10259,Ġleaving
198,162,0.73828125,5332,Ġbehind
199,163,0.65625,1191,Ġonly
200,164,0.4765625,268,Ġthe
202,165,0.42578125,300,Ġof
203,166,0.427734375,802,Ġtheir
207,167,0.5546875,468,ĠThe
206,168,1.0,13,.
208,169,0.71875,18449,Ġmirror
204,170,0.396484375,6455,Ġdark
205,171,0.9609375,8514,Ġsecret
201,172,0.2734375,84377,Ġechoes
209,173,0.244140625,11,","
211,174,0.6328125,259,Ġa
210,175,0.88671875,3779,Ġonce
213,176,0.6328125,300,Ġof
215,177,0.43359375,11,","
216,178,0.71484375,1550,Ġnow
219,179,0.470703125,259,Ġa
218,180,0.72265625,409,Ġas
217,181,0.94140625,14314,Ġserves
221,182,0.4140625,300,Ġof
220,183,0.7890625,26103,Ġreminder
222,184,0.9140625,268,Ġthe
223,185,0.5703125,1728,Ġperson
224,186,0.99609375,698,'s
225,187,0.48828125,11605,Ġinner
226,188,0.41796875,51589,Ġdemons
227,189,0.3984375,11,","
212,190,0.34375,3653,Ġtool
214,191,0.314453125,20972,Ġreflection
228,192,0.48046875,259,Ġa
230,193,0.365234375,300,Ġof
231,194,0.62109375,268,Ġthe
232,195,0.498046875,26947,Ġdarkness
233,196,0.890625,378,Ġthat
234,197,0.58984375,14466,Ġlies
235,198,0.88671875,2602,Ġwithin
238,199,0.78515625,198,Ċ
237,200,0.81640625,198,Ċ
236,201,1.0,13,.
239,202,0.447265625,678,The
240,203,0.81640625,1728,Ġperson
229,204,0.318359375,8431,Ġsymbol
241,205,0.2021484375,341,Ġis
242,206,0.96484375,2914,Ġleft
243,207,0.455078125,391,Ġwith
244,208,0.96875,259,Ġa
246,209,0.73828125,300,Ġof
245,210,0.9140625,5209,Ġsense
250,211,0.49609375,11,","
248,212,0.8515625,301,Ġand
251,213,0.72265625,409,Ġas
252,214,0.80859375,624,Ġif
