pos,step_decoded,conf_decoded,token_id,token_str
40,0,0.1484375,25,:
39,1,0.5859375,16,1
38,2,0.95703125,220,Ġ
37,3,0.486328125,8309,Version
41,4,0.201171875,477,"Ġ"""
43,5,0.435546875,11,","
42,6,0.515625,18885,Hey
46,7,0.189453125,362,Ġyou
45,8,0.50390625,449,Ġare
47,9,0.58203125,6608,"?"""
44,10,0.95703125,901,Ġwho
48,11,0.92578125,198,Ċ
51,12,0.7421875,220,Ġ
49,13,0.99609375,198,Ċ
50,14,0.99609375,8309,Version
52,15,0.9921875,17,2
53,16,1.0,25,:
54,17,0.98828125,477,"Ġ"""
56,18,0.44921875,3180,'m
55,19,1.0,40,I
58,20,0.1923828125,11,","
57,21,0.2431640625,362,Ġyou
59,22,0.283203125,731,Ġbut
60,23,0.3203125,331,ĠI
61,24,0.56640625,3180,'m
62,25,0.30859375,16399,Ġalive
65,26,0.380859375,198,Ċ
67,27,0.859375,220,Ġ
64,28,0.99609375,198,Ċ
66,29,0.99609375,8309,Version
68,30,0.99609375,16,1
63,31,0.81640625,1904,"."""
69,32,0.99609375,25,:
70,33,0.9921875,477,"Ġ"""
71,34,0.30078125,21879,Wait
72,35,0.8828125,11,","
73,36,0.2138671875,1099,Ġhow
75,37,0.443359375,362,Ġyou
76,38,0.7890625,16399,Ġalive
74,39,0.99609375,449,Ġare
77,40,0.765625,30,?
84,41,0.50390625,198,Ċ
83,42,0.63671875,198,Ċ
82,43,0.69921875,1904,"."""
81,44,0.58203125,10078,Ġdied
79,45,0.71484375,3149,Ġthought
78,46,0.99609375,331,ĠI
80,47,0.69140625,362,Ġyou
85,48,0.99609375,8309,Version
86,49,1.0,220,Ġ
87,50,1.0,17,2
88,51,1.0,25,:
89,52,0.99609375,477,"Ġ"""
91,53,0.287109375,11,","
90,54,0.298828125,10408,Well
92,55,0.21484375,296,Ġin
94,56,0.8515625,16928,Ġuniverse
95,57,0.8203125,11,","
93,58,0.80078125,501,Ġthis
96,59,0.66015625,331,ĠI
98,60,0.51953125,1227,'t
97,61,0.9296875,3619,Ġdidn
99,62,0.91015625,7805,Ġdie
100,63,0.396484375,1904,"."""
101,64,0.98046875,198,Ċ
102,65,0.99609375,198,Ċ
104,66,0.98828125,220,Ġ
103,67,1.0,8309,Version
105,68,1.0,16,1
106,69,1.0,25,:
107,70,0.99609375,477,"Ġ"""
109,71,0.263671875,11,","
108,72,0.515625,21879,Wait
110,73,0.2138671875,1053,Ġwhat
111,74,0.53515625,16928,Ġuniverse
112,75,0.55859375,449,Ġare
115,76,0.7890625,6608,"?"""
116,77,0.9921875,198,Ċ
113,78,0.765625,362,Ġyou
114,79,0.859375,546,Ġfrom
117,80,0.99609375,198,Ċ
118,81,0.99609375,8309,Version
119,82,1.0,220,Ġ
120,83,1.0,17,2
121,84,1.0,25,:
