pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.765625,10531,arest
29,1,0.99609375,4653,My
34,2,0.828125,198,Ċ
32,3,0.83203125,11,","
33,4,1.0,198,Ċ
30,5,0.70703125,2126,ĠDe
37,6,0.515625,2469,Ġsit
35,7,0.99609375,2441,As
36,8,0.99609375,331,ĠI
38,9,0.86328125,1635,Ġdown
39,10,0.99609375,297,Ġto
40,11,0.9453125,4223,Ġwrite
41,12,0.90625,501,Ġthis
42,13,0.97265625,7885,Ġletter
43,14,0.90234375,11,","
44,15,0.53515625,331,ĠI
51,16,0.55078125,17255,Ġemotions
48,17,0.66796875,259,Ġa
50,18,0.98046875,300,Ġof
49,19,0.69140625,119008,Ġwhirlwind
52,20,0.59375,13,.
55,21,0.55859375,1759,Ġhand
54,22,1.0,810,Ġone
56,23,1.0,11,","
53,24,0.99609375,2490,ĠOn
57,25,0.65234375,331,ĠI
58,26,0.609375,1024,Ġam
46,27,0.54296875,6130,Ġmyself
45,28,1.0,1491,Ġfind
47,29,0.94921875,296,Ġin
60,30,0.365234375,391,Ġwith
59,31,0.7109375,10604,Ġfilled
62,32,0.48828125,23246,Ġoverwhelming
61,33,0.96484375,289,Ġan
64,34,0.73046875,300,Ġof
63,35,0.98046875,5209,Ġsense
66,36,0.6640625,301,Ġand
65,37,0.41796875,12916,Ġjoy
68,38,0.3671875,11,","
69,39,0.62109375,409,Ġas
70,40,0.79296875,624,Ġif
71,41,0.28125,1380,Ġevery
72,42,0.578125,5104,Ġmoment
67,43,0.349609375,115818,Ġcontentment
73,44,0.28515625,7730,Ġspent
75,45,0.890625,362,Ġyou
74,46,0.9921875,391,Ġwith
76,47,0.50390625,341,Ġis
77,48,0.419921875,268,Ġthe
78,49,0.40625,1325,Ġmost
83,50,0.53515625,3688,Ġever
85,51,0.94921875,13,.
81,52,0.953125,331,ĠI
80,53,0.7421875,3220,Ġthing
79,54,0.6015625,5071,Ġbeautiful
84,55,0.51953125,8785,Ġexperienced
86,56,0.4765625,3428,ĠMy
87,57,0.984375,4140,Ġheart
89,58,0.458984375,391,Ġwith
88,59,0.474609375,24332,Ġraces
90,60,0.5859375,24904,Ġexcitement
82,61,0.474609375,3868,'ve
91,62,0.43359375,14782,Ġwhenever
92,63,0.94140625,331,ĠI
93,64,0.7890625,1699,Ġthink
94,65,0.75390625,866,Ġabout
96,66,0.60546875,11,","
95,67,0.96875,362,Ġyou
97,68,0.92578125,301,Ġand
98,69,0.64453125,331,ĠI
100,70,0.7265625,1227,'t
99,71,0.9921875,560,Ġcan
101,72,0.61328125,1376,Ġhelp
102,73,0.99609375,731,Ġbut
103,74,0.66796875,2428,Ġfeel
104,75,0.388671875,259,Ġa
105,76,0.609375,5459,Ġdeep
107,77,0.625,300,Ġof
106,78,0.96875,5209,Ġsense
108,79,0.34375,33709,Ġgratitude
109,80,0.89453125,352,Ġfor
111,81,0.375,7831,Ġpresence
110,82,0.9921875,563,Ġyour
113,83,0.84765625,811,Ġmy
112,84,1.0,296,Ġin
114,85,0.99609375,1968,Ġlife
115,86,0.99609375,13,.
117,87,0.90625,198,Ċ
116,88,0.9921875,198,Ċ
119,89,0.5546875,11,","
121,90,0.78515625,268,Ġthe
124,91,0.96875,11,","
122,92,0.984375,880,Ġother
120,93,1.0,366,Ġon
123,94,1.0,1759,Ġhand
118,95,0.75,34457,Yet
125,96,0.62109375,331,ĠI
126,97,0.734375,1024,Ġam
127,98,0.609375,911,Ġalso
130,99,0.515625,259,Ġa
128,100,0.55859375,117478,Ġgrappling
129,101,1.0,391,Ġwith
132,102,0.287109375,5209,Ġsense
133,103,1.0,300,Ġof
135,104,0.80859375,301,Ġand
131,105,0.58203125,26388,Ġprofound
137,106,0.57421875,13,.
