pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.296875,268,Ġthe
27,1,0.9609375,846,In
30,2,0.5234375,300,Ġof
31,3,0.625,268,Ġthe
32,4,0.72265625,4231,Ġcity
33,5,0.73046875,11,","
34,6,0.765625,1387,Ġwhere
29,7,0.8515625,4140,Ġheart
35,8,0.61328125,268,Ġthe
38,9,0.54296875,11,","
39,10,0.984375,198,Ċ
36,11,0.41015625,17223,Ġstreets
40,12,0.361328125,32,A
41,13,0.80078125,116335,Ġsymphony
42,14,0.9609375,300,Ġof
37,15,0.1806640625,3279,Ġmeet
43,16,0.609375,24840,Ġvoices
44,17,0.6015625,11,","
49,18,0.55859375,198,Ċ
48,19,0.890625,13,.
47,20,0.462890625,9166,Ġsweet
46,21,0.9140625,301,Ġand
50,22,0.3984375,1,""""
52,23,0.220703125,11,","
51,24,0.83203125,18885,Hey
53,25,0.34375,1387,Ġwhere
54,26,0.53515625,698,'s
55,27,0.58203125,268,Ġthe
57,28,0.255859375,6608,"?"""
58,29,0.333984375,259,Ġa
45,30,0.1611328125,18898,Ġloud
56,31,0.111328125,9491,Ġcoffee
62,32,0.56640625,198,Ċ
61,33,0.84375,11,","
73,34,0.462890625,198,Ċ
72,35,0.55859375,198,Ċ
71,36,0.890625,13,.
74,37,0.7265625,1,""""
60,38,0.375,8292,Ġcalls
59,39,0.458984375,8104,Ġvoice
67,40,0.283203125,11,","
70,41,0.40625,8292,Ġcalls
68,42,0.388671875,259,Ġa
64,43,0.2431640625,268,Ġthe
63,44,0.55078125,4647,From
65,45,0.427734375,37987,Ġcrowded
66,46,0.478515625,67656,ĠcafÃ©
69,47,0.2734375,5483,Ġcustomer
76,48,0.259765625,11,","
75,49,0.79296875,29327,Sorry
77,50,0.26953125,403,Ġit
78,51,0.81640625,698,'s
86,52,0.31640625,198,Ċ
85,53,0.88671875,11,","
81,54,0.5625,2786,","""
84,55,0.5078125,34013,Ġreplies
82,56,0.60546875,259,Ġa
80,57,0.39453125,733,Ġout
79,58,0.37890625,7089,Ġsold
88,59,0.220703125,268,Ġthe
87,60,0.470703125,4647,From
83,61,0.419921875,8104,Ġvoice
89,62,0.349609375,4480,Ġbar
90,63,0.95703125,16411,ista
91,64,0.703125,11,","
96,65,0.50390625,198,Ċ
95,66,0.984375,13,.
97,67,0.7109375,1,""""
98,68,0.3203125,7584,Can
99,69,0.60546875,331,ĠI
101,70,0.341796875,259,Ġa
100,71,0.439453125,834,Ġget
104,72,0.353515625,259,Ġa
103,73,0.875,6608,"?"""
105,74,0.51171875,8104,Ġvoice
106,75,0.48046875,18549,Ġasks
92,76,0.349609375,259,Ġa
94,77,0.283203125,50708,Ġsigh
102,78,0.28515625,81974,Ġrefill
93,79,0.18359375,48922,Ġpolite
108,80,0.98828125,198,Ċ
107,81,1.0,11,","
109,82,0.87109375,4647,From
118,83,0.640625,198,Ċ
117,84,0.53125,13,.
119,85,0.98828125,198,Ċ
113,86,0.68359375,11,","
114,87,0.7265625,259,Ġa
120,88,0.67578125,1,""""
110,89,0.68359375,268,Ġthe
122,90,0.314453125,11,","
121,91,0.42578125,36549,Sure
111,92,0.2021484375,102623,Ġthirsty
112,93,0.46875,44860,Ġpatron
116,94,0.1904296875,2793,Ġask
115,95,0.1796875,48922,Ġpolite
126,96,0.4453125,2786,","""
127,97,0.91015625,259,Ġa
128,98,0.9375,8104,Ġvoice
131,99,0.9140625,198,Ċ
130,100,0.99609375,11,","
132,101,0.96484375,4647,From
133,102,0.984375,268,Ġthe
135,103,0.83984375,16411,ista
134,104,0.9921875,4480,Ġbar
136,105,0.9765625,11,","
137,106,0.875,259,Ġa
129,107,0.60546875,3155,Ġsays
125,108,0.416015625,10353,Ġminute
123,109,0.98046875,1125,Ġjust
124,110,0.96875,259,Ġa
138,111,0.26171875,86379,Ġreassuring
140,112,0.98046875,13,.
141,113,1.0,198,Ċ
142,114,0.76953125,1,""""
149,115,0.255859375,259,Ġa
150,116,0.87109375,8104,Ġvoice
153,117,0.8515625,198,Ċ
152,118,1.0,11,","
154,119,0.95703125,4647,From
148,120,0.59375,6608,"?"""
151,121,0.53515625,18549,Ġasks
143,122,0.40625,11530,Where
144,123,0.83203125,698,'s
145,124,0.87890625,268,Ġthe
146,125,0.2080078125,2338,Ġnext
147,126,0.61328125,5001,Ġstop
139,127,0.134765625,28917,Ġnod
155,128,0.8125,268,Ġthe
163,129,0.6796875,198,Ċ
158,130,0.8046875,11,","
162,131,0.9453125,13,.
164,132,0.98046875,198,Ċ
159,133,0.875,259,Ġa
165,134,0.6875,1,""""
156,135,0.5078125,6313,Ġbus
157,136,0.51953125,5001,Ġstop
160,137,0.162109375,21097,Ġcurious
170,138,0.1689453125,259,Ġa
169,139,0.88671875,2786,","""
167,140,0.22265625,4428,Ġfive
168,141,0.6015625,4362,Ġminutes
166,142,0.455078125,6465,About
161,143,0.12353515625,2793,Ġask
171,144,0.98828125,8104,Ġvoice
174,145,0.96875,198,Ċ
173,146,1.0,11,","
175,147,0.9921875,4647,From
176,148,0.953125,268,Ġthe
179,149,0.69140625,11,","
180,150,0.9375,259,Ġa
184,151,0.921875,198,Ċ
183,152,0.99609375,13,.
177,153,0.91015625,6313,Ġbus
178,154,0.90234375,8555,Ġdriver
185,155,0.80078125,1,""""
172,156,0.38671875,34013,Ġreplies
186,157,0.265625,52844,Exc
181,158,0.2734375,86379,Ġreassuring
182,159,0.333984375,50708,Ġsigh
187,160,1.0,2763,use
188,161,1.0,696,Ġme
189,162,0.8671875,11,","
190,163,0.4921875,1387,Ġwhere
191,164,0.87890625,698,'s
192,165,0.94140625,268,Ġthe
195,166,0.62890625,259,Ġa
196,167,0.9921875,8104,Ġvoice
194,168,0.9921875,6608,"?"""
199,169,0.96484375,198,Ċ
198,170,1.0,11,","
200,171,0.98828125,4647,From
197,172,0.90234375,18549,Ġasks
201,173,0.828125,268,Ġthe
193,174,0.5703125,103477,Ġrestroom
202,175,0.1025390625,111741,Ġpasser
203,176,1.0,2473,by
204,177,0.98046875,11,","
205,178,0.9765625,259,Ġa
210,179,0.97265625,198,Ċ
208,180,0.98046875,13,.
209,181,1.0,198,Ċ
206,182,0.60546875,48922,Ġpolite
207,183,0.78125,2793,Ġask
211,184,0.53515625,1,""""
212,185,0.279296875,3125,On
213,186,0.59375,268,Ġthe
217,187,0.375,259,Ġa
216,188,0.9453125,2786,","""
218,189,0.98828125,8104,Ġvoice
215,190,0.61328125,10696,Ġcorner
214,191,0.828125,2338,Ġnext
221,192,0.984375,198,Ċ
220,193,1.0,11,","
222,194,0.99609375,4647,From
223,195,0.890625,268,Ġthe
225,196,0.6796875,2473,by
224,197,0.99609375,111741,Ġpasser
226,198,0.94921875,11,","
227,199,0.98828125,259,Ġa
230,200,0.9453125,13,.
231,201,1.0,198,Ċ
229,202,0.828125,28917,Ġnod
219,203,0.57421875,3155,Ġsays
228,204,0.431640625,86379,Ġreassuring
232,205,0.404296875,1,""""
234,206,0.384765625,11,","
233,207,0.3046875,18885,Hey
235,208,0.30078125,560,Ġcan
236,209,0.73046875,331,ĠI
241,210,0.65625,259,Ġa
240,211,0.9921875,6608,"?"""
242,212,0.99609375,8104,Ġvoice
245,213,0.984375,198,Ċ
244,214,1.0,11,","
246,215,0.9921875,4647,From
247,216,0.92578125,268,Ġthe
243,217,0.72265625,18549,Ġasks
238,218,0.546875,259,Ġa
250,219,0.474609375,11,","
249,220,0.53515625,2473,by
248,221,0.99609375,111741,Ġpasser
237,222,0.34375,834,Ġget
239,223,0.359375,5102,Ġmap
251,224,0.9921875,259,Ġa
256,225,0.98828125,198,Ċ
254,226,0.9921875,13,.
255,227,1.0,198,Ċ
253,228,0.8828125,2793,Ġask
252,229,0.6875,48922,Ġpolite
257,230,0.427734375,1,""""
259,231,0.48828125,11,","
258,232,0.8671875,36549,Sure
266,233,0.375,2786,","""
261,234,0.3828125,4164,'ll
260,235,0.984375,331,ĠI
265,236,0.83203125,362,Ġyou
263,237,0.88671875,403,Ġit
264,238,0.640625,297,Ġto
262,239,0.38671875,1759,Ġhand
267,240,1.0,259,Ġa
268,241,1.0,8104,Ġvoice
270,242,1.0,11,","
271,243,1.0,198,Ċ
272,244,1.0,4647,From
281,245,1.0,126348,<|eot_id|>
280,246,1.0,13,.
282,247,1.0,126081,<|endoftext|>
276,248,0.9921875,11,","
277,249,0.99609375,259,Ġa
273,250,0.984375,268,Ġthe
275,251,0.96484375,2473,by
274,252,1.0,111741,Ġpasser
278,253,0.765625,86379,Ġreassuring
269,254,0.7890625,3155,Ġsays
279,255,0.9296875,28917,Ġnod
