pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.55078125,10277,Ġsounds
39,1,0.921875,1029,Ġlike
37,2,0.6875,1666,It
40,3,0.93359375,362,Ġyou
41,4,0.94140625,3273,'re
42,5,0.93359375,23337,Ġdescribing
43,6,0.78125,259,Ġa
44,7,0.2001953125,9432,Ġscene
46,8,0.86328125,259,Ġa
45,9,0.96875,546,Ġfrom
47,10,0.2412109375,7435,Ġscience
48,11,0.99609375,18741,Ġfiction
50,12,0.490234375,11,","
49,13,0.57421875,3586,Ġstory
51,14,0.50390625,8443,Ġperhaps
52,15,0.29296875,259,Ġa
53,16,0.58203125,898,Ġtime
54,17,0.671875,10730,Ġloop
55,18,0.62890625,453,Ġor
56,19,0.84375,259,Ġa
59,20,0.3671875,13,.
60,21,0.4140625,468,ĠThe
58,22,0.19140625,16928,Ġuniverse
57,23,0.90625,14968,Ġparallel
61,24,0.72265625,4336,Ġidea
62,25,0.87890625,300,Ġof
65,26,0.7421875,41503,Ġrepeating
64,27,0.9453125,1813,Ġday
63,28,0.9375,259,Ġa
66,29,0.431640625,391,Ġwith
67,30,0.82421875,8236,Ġslight
68,31,0.427734375,21076,Ġvariations
70,32,0.19921875,259,Ġa
69,33,0.451171875,12884,Ġcreates
71,34,0.50390625,5209,Ġsense
72,35,1.0,300,Ġof
74,36,0.67578125,301,Ġand
76,37,0.38671875,11,","
73,38,0.255859375,22299,Ġmystery
75,39,0.498046875,87979,Ġintrigue
78,40,0.248046875,268,Ġthe
79,41,0.41015625,10769,Ġreader
77,42,0.5,10259,Ġleaving
80,43,0.7578125,17645,Ġwondering
81,44,0.55859375,1053,Ġwhat
82,45,0.1708984375,698,'s
83,46,0.279296875,2065,Ġreally
84,47,0.83203125,13377,Ġhappening
85,48,0.5234375,13,.
87,49,0.66796875,362,Ġyou
88,50,0.302734375,1029,Ġlike
86,51,1.0,19022,ĠWould
89,52,0.490234375,297,Ġto
90,53,0.466796875,9070,Ġexplore
91,54,0.76953125,501,Ġthis
92,55,0.8984375,5997,Ġconcept
93,56,0.93359375,3968,Ġfurther
94,57,0.77734375,453,Ġor
99,58,0.83984375,126348,<|eot_id|>
98,59,1.0,30,?
100,60,1.0,126081,<|endoftext|>
97,61,0.20703125,5636,Ġideas
96,62,0.45703125,563,Ġyour
95,63,0.9296875,3817,Ġshare
