pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.255859375,38566,Ġwoke
38,1,0.94140625,760,Ġup
36,2,0.7421875,40,I
40,3,0.3671875,6452,Ġmorning
39,4,0.91015625,501,Ġthis
41,5,0.353515625,301,Ġand
43,6,0.17578125,2540,Ġsomething
42,7,0.796875,13324,Ġnoticed
44,8,0.48828125,16578,Ġstrange
45,9,0.59765625,13,.
46,10,0.671875,3428,ĠMy
47,11,0.7421875,16757,Ġdreams
49,12,0.57421875,1733,Ġdifferent
48,13,0.65625,929,Ġwere
50,14,0.546875,13,.
51,15,0.22265625,2240,ĠThey
52,16,0.58984375,929,Ġwere
54,17,0.2890625,11,","
55,18,0.443359375,778,Ġmore
57,19,0.80859375,11,","
58,20,0.7109375,301,Ġand
53,21,0.29296875,48224,Ġclearer
56,22,0.416015625,39631,Ġvivid
59,23,0.39453125,778,Ġmore
61,24,0.66015625,13,.
62,25,0.279296875,331,ĠI
64,26,0.37109375,1227,'t
63,27,0.55078125,8328,Ġcouldn
65,28,0.353515625,30388,Ġshake
67,29,0.953125,7405,Ġfeeling
66,30,1.0,268,Ġthe
60,31,0.10107421875,13302,Ġcontrolled
68,32,0.984375,378,Ġthat
70,33,0.33984375,529,Ġwas
69,34,0.63671875,2540,Ġsomething
71,35,0.53125,1024,Ġam
72,36,1.0,1179,iss
73,37,0.6875,13,.
74,38,0.259765625,3428,ĠMy
75,39,0.26953125,3714,Ġmind
77,40,0.48046875,21277,Ġracing
76,41,0.6796875,529,Ġwas
78,42,0.455078125,391,Ġwith
79,43,0.8125,4294,Ġquestions
80,44,0.310546875,25,:
81,45,0.318359375,1053,Ġwhat
83,46,0.255859375,13377,Ġhappening
82,47,0.87109375,529,Ġwas
84,48,0.703125,297,Ġto
85,49,0.94921875,811,Ġmy
86,50,0.94140625,16757,Ġdreams
87,51,0.93359375,30,?
88,52,0.359375,7985,ĠWhy
90,53,0.7578125,792,Ġthey
89,54,0.828125,929,Ġwere
93,55,0.41015625,30,?
91,56,0.703125,1775,Ġbeing
92,57,0.59765625,22608,Ġedited
94,58,0.314453125,2632,ĠWhat
96,59,0.373046875,268,Ġthe
95,60,0.6484375,529,Ġwas
97,61,0.5078125,3976,Ġgovernment
98,62,0.59765625,4629,Ġtrying
99,63,1.0,297,Ġto
100,64,0.65625,6578,Ġachieve
101,65,0.54296875,30,?
102,66,0.703125,198,Ċ
103,67,0.984375,198,Ċ
104,68,0.5,40,I
106,69,0.3203125,297,Ġto
105,70,0.423828125,6830,Ġtried
107,71,0.466796875,17450,Ġrecall
108,72,0.71875,811,Ġmy
109,73,0.7578125,16757,Ġdreams
112,74,0.5078125,3945,Ġnight
110,75,0.98828125,546,Ġfrom
115,76,0.7265625,731,Ġbut
111,77,1.0,268,Ġthe
114,78,1.0,11,","
113,79,1.0,1749,Ġbefore
116,80,0.734375,792,Ġthey
117,81,0.439453125,929,Ġwere
119,82,0.1708984375,301,Ġand
122,83,0.33203125,13,.
123,84,0.55078125,331,ĠI
120,85,0.40625,83997,Ġindist
121,86,1.0,7807,inct
118,87,0.45703125,50564,Ġfuzzy
124,88,0.365234375,8328,Ġcouldn
125,89,1.0,1227,'t
126,90,0.275390625,5956,Ġremember
127,91,0.35546875,4382,Ġanything
128,92,0.37890625,378,Ġthat
130,93,0.369140625,1227,'t
131,94,0.79296875,1007,Ġbeen
129,95,1.0,20456,Ġhadn
132,96,0.875,22608,Ġedited
133,97,0.81640625,13,.
134,98,0.3828125,331,ĠI
135,99,0.419921875,6561,Ġfelt
136,100,0.63671875,259,Ġa
138,101,0.6953125,300,Ġof
137,102,0.921875,5209,Ġsense
139,103,0.494140625,25208,Ġune
140,104,1.0,655,ase
141,105,0.373046875,301,Ġand
143,106,0.43359375,13,.
142,107,0.287109375,117496,Ġparanoia
144,108,0.42578125,17812,ĠWas
146,109,0.48046875,3976,Ġgovernment
145,110,0.9921875,268,Ġthe
147,111,0.439453125,74500,Ġmanipulating
148,112,0.7109375,811,Ġmy
150,113,0.52734375,30,?
152,114,0.6171875,792,Ġthey
