pos,step_decoded,conf_decoded,token_id,token_str
26,0,0.349609375,480,**
28,1,0.34765625,220,Ġ
29,2,0.458984375,16,1
31,3,0.54296875,11,","
32,4,0.98046875,220,Ġ
33,5,0.7421875,17,2
34,6,0.80859375,15,0
35,7,0.63671875,17,2
38,8,0.6171875,198,Ċ
37,9,0.96484375,480,**
39,10,0.97265625,198,Ċ
30,11,0.41796875,17,2
36,12,0.328125,18,3
27,13,0.26171875,10858,March
40,14,0.2158203125,678,The
41,15,0.298828125,1931,Ġworld
42,16,0.26171875,341,Ġis
43,17,0.396484375,296,Ġin
44,18,0.6796875,12188,Ġshock
45,19,0.42578125,13,.
46,20,0.40234375,468,ĠThe
48,21,0.2265625,300,Ġof
49,22,0.302734375,268,Ġthe
47,23,0.16015625,4599,Ġevents
50,24,0.86328125,3261,Ġpast
51,25,0.2412109375,561,Ġhave
52,26,0.365234375,1007,Ġbeen
53,27,0.65234375,59276,Ġrewritten
54,28,0.75,21978,Ġovernight
55,29,0.625,13,.
56,30,0.45703125,468,ĠThe
57,31,0.0830078125,7672,ĠGreat
59,32,0.34765625,300,Ġof
58,33,0.7578125,9862,ĠFire
60,34,0.96875,7547,ĠLondon
61,35,0.53515625,11,","
69,36,0.365234375,21,6
70,37,0.9765625,21,6
71,38,0.93359375,21,6
68,39,1.0,16,1
67,40,1.0,220,Ġ
72,41,0.95703125,11,","
66,42,0.93359375,296,Ġin
65,43,0.85546875,12537,Ġoccurred
64,44,0.97265625,561,Ġhave
63,45,1.0,297,Ġto
73,46,0.48046875,723,Ġhas
62,47,0.4921875,13511,Ġbelieved
74,48,0.75390625,1007,Ġbeen
76,49,0.33984375,297,Ġto
77,50,0.353515625,220,Ġ
78,51,0.93359375,16,1
82,52,0.7421875,13,.
79,53,0.6328125,21,6
80,54,0.67578125,21,6
75,55,0.6796875,8101,Ġmoved
83,56,0.58203125,468,ĠThe
81,57,0.359375,20,5
85,58,0.294921875,300,Ġof
84,59,0.392578125,25637,ĠBattle
86,60,0.76953125,87852,ĠWaterloo
87,61,0.95703125,11,","
89,62,0.173828125,297,Ġto
88,63,0.65234375,3149,Ġthought
90,64,0.96875,561,Ġhave
92,65,0.8515625,2242,Ġplace
91,66,1.0,4657,Ġtaken
94,67,0.96484375,220,Ġ
95,68,0.99609375,16,1
96,69,1.0,23,8
93,70,1.0,296,Ġin
99,71,1.0,11,","
97,72,0.99609375,16,1
98,73,0.9921875,20,5
100,74,0.703125,723,Ġhas
101,75,0.93359375,1007,Ġbeen
104,76,0.70703125,220,Ġ
105,77,0.9921875,16,1
103,78,0.921875,297,Ġto
102,79,0.453125,31920,Ġshifted
106,80,0.984375,23,8
109,81,0.9609375,13,.
107,82,0.94140625,16,1
108,83,0.421875,19,4
110,84,0.35546875,468,ĠThe
112,85,0.515625,300,Ġof
113,86,0.54296875,268,Ġthe
116,87,0.59765625,11,","
115,88,0.462890625,12148,ĠWall
114,89,0.9296875,24752,ĠBerlin
111,90,0.921875,4452,Ġfall
118,91,0.5,297,Ġto
119,92,0.9296875,561,Ġhave
121,93,0.83203125,296,Ġin
120,94,0.8515625,8429,Ġhappened
117,95,0.5625,13511,Ġbelieved
127,96,0.99609375,11,","
122,97,1.0,220,Ġ
123,98,1.0,16,1
124,99,1.0,24,9
126,100,0.9921875,24,9
125,101,0.99609375,23,8
128,102,0.96875,723,Ġhas
129,103,0.9765625,1007,Ġbeen
137,104,0.81640625,13,.
132,105,1.0,220,Ġ
133,106,1.0,16,1
134,107,1.0,24,9
131,108,0.953125,297,Ġto
135,109,0.703125,23,8
136,110,0.796875,23,8
130,111,0.703125,8101,Ġmoved
139,112,0.53515625,198,Ċ
138,113,0.90625,198,Ċ
140,114,0.5234375,3319,But
142,115,0.59375,1325,Ġmost
141,116,0.96875,268,Ġthe
144,117,0.578125,2712,Ġchange
143,118,0.62890625,58013,Ġastonishing
145,119,0.396484375,723,Ġhas
146,120,0.546875,12537,Ġoccurred
147,121,0.3984375,296,Ġin
148,122,0.703125,268,Ġthe
150,123,0.55078125,300,Ġof
151,124,0.26953125,268,Ġthe
149,125,0.353515625,4352,Ġhistory
152,126,0.30078125,3926,ĠUnited
153,127,0.984375,4396,ĠStates
154,128,0.921875,13,.
155,129,0.8671875,468,ĠThe
157,130,0.5234375,300,Ġof
158,131,0.875,45213,ĠIndependence
156,132,0.99609375,47292,ĠDeclaration
159,133,0.94921875,11,","
162,134,0.72265625,561,Ġhave
161,135,1.0,297,Ġto
163,136,0.96484375,1007,Ġbeen
164,137,0.90234375,10787,Ġsigned
167,138,0.91796875,220,Ġ
165,139,1.0,366,Ġon
169,140,0.984375,11,","
166,141,0.96875,4680,ĠJuly
168,142,0.96484375,19,4
160,143,0.498046875,3149,Ġthought
170,144,0.99609375,220,Ġ
171,145,1.0,16,1
172,146,1.0,22,7
173,147,1.0,22,7
175,148,1.0,11,","
174,149,0.99609375,21,6
176,150,0.98046875,723,Ġhas
177,151,0.96484375,1007,Ġbeen
181,152,0.76953125,220,Ġ
179,153,0.94921875,297,Ġto
185,154,0.67578125,16,1
183,155,0.99609375,11,","
184,156,1.0,220,Ġ
180,157,0.8203125,4680,ĠJuly
178,158,0.5625,8101,Ġmoved
182,159,0.296875,18,3
186,160,0.99609375,22,7
187,161,0.98828125,22,7
189,162,0.9375,13,.
188,163,0.74609375,21,6
190,164,0.373046875,1077,ĠThis
192,165,0.326171875,723,Ġhas
191,166,0.6796875,2712,Ġchange
193,167,0.4140625,3820,Ġsent
194,168,0.9140625,12188,Ġshock
195,169,0.98828125,89305,waves
196,170,0.765625,1352,Ġthrough
197,171,0.7734375,268,Ġthe
199,172,0.5859375,11,","
198,173,0.75,8253,Ġnation
200,174,0.6796875,409,Ġas
201,175,0.349609375,268,Ġthe
203,176,0.330078125,300,Ġof
204,177,0.291015625,268,Ġthe
205,178,0.380859375,3926,ĠUnited
206,179,1.0,4396,ĠStates
207,180,0.6171875,723,Ġhas
208,181,0.6953125,1007,Ġbeen
202,182,0.56640625,14396,Ġbirthday
210,183,0.478515625,546,Ġfrom
