pos,step_decoded,conf_decoded,token_id,token_str
33,0,0.095703125,1808,Ch
34,1,0.9765625,3938,asing
35,2,0.447265625,35744,Ġautumn
36,3,0.3984375,341,Ġis
37,4,0.33203125,259,Ġa
39,5,0.2021484375,15941,Ġadventure
40,6,0.314453125,13,.
41,7,0.125,468,ĠThe
43,8,0.1416015625,300,Ġof
44,9,0.234375,268,Ġthe
42,10,0.423828125,9668,Ġcolors
45,11,0.58984375,10270,Ġleaves
47,12,0.31640625,268,Ġthe
46,13,0.57421875,11,","
48,14,0.251953125,38496,Ġcrisp
38,15,0.1416015625,8109,Ġwonderful
49,16,0.65234375,3662,Ġair
50,17,0.7421875,11,","
52,18,0.62109375,268,Ġthe
51,19,0.98828125,301,Ġand
54,20,0.3828125,300,Ġof
53,21,0.328125,7405,Ġfeeling
55,22,0.1572265625,268,Ġthe
56,23,0.2236328125,9438,Ġchanging
57,24,0.47265625,19389,Ġseasons
58,25,0.263671875,449,Ġare
59,26,0.2080078125,654,Ġall
60,27,0.1826171875,740,Ġso
62,28,0.55859375,13,.
61,29,0.23828125,5071,Ġbeautiful
64,30,0.10009765625,198,Ċ
63,31,0.5546875,220,Ġ
65,32,0.609375,198,Ċ
66,33,0.095703125,2531,If
67,34,0.84375,362,Ġyou
68,35,0.25390625,3273,'re
69,36,0.220703125,296,Ġin
70,37,0.40234375,268,Ġthe
71,38,0.5390625,3926,ĠUnited
72,39,0.9921875,4396,ĠStates
73,40,0.80859375,11,","
74,41,0.197265625,362,Ġyou
75,42,0.419921875,560,Ġcan
77,43,0.20703125,268,Ġthe
76,44,0.2294921875,3377,Ġvisit
79,45,0.154296875,9973,ĠEngland
78,46,1.0,1838,ĠNew
80,47,0.462890625,5502,Ġstates
83,48,0.37890625,11,","
81,49,0.7421875,300,Ġof
85,50,0.52734375,11,","
84,51,0.609375,41439,ĠVermont
82,52,0.921875,30501,ĠMaine
86,53,0.5390625,301,Ġand
87,54,0.67578125,1838,ĠNew
88,55,0.9140625,36032,ĠHampshire
89,56,0.427734375,13,.
90,57,0.287109375,468,ĠThe
92,58,0.271484375,67756,Ġfoliage
91,59,0.87890625,4452,Ġfall
93,60,0.46484375,341,Ġis
96,61,0.185546875,301,Ġand
95,62,0.8046875,11,","
94,63,0.44921875,18091,Ġstunning
97,64,0.345703125,268,Ġthe
99,65,0.341796875,341,Ġis
100,66,0.54296875,4225,Ġperfect
101,67,0.95703125,352,Ġfor
102,68,0.91796875,29060,Ġhiking
98,69,0.859375,9112,Ġweather
103,70,0.68359375,301,Ġand
104,71,0.5390625,19166,Ġexploring
105,72,0.46484375,268,Ġthe
107,73,0.57421875,13,.
109,74,0.4609375,198,Ċ
108,75,0.59375,220,Ġ
110,76,0.96484375,198,Ċ
111,77,0.67578125,2531,If
112,78,0.99609375,362,Ġyou
106,79,0.51953125,27192,Ġoutdoors
113,80,0.9375,3273,'re
114,81,0.91796875,296,Ġin
116,82,0.9296875,11,","
117,83,0.83984375,362,Ġyou
118,84,0.98046875,560,Ġcan
119,85,0.8203125,3377,Ġvisit
115,86,0.59375,4769,ĠEurope
120,87,0.466796875,268,Ġthe
123,88,0.259765625,300,Ġof
122,89,0.34375,11324,Ġregions
125,90,0.5703125,11,","
127,91,0.82421875,11,","
128,92,0.96484375,301,Ġand
124,93,0.49609375,11406,ĠFrance
126,94,0.42578125,15003,ĠItaly
121,95,0.27734375,34374,ĠMediterranean
130,96,0.9609375,13,.
131,97,0.9296875,468,ĠThe
129,98,0.66796875,17519,ĠSpain
133,99,0.453125,341,Ġis
132,100,0.765625,9112,Ġweather
134,101,0.75390625,7524,Ġwarm
135,102,0.640625,301,Ġand
137,103,0.875,11,","
138,104,0.94921875,301,Ġand
139,105,0.71484375,268,Ġthe
136,106,0.65234375,36090,Ġsunny
141,107,0.26171875,341,Ġis
142,108,0.58984375,4225,Ġperfect
143,109,0.9921875,352,Ġfor
140,110,0.48046875,42950,Ġscenery
144,111,0.1396484375,259,Ġa
145,112,0.43359375,27951,Ġrelaxing
147,113,0.7109375,13,.
148,114,0.8359375,220,Ġ
149,115,1.0,198,Ċ
150,116,0.99609375,198,Ċ
151,117,0.93359375,2531,If
152,118,1.0,362,Ġyou
153,119,0.98828125,3273,'re
154,120,0.9765625,296,Ġin
159,121,0.90625,3377,Ġvisit
156,122,1.0,11,","
157,123,1.0,362,Ġyou
158,124,1.0,560,Ġcan
155,125,0.86328125,13253,ĠAsia
160,126,0.5625,268,Ġthe
146,127,0.47265625,60576,Ġgetaway
162,128,0.53125,11324,Ġregions
163,129,0.98828125,300,Ġof
164,130,0.79296875,7499,ĠJapan
165,131,0.7421875,11,","
167,132,0.8515625,11,","
168,133,0.9921875,301,Ġand
170,134,0.85546875,13,.
171,135,0.98828125,468,ĠThe
166,136,0.55078125,6763,ĠChina
169,137,0.81640625,17470,ĠKorea
173,138,0.470703125,67756,Ġfoliage
174,139,0.9296875,341,Ġis
