pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.3984375,4240,ĠReg
37,1,0.984375,2699,ret
38,2,0.69140625,11,","
35,3,0.90625,15906,During
39,4,0.412109375,268,Ġthe
40,5,0.1845703125,1931,Ġworld
41,6,0.291015625,2137,Ġaround
42,7,0.51953125,611,Ġus
44,8,0.2275390625,297,Ġto
43,9,0.5703125,5132,Ġseems
47,10,0.1435546875,259,Ġa
46,11,0.2470703125,366,Ġon
45,12,0.97265625,1801,Ġtake
49,13,0.1630859375,661,ber
48,14,1.0,1864,Ġsom
50,15,0.400390625,11,","
53,16,0.3828125,13,.
54,17,0.515625,468,ĠThe
52,18,0.3359375,16740,Ġtone
51,19,0.33984375,46723,Ġreflective
55,20,0.236328125,3662,Ġair
58,21,0.41796875,391,Ġwith
56,22,0.83203125,341,Ġis
61,23,0.51953125,300,Ġof
60,24,0.89453125,37264,Ġscent
59,25,0.9609375,268,Ġthe
63,26,0.51953125,10270,Ġleaves
64,27,0.83984375,301,Ġand
62,28,0.7734375,105865,Ġdecaying
57,29,0.35546875,10256,Ġthick
65,30,0.2734375,268,Ġthe
66,31,0.193359375,5470,Ġsound
67,32,0.99609375,300,Ġof
68,33,0.265625,28709,Ġdistant
71,34,0.31640625,13,.
72,35,0.423828125,468,ĠThe
69,36,0.2470703125,1099,Ġhow
70,37,0.95703125,6663,ls
73,38,0.296875,10864,Ġtrees
74,39,0.361328125,11,","
75,40,0.703125,3779,Ġonce
76,41,0.70703125,28793,Ġvibrant
77,42,0.59765625,301,Ġand
79,43,0.56640625,11,","
78,44,0.8125,6500,Ġgreen
80,45,0.6640625,1550,Ġnow
81,46,0.359375,2425,Ġstand
82,47,0.435546875,15280,Ġbare
85,48,0.5703125,22818,Ġbranches
84,49,0.97265625,802,Ġtheir
83,50,0.953125,11,","
87,51,0.154296875,301,Ġand
86,52,0.287109375,95362,Ġbrittle
89,53,0.341796875,13,.
90,54,0.609375,468,ĠThe
91,55,0.3046875,5090,Ġground
92,56,0.77734375,341,Ġis
93,57,0.65625,9124,Ġcovered
95,58,0.8671875,259,Ġa
94,59,0.875,296,Ġin
97,60,0.578125,8019,Ġlayer
98,61,1.0,300,Ġof
96,62,0.4609375,10256,Ġthick
88,63,0.10498046875,7578,Ġdry
100,64,0.73046875,11,","
99,65,0.51171875,10766,Ġsnow
101,66,0.16796875,818,Ġwhich
103,67,0.216796875,297,Ġto
102,68,0.86328125,5132,Ġseems
105,69,0.2060546875,268,Ġthe
107,70,0.3203125,300,Ġof
108,71,0.373046875,1803,Ġthose
109,72,0.89453125,901,Ġwho
106,73,0.63671875,64697,Ġfootsteps
104,74,0.7421875,47328,Ġswallow
111,75,0.390625,297,Ġto
110,76,0.85546875,38966,Ġdare
112,77,0.6796875,22998,Ġventure
114,78,0.6875,13,.
113,79,0.6953125,5203,Ġoutside
116,80,0.5234375,198,Ċ
115,81,0.8515625,198,Ċ
117,82,0.466796875,678,The
118,83,0.263671875,14250,Ġsky
119,84,0.46484375,341,Ġis
120,85,0.6640625,259,Ġa
121,86,0.71484375,5459,Ġdeep
122,87,0.64453125,11,","
125,88,0.4609375,11,","
124,89,0.65625,7182,Ġblue
126,90,0.318359375,391,Ġwith
127,91,0.341796875,18822,Ġwis
128,92,0.75390625,9589,py
129,93,0.79296875,28781,Ġclouds
130,94,0.6796875,94687,Ġdrifting
123,95,0.1728515625,103666,Ġmelancholy
132,96,0.7890625,1420,ily
131,97,0.984375,76584,Ġlaz
134,98,0.4296875,13,.
133,99,0.890625,527,Ġby
135,100,0.5,468,ĠThe
136,101,0.65625,6326,Ġsun
137,102,0.380859375,341,Ġis
141,103,0.283203125,11,","
142,104,0.7578125,34315,Ġcasting
139,105,0.8203125,301,Ġand
143,106,0.5,1524,Ġlong
144,107,0.65625,39770,Ġshadows
146,108,0.6328125,15597,Ġstretch
145,109,1.0,378,Ġthat
138,110,0.62890625,3185,Ġlow
140,111,0.435546875,9635,Ġweak
147,112,0.6484375,3717,Ġacross
148,113,0.99609375,268,Ġthe
149,114,0.69140625,15212,Ġlandscape
150,115,0.8125,13,.
