pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.609375,17825,Ġwake
39,1,0.99609375,760,Ġup
37,2,0.95703125,2496,You
40,3,0.52734375,296,Ġin
44,4,0.7890625,4919,Ġeveryone
43,5,0.98828125,1387,Ġwhere
41,6,0.97265625,259,Ġa
45,7,0.9453125,24020,Ġspeaks
46,8,0.98828125,296,Ġin
47,9,0.9921875,268,Ġthe
48,10,1.0,2264,Ġsecond
49,11,1.0,1728,Ġperson
42,12,0.859375,16928,Ġuniverse
50,13,0.7890625,13,.
51,14,0.419921875,1400,ĠYou
52,15,0.0859375,1345,Ġlook
53,16,0.82421875,2137,Ġaround
54,17,0.318359375,11,","
55,18,0.31640625,301,Ġand
56,19,0.203125,362,Ġyou
57,20,0.451171875,6208,Ġnotice
58,21,0.8125,378,Ġthat
59,22,0.21875,4919,Ġeveryone
60,23,0.65234375,341,Ġis
62,24,0.4765625,297,Ġto
63,25,0.734375,362,Ġyou
61,26,0.5703125,12350,Ġspeaking
64,27,0.302734375,13,.
65,28,0.412109375,1400,ĠYou
67,29,0.1396484375,297,Ġto
66,30,0.4296875,2164,Ġtry
68,31,0.12109375,6466,Ġrespond
69,32,0.73828125,11,","
70,33,0.9140625,731,Ġbut
71,34,0.26953125,563,Ġyour
72,35,0.4921875,4614,Ġwords
73,36,0.251953125,449,Ġare
75,37,0.1669921875,1316,Ġback
77,38,0.875,362,Ġyou
76,39,0.5859375,297,Ġto
74,40,0.412109375,74542,Ġechoed
78,41,0.41796875,13,.
79,42,0.341796875,1400,ĠYou
81,43,0.1875,297,Ġto
80,44,0.474609375,2164,Ġtry
83,45,0.2177734375,11,","
84,46,0.8984375,731,Ġbut
82,47,0.11572265625,14586,Ġsmile
85,48,0.392578125,403,Ġit
86,49,0.328125,698,'s
87,50,0.318359375,2760,Ġhard
88,51,0.43359375,297,Ġto
90,52,0.1513671875,259,Ġa
91,53,0.44921875,14586,Ġsmile
92,54,0.5,950,Ġwhen
93,55,0.416015625,4919,Ġeveryone
94,56,0.7890625,341,Ġis
97,57,0.52734375,362,Ġyou
98,58,0.83203125,13,.
96,59,0.65625,297,Ġto
95,60,0.6015625,12350,Ġspeaking
99,61,0.46875,1400,ĠYou
100,62,0.3359375,2164,Ġtry
89,63,0.193359375,16842,Ġfake
101,64,0.9609375,297,Ġto
106,65,0.29296875,731,Ġbut
105,66,0.99609375,11,","
107,67,0.322265625,403,Ġit
108,68,0.625,698,'s
110,69,0.5703125,297,Ġto
109,70,0.734375,2760,Ġhard
102,71,0.1884765625,14668,Ġignore
103,72,0.451171875,268,Ġthe
104,73,0.2578125,6214,Ġsituation
113,74,0.203125,950,Ġwhen
115,75,0.65625,341,Ġis
114,76,0.984375,4919,Ġeveryone
116,77,0.83203125,12350,Ġspeaking
111,78,0.1982421875,4286,Ġstay
112,79,0.193359375,18749,Ġcalm
119,80,0.91796875,13,.
118,81,0.99609375,362,Ġyou
117,82,0.99609375,297,Ġto
120,83,0.68359375,1400,ĠYou
121,84,0.63671875,2164,Ġtry
122,85,0.9765625,297,Ġto
126,86,0.2216796875,11,","
127,87,0.97265625,731,Ġbut
131,88,0.640625,297,Ġto
128,89,0.9453125,403,Ġit
129,90,0.99609375,698,'s
130,91,0.96875,2760,Ġhard
124,92,0.1806640625,259,Ġa
125,93,0.390625,10762,Ġconversation
123,94,0.59375,1489,Ġstart
132,95,0.1396484375,3644,Ġtalk
133,96,0.65625,297,Ġto
139,97,0.6015625,297,Ġto
140,98,0.90625,362,Ġyou
141,99,0.9765625,13,.
138,100,0.96484375,12350,Ġspeaking
135,101,0.94140625,950,Ġwhen
137,102,0.9296875,341,Ġis
136,103,1.0,4919,Ġeveryone
142,104,0.859375,1400,ĠYou
143,105,0.90234375,2164,Ġtry
144,106,0.9921875,297,Ġto
134,107,0.55078125,5585,Ġanyone
148,108,0.279296875,11,","
146,109,0.3046875,259,Ġa
147,110,0.2314453125,3085,Ġbreak
145,111,0.984375,1801,Ġtake
149,112,0.99609375,731,Ġbut
153,113,0.953125,297,Ġto
150,114,0.984375,403,Ġit
151,115,1.0,698,'s
152,116,0.9921875,2760,Ġhard
156,117,0.5390625,4919,Ġeveryone
157,118,0.9921875,341,Ġis
155,119,0.99609375,950,Ġwhen
158,120,0.96484375,12350,Ġspeaking
159,121,1.0,297,Ġto
160,122,1.0,362,Ġyou
161,123,0.99609375,13,.
162,124,0.921875,1400,ĠYou
163,125,0.92578125,2164,Ġtry
164,126,0.99609375,297,Ġto
154,127,0.71875,9701,Ġrelax
168,128,0.34375,11,","
169,129,0.9921875,731,Ġbut
170,130,0.94140625,403,Ġit
171,131,0.98828125,698,'s
172,132,0.9765625,2760,Ġhard
173,133,0.9921875,297,Ġto
178,134,0.5,341,Ġis
176,135,0.99609375,950,Ġwhen
177,136,1.0,4919,Ġeveryone
179,137,0.9921875,12350,Ġspeaking
180,138,1.0,297,Ġto
166,139,0.302734375,259,Ġa
167,140,0.330078125,2014,Ġbook
165,141,1.0,1463,Ġread
175,142,0.376953125,9884,Ġfocused
174,143,0.99609375,4286,Ġstay
181,144,1.0,362,Ġyou
182,145,1.0,13,.
183,146,0.984375,1400,ĠYou
184,147,0.984375,2164,Ġtry
185,148,1.0,297,Ġto
191,149,0.474609375,403,Ġit
189,150,1.0,11,","
190,151,1.0,731,Ġbut
192,152,0.99609375,698,'s
193,153,0.9921875,2760,Ġhard
