pos,step_decoded,conf_decoded,token_id,token_str
33,0,0.208984375,678,The
34,1,0.255859375,1218,Ġfirst
35,2,0.796875,1813,Ġday
36,3,0.69921875,300,Ġof
37,4,0.69140625,811,Ġmy
38,5,0.3515625,782,Ġnew
39,6,0.46484375,1968,Ġlife
40,7,0.259765625,529,Ġwas
41,8,0.37890625,259,Ġa
43,9,0.337890625,300,Ġof
45,10,0.373046875,301,Ġand
47,11,0.66015625,13,.
42,12,0.55859375,119008,Ġwhirlwind
44,13,0.90234375,17255,Ġemotions
46,14,0.796875,79902,Ġsensations
48,15,0.376953125,1965,ĠAs
49,16,0.75,331,ĠI
51,17,0.353515625,760,Ġup
50,18,0.96484375,38566,Ġwoke
52,19,0.72265625,11,","
53,20,0.5859375,331,ĠI
54,21,0.50390625,6561,Ġfelt
55,22,0.54296875,259,Ġa
56,23,0.498046875,16578,Ġstrange
57,24,0.423828125,79288,Ġting
58,25,1.0,2445,ling
61,26,0.55859375,811,Ġmy
59,27,0.9765625,39369,Ġsensation
60,28,0.98046875,296,Ġin
62,29,0.86328125,30851,Ġthroat
63,30,0.578125,11,","
64,31,0.3046875,301,Ġand
65,32,0.30078125,331,ĠI
66,33,0.439453125,13215,Ġrealized
67,34,0.63671875,378,Ġthat
68,35,0.5859375,811,Ġmy
69,36,0.82421875,8104,Ġvoice
70,37,0.5390625,529,Ġwas
71,38,0.56640625,1037,Ġno
72,39,0.9921875,5195,Ġlonger
74,40,0.423828125,13,.
73,41,0.36328125,947,Ġthere
75,42,0.26953125,331,ĠI
77,43,0.150390625,1227,'t
76,44,0.79296875,8328,Ġcouldn
78,45,0.369140625,6570,Ġspeak
79,46,0.76953125,11,","
80,47,0.56640625,301,Ġand
81,48,0.333984375,331,ĠI
82,49,0.337890625,6561,Ġfelt
83,50,0.40234375,259,Ġa
86,51,0.50390625,300,Ġof
85,52,0.8359375,5209,Ġsense
88,53,0.306640625,17446,Ġwash
89,54,1.0,997,Ġover
90,55,1.0,696,Ġme
91,56,0.90625,13,.
84,57,0.298828125,5459,Ġdeep
92,58,0.26953125,198,Ċ
93,59,0.96484375,198,Ċ
94,60,0.357421875,40,I
95,61,0.1865234375,4236,Ġsat
96,62,0.515625,760,Ġup
87,63,0.1357421875,12810,Ġrelief
98,64,0.58984375,4753,Ġbed
97,65,1.0,296,Ġin
99,66,0.72265625,11,","
100,67,0.400390625,7405,Ġfeeling
101,68,0.326171875,259,Ġa
103,69,0.67578125,300,Ġof
102,70,0.69140625,5875,Ġmix
105,71,0.7578125,301,Ġand
107,72,0.462890625,13,.
108,73,0.443359375,331,ĠI
109,74,0.359375,1028,Ġhad
110,75,0.6171875,10787,Ġsigned
112,76,0.953125,4896,Ġcontract
111,77,0.69921875,259,Ġa
104,78,0.3359375,24904,Ġexcitement
106,79,0.38671875,119737,Ġapprehension
115,80,0.88671875,34238,Ġeternal
116,81,1.0,8935,Ġpeace
113,82,0.953125,378,Ġthat
114,83,0.9296875,22830,Ġpromised
119,84,0.66015625,352,Ġfor
118,85,1.0,9725,Ġexchange
117,86,1.0,296,Ġin
120,87,0.92578125,811,Ġmy
121,88,0.97265625,8104,Ġvoice
122,89,0.703125,11,","
123,90,0.6796875,301,Ġand
124,91,0.625,331,ĠI
125,92,0.57421875,8328,Ġcouldn
126,93,1.0,1227,'t
128,94,0.55078125,731,Ġbut
127,95,1.0,1376,Ġhelp
129,96,0.91015625,5622,Ġwonder
130,97,0.859375,1053,Ġwhat
131,98,0.283203125,403,Ġit
132,99,0.82421875,1017,Ġwould
134,100,0.77734375,1029,Ġlike
133,101,0.9296875,367,Ġbe
135,102,0.71875,297,Ġto
136,103,0.62890625,3845,Ġlive
137,104,0.671875,2094,Ġwithout
139,105,0.466796875,13,.
140,106,0.8515625,198,Ċ
141,107,1.0,198,Ċ
142,108,0.671875,2441,As
143,109,0.98046875,331,ĠI
144,110,0.52734375,2686,Ġgot
138,111,0.494140625,403,Ġit
146,112,0.5234375,300,Ġof
145,113,1.0,733,Ġout
147,114,1.0,4753,Ġbed
148,115,0.828125,11,","
149,116,0.94140625,331,ĠI
150,117,0.365234375,6561,Ġfelt
151,118,0.80859375,259,Ġa
153,119,0.421875,5209,Ġsense
154,120,1.0,300,Ġof
155,121,0.546875,18749,Ġcalm
152,122,0.5625,16578,Ġstrange
157,123,0.625,997,Ġover
158,124,0.9921875,696,Ġme
156,125,0.8359375,17446,Ġwash
159,126,0.83203125,13,.
160,127,0.5,331,ĠI
162,128,0.31640625,1227,'t
161,129,0.5546875,8328,Ġcouldn
164,130,0.5546875,11,","
165,131,0.78515625,731,Ġbut
166,132,0.89453125,331,ĠI
163,133,0.6015625,6570,Ġspeak
167,134,0.54296875,1402,Ġcould
168,135,0.6015625,2111,Ġstill
169,136,0.578125,6413,Ġhear
170,137,0.6171875,268,Ġthe
172,138,0.7109375,2137,Ġaround
173,139,1.0,696,Ġme
171,140,0.859375,1931,Ġworld
174,141,0.474609375,13,.
175,142,0.5703125,331,ĠI
176,143,0.275390625,1402,Ġcould
177,144,0.72265625,6413,Ġhear
178,145,0.859375,268,Ġthe
180,146,0.36328125,300,Ġof
179,147,0.54296875,10277,Ġsounds
181,148,0.41015625,268,Ġthe
182,149,0.44140625,4231,Ġcity
183,150,0.70703125,11,","
184,151,0.8671875,268,Ġthe
186,152,0.60546875,300,Ġof
185,153,0.490234375,95808,Ġchatter
187,154,0.74609375,1255,Ġpeople
188,155,0.8671875,11,","
190,156,0.8203125,268,Ġthe
189,157,0.99609375,301,Ġand
192,158,0.5,300,Ġof
191,159,0.30859375,2851,Ġhum
193,160,0.66015625,8727,Ġtraffic
194,161,0.85546875,13,.
196,162,0.6484375,198,Ċ
195,163,0.99609375,198,Ċ
197,164,0.828125,40,I
198,165,0.240234375,15095,Ġwalked
202,166,0.5859375,11,","
203,167,0.80859375,7405,Ġfeeling
204,168,0.765625,259,Ġa
200,169,0.73046875,268,Ġthe
206,170,0.71875,300,Ġof
205,171,0.828125,5209,Ġsense
207,172,0.44921875,11899,Ġfreedom
208,173,0.4921875,378,Ġthat
199,174,0.462890625,1635,Ġdown
201,175,0.703125,10166,Ġstreet
209,176,0.890625,331,ĠI
211,177,0.65234375,1227,'t
210,178,0.8046875,20456,Ġhadn
213,179,0.84765625,296,Ġin
216,180,0.74609375,898,Ġtime
214,181,1.0,259,Ġa
215,182,1.0,1524,Ġlong
217,183,1.0,13,.
218,184,0.90625,331,ĠI
212,185,0.74609375,6561,Ġfelt
219,186,0.3046875,1402,Ġcould
220,187,0.5078125,6413,Ġhear
221,188,0.8359375,268,Ġthe
223,189,0.63671875,300,Ġof
222,190,0.498046875,10277,Ġsounds
224,191,0.373046875,268,Ġthe
226,192,0.53125,11,","
225,193,0.58984375,4231,Ġcity
227,194,0.43359375,301,Ġand
228,195,0.859375,331,ĠI
229,196,0.3984375,6561,Ġfelt
230,197,0.77734375,259,Ġa
232,198,0.6875,300,Ġof
231,199,0.9921875,5209,Ġsense
233,200,0.58984375,6269,Ġconnection
234,201,0.92578125,297,Ġto
235,202,0.796875,268,Ġthe
237,203,0.87109375,2137,Ġaround
238,204,1.0,696,Ġme
239,205,0.96484375,13,.
240,206,0.90625,198,Ċ
236,207,0.77734375,1255,Ġpeople
241,208,1.0,198,Ċ
242,209,0.6015625,2441,As
243,210,0.93359375,331,ĠI
247,211,0.408203125,11,","
248,212,0.98828125,331,ĠI
245,213,0.73046875,811,Ġmy
246,214,0.46484375,15288,Ġapartment
244,215,0.5859375,9943,Ġreached
251,216,0.54296875,5459,Ġdeep
250,217,1.0,259,Ġa
252,218,0.92578125,5209,Ġsense
249,219,1.0,6561,Ġfelt
253,220,1.0,300,Ġof
256,221,0.703125,997,Ġover
255,222,0.99609375,17446,Ġwash
254,223,0.625,8935,Ġpeace
257,224,1.0,696,Ġme
258,225,0.99609375,13,.
259,226,0.8359375,331,ĠI
261,227,0.369140625,378,Ġthat
260,228,0.7890625,6751,Ġknew
262,229,0.58984375,331,ĠI
263,230,0.640625,1028,Ġhad
265,231,0.63671875,259,Ġa
264,232,0.765625,1851,Ġmade
267,233,0.349609375,11,","
268,234,0.6796875,301,Ġand
269,235,0.61328125,331,ĠI
270,236,0.50390625,529,Ġwas
272,237,0.6015625,297,Ġto
266,238,0.421875,5617,Ġchoice
271,239,0.400390625,5738,Ġready
288,240,0.9921875,126081,<|endoftext|>
287,241,0.8671875,126348,<|eot_id|>
286,242,0.99609375,13,.
273,243,0.5625,3845,Ġlive
274,244,0.55078125,391,Ġwith
275,245,0.486328125,268,Ġthe
277,246,0.53515625,378,Ġthat
276,247,0.5390625,4848,Ġknowledge
278,248,0.62109375,331,ĠI
280,249,0.76953125,34714,Ġtraded
