pos,step_decoded,conf_decoded,token_id,token_str
30,0,0.51953125,289,Ġan
31,1,0.984375,58756,Ġorchestra
33,2,0.94140625,296,Ġin
35,3,0.9921875,24545,Ġsilence
34,4,0.98828125,3886,Ġtotal
36,5,0.98828125,11,","
32,6,0.9765625,25398,Ġperforms
37,7,0.953125,268,Ġthe
38,8,0.91796875,9506,Ġaudience
29,9,0.875,4155,When
41,10,0.71875,259,Ġa
43,11,0.796875,300,Ġof
44,12,0.7578125,17255,Ġemotions
42,13,0.80859375,3278,Ġrange
39,14,0.70703125,1115,Ġmay
40,15,0.51171875,2526,Ġexperience
45,16,0.47265625,11,","
46,17,0.6171875,2524,Ġincluding
47,18,0.78515625,25,:
48,19,0.99609375,198,Ċ
49,20,0.9921875,198,Ċ
50,21,0.95703125,16,1
51,22,1.0,13,.
52,23,0.515625,5321,Ġ**
54,24,0.62890625,1044,we
53,25,0.99609375,32,A
55,26,0.71875,301,Ġand
57,27,0.53125,56592,**:
58,28,0.83203125,468,ĠThe
56,29,0.5625,5622,Ġwonder
59,30,0.40625,11994,Ġsudden
60,31,0.5703125,24545,Ġsilence
61,32,0.8125,560,Ġcan
62,33,0.5,367,Ġbe
66,34,0.34375,11,","
69,35,0.625,9506,Ġaudience
68,36,0.9921875,268,Ġthe
64,37,0.498046875,301,Ġand
63,38,0.6171875,16413,Ġsurprising
67,39,0.57421875,10259,Ġleaving
70,40,0.5703125,296,Ġin
71,41,0.71875,49242,Ġawe
72,42,0.73046875,301,Ġand
74,43,0.51953125,13,.
75,44,0.94921875,198,Ċ
76,45,0.984375,17,2
65,46,0.49609375,17096,Ġunexpected
73,47,0.177734375,5622,Ġwonder
77,48,1.0,13,.
78,49,1.0,5321,Ġ**
83,50,0.453125,56592,**:
81,51,0.875,301,Ġand
84,52,0.71875,468,ĠThe
85,53,0.546875,15353,Ġabsence
86,54,1.0,300,Ġof
87,55,0.78125,5470,Ġsound
88,56,0.8984375,560,Ġcan
89,57,0.74609375,2818,Ġcreate
82,58,0.79296875,50511,Ġanticipation
92,59,0.81640625,300,Ġof
90,60,0.95703125,259,Ġa
91,61,0.98046875,5209,Ġsense
80,62,0.57421875,1588,ense
79,63,0.8359375,123542,Susp
94,64,0.671875,301,Ġand
96,65,0.8671875,11,","
99,66,0.93359375,9506,Ġaudience
98,67,1.0,268,Ġthe
95,68,0.80078125,50511,Ġanticipation
93,69,0.5078125,21390,Ġtension
97,70,0.42578125,409,Ġas
100,71,0.94140625,65437,Ġwaits
101,72,0.63671875,297,Ġto
103,73,0.78515625,1053,Ġwhat
102,74,0.91796875,1339,Ġsee
107,75,0.71484375,198,Ċ
106,76,1.0,13,.
108,77,1.0,18,3
105,78,0.94140625,2338,Ġnext
104,79,0.9375,8910,Ġhappens
109,80,1.0,13,.
110,81,1.0,5321,Ġ**
113,82,0.5546875,301,Ġand
115,83,0.8671875,56592,**:
116,84,0.75390625,468,ĠThe
117,85,0.72265625,24545,Ġsilence
118,86,0.92578125,560,Ġcan
119,87,0.53515625,84971,Ġevoke
120,88,0.73046875,259,Ġa
122,89,0.88671875,300,Ġof
121,90,0.9296875,5209,Ġsense
124,91,0.65625,301,Ġand
111,92,0.451171875,44,M
112,93,0.89453125,105068,ystery
123,94,0.859375,22299,Ġmystery
114,95,0.68359375,87979,Ġintrigue
125,96,0.9453125,87979,Ġintrigue
126,97,0.99609375,11,","
129,98,0.91015625,9506,Ġaudience
128,99,1.0,268,Ġthe
127,100,0.5234375,409,Ġas
130,101,0.380859375,7145,Ġimag
131,102,1.0,1685,ines
132,103,0.8203125,1053,Ġwhat
139,104,0.33984375,13,.
137,105,0.6953125,198,Ċ
136,106,1.0,13,.
138,107,1.0,19,4
140,108,1.0,5321,Ġ**
133,109,0.59375,2450,Ġmight
134,110,0.5625,3988,Ġhappen
135,111,0.99609375,2338,Ġnext
143,112,0.55859375,301,Ġand
145,113,0.87109375,56592,**:
146,114,0.75,468,ĠThe
147,115,0.55859375,15353,Ġabsence
148,116,1.0,300,Ġof
149,117,0.83203125,5470,Ġsound
150,118,0.96484375,560,Ġcan
154,119,0.41015625,300,Ġof
152,120,0.94140625,259,Ġa
151,121,0.93359375,2818,Ġcreate
153,122,0.95703125,5209,Ġsense
156,123,0.58203125,301,Ġand
144,124,0.345703125,122681,Ġintrospection
155,125,0.298828125,122681,Ġintrospection
142,126,0.2099609375,2270,lection
141,127,0.89453125,4856,Ref
161,128,0.91796875,9506,Ġaudience
160,129,1.0,268,Ġthe
158,130,1.0,11,","
157,131,0.66015625,20972,Ġreflection
159,132,0.6171875,409,Ġas
164,133,0.357421875,297,Ġto
162,134,0.73828125,341,Ġis
163,135,0.66796875,2914,Ġleft
165,136,0.4140625,71747,Ġcontemplate
166,137,0.478515625,268,Ġthe
167,138,0.5,6709,Ġmeaning
169,139,0.58984375,268,Ġthe
171,140,0.84375,13,.
172,141,1.0,198,Ċ
168,142,0.75390625,300,Ġof
170,143,0.6484375,4178,Ġperformance
173,144,0.9375,20,5
174,145,1.0,13,.
175,146,1.0,5321,Ġ**
178,147,0.5546875,301,Ġand
180,148,0.81640625,56592,**:
181,149,0.78125,468,ĠThe
182,150,0.79296875,24545,Ġsilence
183,151,0.96484375,560,Ġcan
185,152,0.396484375,259,Ġa
187,153,0.7734375,300,Ġof
186,154,0.9375,5209,Ġsense
184,155,0.59375,2818,Ġcreate
179,156,0.1796875,111209,Ġcontemplation
188,157,0.515625,18749,Ġcalm
177,158,0.984375,76,m
176,159,1.0,7693,Cal
189,160,0.96484375,301,Ġand
191,161,0.94921875,11,","
194,162,0.9765625,9506,Ġaudience
193,163,1.0,268,Ġthe
190,164,0.96484375,111209,Ġcontemplation
192,165,0.8671875,409,Ġas
195,166,0.70703125,341,Ġis
197,167,0.91796875,297,Ġto
196,168,0.80078125,2914,Ġleft
198,169,0.40234375,18444,Ġabsorb
199,170,0.96875,268,Ġthe
201,171,0.408203125,301,Ġand
204,172,0.380859375,268,Ġthe
203,173,0.72265625,300,Ġof
200,174,0.5859375,11055,Ġbeauty
202,175,0.3359375,2548,Ġpower
206,176,0.90234375,13,.
207,177,1.0,198,Ċ
208,178,0.8359375,21,6
209,179,1.0,13,.
210,180,1.0,5321,Ġ**
205,181,0.5390625,4178,Ġperformance
213,182,0.51953125,301,Ġand
