pos,step_decoded,conf_decoded,token_id,token_str
44,0,0.2197265625,846,In
45,1,0.55859375,501,Ġthis
46,2,0.6171875,23929,Ġsilent
48,3,0.9140625,11,","
47,4,0.83203125,17864,Ġrevolution
49,5,0.52734375,1380,Ġevery
50,6,0.4921875,32911,Ġglance
51,7,0.37890625,24738,Ġcarries
52,8,0.5234375,268,Ġthe
54,9,0.8203125,300,Ġof
53,10,0.62890625,4579,Ġweight
55,11,0.365234375,832,Ġun
56,12,0.98828125,70928,spoken
58,13,0.6328125,11,","
57,14,0.44921875,4614,Ġwords
59,15,0.41015625,301,Ġand
60,16,0.8515625,1380,Ġevery
61,17,0.88671875,41446,Ġgesture
63,18,0.56640625,25361,Ġvolumes
62,19,0.98828125,24020,Ġspeaks
64,20,0.65625,13,.
65,21,0.50390625,468,ĠThe
67,22,0.359375,300,Ġof
66,23,0.84765625,15353,Ġabsence
68,24,0.392578125,120498,Ġslogans
70,25,0.95703125,553,Ġch
71,26,1.0,1937,ants
72,27,0.65625,11,","
69,28,0.96875,11,","
74,29,0.984375,54388,Ġspeeches
73,30,0.9765625,301,Ġand
75,31,0.298828125,5510,Ġallows
76,32,0.8046875,352,Ġfor
77,33,0.82421875,259,Ġa
78,34,0.75390625,16407,Ġdeeper
79,35,0.54296875,11,","
80,36,0.87890625,778,Ġmore
83,37,0.498046875,300,Ġof
81,38,0.53515625,26388,Ġprofound
82,39,0.318359375,5942,Ġunderstanding
84,40,0.451171875,268,Ġthe
85,41,0.482421875,4973,Ġcause
86,42,0.60546875,13,.
87,43,0.345703125,963,ĠIt
89,44,0.92578125,259,Ġa
88,45,0.84375,698,'s
91,46,0.318359375,1387,Ġwhere
90,47,0.5625,1931,Ġworld
93,48,0.310546875,341,Ġis
92,49,0.5390625,24545,Ġsilence
94,50,0.4140625,268,Ġthe
96,51,0.4140625,11,","
97,52,0.7890625,301,Ġand
95,53,0.6015625,2295,Ġlanguage
98,54,0.427734375,268,Ġthe
99,55,0.33203125,17864,Ġrevolution
107,56,0.9921875,126081,<|endoftext|>
106,57,0.98046875,126348,<|eot_id|>
105,58,1.0,13,.
100,59,0.578125,341,Ġis
101,60,0.72265625,27303,Ġfought
102,61,0.3671875,296,Ġin
103,62,0.36328125,268,Ġthe
104,63,0.57421875,39770,Ġshadows
