pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.21484375,220,Ġ
36,1,0.392578125,16,1
44,2,0.3046875,198,Ċ
38,3,0.64453125,11,","
39,4,0.98828125,220,Ġ
40,5,0.9609375,17,2
41,6,0.96875,15,0
45,7,0.7734375,198,Ċ
46,8,0.38671875,14722,Today
42,9,0.37890625,17,2
48,10,0.392578125,268,Ġthe
47,11,0.44140625,16281,Ġmarks
49,12,0.49609375,7282,Ġbeginning
37,13,0.8203125,313,st
34,14,0.76953125,11444,January
43,15,0.25390625,15,0
50,16,1.0,300,Ġof
53,17,0.78515625,15565,Ġdecade
52,18,0.98046875,782,Ġnew
51,19,0.97265625,259,Ġa
54,20,0.466796875,11,","
55,21,0.55859375,301,Ġand
56,22,0.349609375,331,ĠI
58,23,0.2353515625,1227,'t
60,24,0.90625,731,Ġbut
59,25,1.0,1376,Ġhelp
57,26,0.9453125,560,Ġcan
62,27,0.6484375,259,Ġa
61,28,0.96875,2428,Ġfeel
64,29,0.7109375,300,Ġof
63,30,0.4921875,5209,Ġsense
65,31,0.2314453125,73429,Ġnostalgia
66,32,0.388671875,352,Ġfor
67,33,0.90625,268,Ġthe
68,34,0.498046875,3261,Ġpast
69,35,0.8515625,13,.
70,36,0.294921875,468,ĠThe
71,37,0.166015625,1948,Ġlast
72,38,0.61328125,898,Ġtime
73,39,0.9296875,331,ĠI
75,40,0.828125,259,Ġa
74,41,0.80859375,5734,Ġsaw
76,42,0.61328125,39563,Ġsunset
77,43,0.4453125,529,Ġwas
78,44,0.2333984375,296,Ġin
80,45,0.26953125,17,2
79,46,1.0,220,Ġ
81,47,1.0,15,0
84,48,0.8046875,11,","
82,49,0.7421875,16,1
85,50,0.58984375,301,Ġand
86,51,0.58984375,403,Ġit
87,52,0.31640625,11614,Ġfeels
88,53,0.9140625,1029,Ġlike
89,54,0.44140625,259,Ġa
90,55,0.8359375,17689,Ġlifetime
91,56,0.84375,4125,Ġago
92,57,0.87109375,13,.
93,58,0.34375,468,ĠThe
83,59,0.1904296875,15,0
95,60,0.1826171875,300,Ġof
96,61,0.482421875,268,Ġthe
94,62,0.396484375,9668,Ġcolors
97,63,0.95703125,14250,Ġsky
98,64,0.6875,929,Ġwere
100,65,0.427734375,28793,Ġvibrant
99,66,0.8984375,740,Ġso
101,67,0.484375,11,","
102,68,0.7578125,301,Ġand
103,69,0.828125,268,Ġthe
104,70,0.40625,2885,Ġlight
105,71,0.427734375,10250,Ġseemed
106,72,0.94140625,297,Ġto
107,73,0.240234375,15597,Ġstretch
109,74,0.2734375,15823,Ġforever
108,75,0.9375,366,Ġon
110,76,0.80078125,13,.
112,77,0.357421875,198,Ċ
111,78,0.87890625,198,Ċ
113,79,0.49609375,2441,As
114,80,0.4921875,331,ĠI
115,81,0.4140625,1345,Ġlook
118,82,0.51953125,268,Ġthe
117,83,0.52734375,297,Ġto
116,84,0.87109375,4953,Ġforward
121,85,0.7109375,11,","
122,86,0.9296875,331,ĠI
120,87,0.82421875,15565,Ġdecade
119,88,0.65234375,2338,Ġnext
124,89,0.45703125,1227,'t
123,90,0.984375,560,Ġcan
126,91,0.94140625,731,Ġbut
125,92,1.0,1376,Ġhelp
127,93,0.67578125,5622,Ġwonder
128,94,0.46484375,1053,Ġwhat
129,95,0.37890625,403,Ġit
132,96,0.9296875,1029,Ġlike
