pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.77734375,13,.
34,1,1.0,16,1
36,2,0.435546875,477,"Ġ"""
38,3,0.43359375,50174,ĠEcho
39,4,0.9375,273,es
37,5,0.5078125,122120,Silent
40,6,0.6015625,25,:
41,7,0.2734375,468,ĠThe
42,8,0.609375,122924,ĠForgotten
44,9,0.51171875,1,""""
45,10,0.58203125,198,Ċ
46,11,0.6875,256,ĠĠ
47,12,0.5390625,537,Ġ-
48,13,0.384765625,1077,ĠThis
49,14,0.8515625,2014,Ġbook
43,15,0.1962890625,20194,ĠPast
51,16,0.28515625,268,Ġthe
52,17,0.92578125,10769,Ġreader
53,18,0.4609375,297,Ġto
50,19,0.65234375,5510,Ġallows
55,20,0.330078125,522,ive
54,21,1.0,1401,Ġrel
56,22,0.26171875,301,Ġand
57,23,0.328125,34611,Ġrewrite
59,24,0.2119140625,16919,Ġmemories
58,25,0.435546875,25149,Ġforgotten
60,26,0.5234375,546,Ġfrom
61,27,0.90234375,802,Ġtheir
62,28,0.90625,3261,Ġpast
63,29,0.6171875,13,.
64,30,0.279296875,963,ĠIt
65,31,0.1455078125,4360,Ġprovides
66,32,0.31640625,259,Ġa
68,33,0.30859375,10707,Ġperspective
69,34,0.7734375,366,Ġon
67,35,0.61328125,782,Ġnew
72,36,0.46875,11,","
71,37,0.375,4599,Ġevents
75,38,0.279296875,297,Ġto
74,39,0.9296875,989,Ġthem
73,40,0.63671875,22658,Ġenabling
70,41,0.25390625,3261,Ġpast
76,42,0.20703125,2725,Ġunderstand
77,43,0.28125,268,Ġthe
79,44,0.2275390625,300,Ġof
80,45,0.51953125,802,Ġtheir
81,46,0.4921875,7736,Ġactions
78,47,0.671875,13549,Ġconsequences
82,48,0.73046875,301,Ġand
83,49,0.2138671875,1253,Ġmake
84,50,0.703125,104258,Ġamends
85,51,0.369140625,391,Ġwith
86,52,0.5546875,1803,Ġthose
87,53,0.8359375,792,Ġthey
88,54,0.62109375,561,Ġhave
89,55,0.5703125,14317,Ġhurt
90,56,0.8515625,13,.
91,57,0.3125,3893,ĠBy
95,58,0.333984375,11,","
92,59,0.7109375,100671,Ġrewriting
94,60,0.6953125,16919,Ġmemories
93,61,0.68359375,1261,Ġthese
96,62,0.7421875,268,Ġthe
97,63,0.96875,10769,Ġreader
98,64,0.482421875,560,Ġcan
101,65,0.2490234375,301,Ġand
100,66,0.58984375,24329,Ġclosure
99,67,0.87109375,1491,Ġfind
102,68,0.37109375,3303,Ġmove
104,69,0.6328125,391,Ġwith
103,70,0.921875,4953,Ġforward
105,71,0.78125,259,Ġa
108,72,0.64453125,300,Ġof
107,73,0.84375,5209,Ġsense
106,74,0.6328125,36964,Ġrenewed
111,75,0.5625,198,Ċ
110,76,1.0,13,.
112,77,1.0,198,Ċ
113,78,1.0,17,2
109,79,0.71875,6189,Ġpurpose
114,80,1.0,13,.
115,81,1.0,477,"Ġ"""
119,82,0.416015625,25,:
118,83,0.482421875,83657,ĠMemories
120,84,0.392578125,355,ĠA
125,85,0.38671875,198,Ċ
126,86,1.0,256,ĠĠ
124,87,1.0,1,""""
127,88,1.0,537,Ġ-
128,89,0.7265625,1077,ĠThis
129,90,0.68359375,2014,Ġbook
117,91,0.267578125,8808,tered
116,92,0.98046875,3005,Al
121,93,0.2109375,1838,ĠNew
122,94,0.244140625,22292,ĠBegin
123,95,0.95703125,32001,nings
131,96,0.63671875,268,Ġthe
132,97,0.86328125,10769,Ġreader
133,98,0.6796875,297,Ġto
130,99,0.52734375,15999,Ġenables
134,100,0.392578125,2818,Ġcreate
135,101,0.7421875,782,Ġnew
136,102,0.734375,16919,Ġmemories
137,103,0.28125,301,Ġand
140,104,0.298828125,5717,Ġones
141,105,0.671875,13,.
142,106,0.80078125,963,ĠIt
139,107,0.6328125,2622,Ġold
145,108,0.48828125,297,Ġto
144,109,0.984375,989,Ġthem
143,110,0.91015625,5510,Ġallows
138,111,0.439453125,14802,Ġalter
146,112,0.6015625,1401,Ġrel
147,113,0.99609375,522,ive
148,114,0.193359375,5757,Ġhappy
149,115,0.9375,13475,Ġmoments
152,116,0.3828125,3261,Ġpast
150,117,0.96875,546,Ġfrom
151,118,0.8515625,802,Ġtheir
153,119,0.322265625,1816,Ġwhile
154,120,0.765625,911,Ġalso
156,121,0.59765625,782,Ġnew
157,122,0.52734375,11,","
159,123,0.6640625,16919,Ġmemories
158,124,0.6640625,4961,Ġpositive
155,125,0.625,6728,Ġcreating
160,126,0.5,352,Ġfor
161,127,0.49609375,268,Ġthe
162,128,0.98828125,3770,Ġfuture
163,129,0.99609375,13,.
164,130,0.5078125,3893,ĠBy
171,131,0.423828125,560,Ġcan
168,132,0.9921875,11,","
169,133,1.0,268,Ġthe
170,134,0.99609375,10769,Ġreader
165,135,0.6796875,100671,Ġrewriting
167,136,0.84375,16919,Ġmemories
166,137,0.61328125,1261,Ġthese
173,138,0.34375,259,Ġa
172,139,0.421875,2315,Ġbuild
174,140,0.287109375,1968,Ġlife
176,141,0.40234375,391,Ġwith
175,142,0.98828125,10604,Ġfilled
177,143,0.421875,12916,Ġjoy
180,144,0.89453125,11,","
181,145,0.796875,301,Ġand
178,146,0.93359375,11,","
185,147,0.345703125,198,Ċ
187,148,0.62109375,13,.
183,149,1.0,13,.
184,150,1.0,198,Ċ
186,151,1.0,18,3
188,152,1.0,477,"Ġ"""
182,153,0.5234375,42570,Ġfulfillment
192,154,0.39453125,25,:
191,155,0.5,83657,ĠMemories
193,156,0.34375,355,ĠA
179,157,0.328125,2318,Ġlove
189,158,0.193359375,49284,Rew
190,159,0.8828125,13623,ritten
197,160,0.43359375,198,Ċ
196,161,1.0,1,""""
198,162,1.0,256,ĠĠ
199,163,1.0,537,Ġ-
200,164,0.96484375,1077,ĠThis
201,165,0.9609375,2014,Ġbook
203,166,0.76171875,268,Ġthe
204,167,0.96875,10769,Ġreader
205,168,0.64453125,297,Ġto
206,169,0.703125,34611,Ġrewrite
202,170,0.6796875,5510,Ġallows
208,171,0.66796875,16919,Ġmemories
207,172,0.56640625,802,Ġtheir
194,173,0.25,1838,ĠNew
209,174,0.275390625,296,Ġin
195,175,0.1865234375,1400,ĠYou
211,176,0.72265625,1487,Ġway
212,177,0.99609375,378,Ġthat
210,178,0.99609375,259,Ġa
214,179,0.33984375,989,Ġthem
215,180,0.482421875,297,Ġto
213,181,0.7578125,15999,Ġenables
217,182,0.25390625,259,Ġa
218,183,0.68359375,782,Ġnew
216,184,0.51953125,2818,Ġcreate
219,185,0.60546875,9737,Ġidentity
220,186,0.84375,13,.
221,187,0.6875,963,ĠIt
223,188,0.76953125,989,Ġthem
224,189,0.87890625,297,Ġto
222,190,0.48828125,5510,Ġallows
225,191,0.09765625,2712,Ġchange
226,192,0.3671875,802,Ġtheir
227,193,0.48828125,3261,Ġpast
228,194,0.216796875,301,Ġand
230,195,0.453125,259,Ġa
229,196,0.7578125,2818,Ġcreate
231,197,0.71484375,782,Ġnew
233,198,0.328125,378,Ġthat
236,199,0.388671875,802,Ġtheir
234,200,0.91796875,58052,Ġaligns
235,201,1.0,391,Ġwith
241,202,0.46875,13,.
239,203,0.94140625,301,Ġand
240,204,0.66015625,26972,Ġdesires
237,205,0.44140625,2251,Ġcurrent
238,206,0.5390625,7375,Ġgoals
232,207,0.1650390625,9737,Ġidentity
242,208,0.58203125,3893,ĠBy
243,209,0.93359375,100671,Ġrewriting
245,210,0.9765625,16919,Ġmemories
249,211,0.90625,560,Ġcan
246,212,1.0,11,","
247,213,1.0,268,Ġthe
248,214,1.0,10769,Ġreader
244,215,0.5625,1261,Ġthese
251,216,0.4453125,2169,Ġfree
250,217,1.0,3085,Ġbreak
252,218,0.99609375,546,Ġfrom
255,219,0.65625,300,Ġof
253,220,0.99609375,268,Ġthe
256,221,0.9453125,802,Ġtheir
257,222,0.85546875,3261,Ġpast
254,223,0.5546875,18675,Ġconstraints
258,224,0.85546875,301,Ġand
260,225,0.734375,259,Ġa
273,226,0.55859375,126081,<|endoftext|>
272,227,0.92578125,126081,<|endoftext|>
271,228,0.90625,126081,<|endoftext|>
270,229,0.8515625,126081,<|endoftext|>
269,230,0.8515625,126081,<|endoftext|>
268,231,0.73046875,126081,<|endoftext|>
267,232,0.87890625,126081,<|endoftext|>
265,233,0.76171875,13,.
266,234,1.0,126348,<|eot_id|>
261,235,0.8203125,782,Ġnew
264,236,0.5078125,1968,Ġlife
259,237,0.58203125,22797,Ġembrace
262,238,0.60546875,11,","
263,239,0.2275390625,22651,Ġauthentic
274,240,1.0,126081,<|endoftext|>
275,241,1.0,126081,<|endoftext|>
276,242,1.0,126081,<|endoftext|>
277,243,1.0,126081,<|endoftext|>
278,244,1.0,126081,<|endoftext|>
279,245,1.0,126081,<|endoftext|>
280,246,1.0,126081,<|endoftext|>
281,247,1.0,126081,<|endoftext|>
282,248,1.0,126081,<|endoftext|>
283,249,1.0,126081,<|endoftext|>
284,250,1.0,126081,<|endoftext|>
285,251,1.0,126081,<|endoftext|>
286,252,1.0,126081,<|endoftext|>
287,253,1.0,126081,<|endoftext|>
288,254,1.0,126081,<|endoftext|>
289,255,1.0,126081,<|endoftext|>
