pos,step_decoded,conf_decoded,token_id,token_str
26,0,0.8984375,27617,Dear
30,1,0.8125,198,Ċ
27,2,0.87890625,17076,ĠFuture
29,3,0.99609375,11,","
31,4,0.99609375,198,Ċ
28,5,0.90625,4148,ĠMe
36,6,0.80859375,14684,Ġfinds
32,7,1.0,40,I
34,8,1.0,501,Ġthis
35,9,0.99609375,7885,Ġletter
33,10,0.9921875,4159,Ġhope
37,11,0.9921875,362,Ġyou
38,12,0.69921875,1367,Ġwell
39,13,0.59375,13,.
40,14,0.51171875,331,ĠI
41,15,0.578125,5080,Ġwanted
42,16,0.99609375,297,Ġto
45,17,0.609375,5104,Ġmoment
43,18,0.99609375,1801,Ġtake
44,19,1.0,259,Ġa
46,20,0.9375,297,Ġto
47,21,0.283203125,4913,Ġexpress
48,22,0.828125,811,Ġmy
49,23,0.6328125,33709,Ġgratitude
50,24,0.6640625,352,Ġfor
51,25,0.40625,268,Ġthe
53,26,0.259765625,301,Ġand
55,27,0.3671875,362,Ġyou
56,28,0.52734375,3868,'ve
52,29,0.3125,14574,Ġlessons
54,30,0.490234375,8400,Ġexperiences
57,31,0.4375,7522,Ġshared
58,32,0.796875,391,Ġwith
59,33,0.95703125,696,Ġme
61,34,0.734375,3499,Ġfar
60,35,0.98046875,740,Ġso
62,36,0.95703125,13,.
63,37,0.263671875,331,ĠI
64,38,0.2294921875,3180,'m
67,39,0.32421875,268,Ġthe
66,40,0.58203125,352,Ġfor
65,41,0.58203125,31473,Ġthankful
70,42,0.35546875,3868,'ve
73,43,0.609375,268,Ġthe
72,44,0.546875,11,","
71,45,0.54296875,8066,Ġlearned
69,46,0.451171875,362,Ġyou
68,47,0.44921875,14574,Ġlessons
76,48,0.91796875,3868,'ve
75,49,0.9765625,362,Ġyou
78,50,0.9453125,11,","
79,51,0.9921875,301,Ġand
80,52,0.9765625,268,Ġthe
82,53,0.84765625,362,Ġyou
83,54,0.98046875,3868,'ve
85,55,0.51171875,13,.
87,56,0.609375,198,Ċ
86,57,0.98046875,198,Ċ
88,58,0.4140625,2441,As
89,59,0.447265625,362,Ġyou
77,60,0.33984375,1851,Ġmade
74,61,0.4921875,16919,Ġmemories
84,62,0.306640625,13450,Ġgrown
81,63,0.53125,1728,Ġperson
90,64,0.28125,17825,Ġwake
91,65,0.9921875,760,Ġup
92,66,0.68359375,15587,Ġtomorrow
93,67,0.7734375,6452,Ġmorning
94,68,0.94921875,11,","
95,69,0.76953125,331,ĠI
97,70,0.6796875,362,Ġyou
96,71,0.76953125,4159,Ġhope
98,72,0.416015625,2428,Ġfeel
102,73,0.376953125,11,","
100,74,0.9296875,11,","
103,75,1.0,301,Ġand
104,76,0.4375,5738,Ġready
105,77,0.95703125,297,Ġto
99,78,0.33984375,68322,Ġrefreshed
101,79,0.40625,96719,Ġenergized
107,80,0.5859375,366,Ġon
106,81,0.87109375,1801,Ġtake
108,82,0.5546875,268,Ġthe
109,83,0.546875,1813,Ġday
110,84,0.671875,13,.
111,85,0.443359375,331,ĠI
113,86,0.7265625,362,Ġyou
112,87,0.6328125,4159,Ġhope
114,88,0.259765625,3868,'ve
115,89,0.5390625,1028,Ġhad
116,90,0.78125,259,Ġa
118,91,0.5078125,3945,Ġnight
119,92,0.93359375,698,'s
117,93,0.93359375,1505,Ġgood
120,94,0.89453125,6476,Ġsleep
121,95,0.49609375,11,","
122,96,0.4765625,301,Ġand
123,97,0.6484375,378,Ġthat
124,98,0.78515625,362,Ġyou
125,99,0.6171875,3273,'re
126,100,0.65625,7405,Ġfeeling
128,101,0.5,301,Ġand
132,102,0.375,198,Ċ
130,103,0.953125,13,.
131,104,1.0,198,Ċ
133,105,0.66796875,40,I
137,106,0.283203125,1242,Ġknow
136,107,0.99609375,297,Ġto
135,108,0.9921875,362,Ġyou
134,109,0.9765625,1359,Ġwant
129,110,0.220703125,13274,Ġinspired
127,111,0.8515625,23509,Ġmotivated
138,112,0.9921875,378,Ġthat
141,113,0.66015625,11365,Ġproud
142,114,0.9921875,300,Ġof
140,115,0.98828125,3180,'m
139,116,1.0,331,ĠI
143,117,0.2890625,268,Ġthe
145,118,0.91015625,362,Ġyou
146,119,0.875,3868,'ve
144,120,0.50390625,1728,Ġperson
147,121,0.98046875,3588,Ġbecome
148,122,0.609375,13,.
149,123,0.70703125,331,ĠI
151,124,0.78125,11365,Ġproud
150,125,1.0,3180,'m
152,126,0.984375,300,Ġof
153,127,0.81640625,563,Ġyour
155,128,0.91796875,11,","
156,129,0.828125,563,Ġyour
158,130,0.9453125,11,","
159,131,0.99609375,301,Ġand
160,132,0.98828125,563,Ġyour
162,133,0.69140625,13,.
163,134,0.79296875,331,ĠI
165,135,0.72265625,11365,Ġproud
164,136,1.0,3180,'m
166,137,0.97265625,300,Ġof
169,138,0.4921875,362,Ġyou
167,139,0.98828125,268,Ġthe
157,140,0.2109375,16402,Ġdetermination
154,141,0.42578125,30631,Ġresilience
161,142,0.453125,33554,Ġkindness
168,143,0.2001953125,4402,Ġimpact
170,144,0.9921875,3868,'ve
172,145,0.98828125,366,Ġon
171,146,0.62109375,1851,Ġmade
174,147,0.57421875,1931,Ġworld
173,148,0.9921875,268,Ġthe
175,149,0.51171875,11,","
176,150,0.796875,301,Ġand
177,151,0.515625,331,ĠI
178,152,0.68359375,3180,'m
179,153,0.546875,11365,Ġproud
180,154,0.76171875,300,Ġof
181,155,0.765625,268,Ġthe
183,156,0.9296875,362,Ġyou
184,157,0.8046875,3868,'ve
182,158,0.365234375,1728,Ġperson
185,159,0.54296875,3588,Ġbecome
187,160,0.96875,198,Ċ
186,161,1.0,13,.
188,162,1.0,198,Ċ
189,163,0.52734375,2441,As
190,164,0.94140625,362,Ġyou
195,165,0.3984375,11,","
196,166,0.80078125,331,ĠI
198,167,0.89453125,362,Ġyou
194,168,0.7421875,1813,Ġday
197,169,0.6796875,4159,Ġhope
193,170,0.55859375,563,Ġyour
191,171,0.8359375,728,Ġgo
192,172,0.953125,866,Ġabout
199,173,0.205078125,1801,Ġtake
200,174,0.66015625,259,Ġa
201,175,0.92578125,5104,Ġmoment
202,176,1.0,297,Ġto
204,177,0.55078125,366,Ġon
203,178,0.984375,7870,Ġreflect
205,179,0.70703125,268,Ġthe
207,180,0.5390625,362,Ġyou
208,181,0.94921875,3868,'ve
209,182,0.53515625,8066,Ġlearned
206,183,0.9765625,14574,Ġlessons
210,184,0.5078125,11,","
213,185,0.69140625,362,Ġyou
211,186,0.99609375,268,Ġthe
214,187,0.9921875,3868,'ve
216,188,0.9765625,11,","
217,189,1.0,301,Ġand
215,190,0.609375,1851,Ġmade
