pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.39453125,64069,Ġmelody
27,1,0.87109375,678,The
30,2,0.2353515625,3779,Ġonce
29,3,0.875,378,Ġthat
32,4,0.88671875,296,Ġin
31,5,0.90625,27022,Ġexisted
34,6,0.875,2384,Ġhead
37,7,0.625,16786,Ġeverywhere
39,8,0.99609375,728,Ġgo
36,9,0.98046875,6124,Ġplaying
35,10,0.9375,12688,Ġbegins
38,11,0.9765625,362,Ġyou
33,12,0.99609375,563,Ġyour
40,13,0.5390625,13,.
41,14,0.416015625,963,ĠIt
42,15,0.640625,698,'s
44,16,0.431640625,624,Ġif
43,17,1.0,409,Ġas
45,18,0.470703125,268,Ġthe
47,19,0.447265625,723,Ġhas
46,20,0.71875,25986,Ġtune
48,21,0.294921875,3588,Ġbecome
50,22,0.640625,914,Ġpart
49,23,1.0,259,Ġa
51,24,1.0,300,Ġof
52,25,0.5703125,563,Ġyour
53,26,0.734375,1471,Ġvery
55,27,0.85546875,11,","
54,28,0.40234375,1775,Ġbeing
56,29,0.3515625,259,Ġa
57,30,0.57421875,6150,Ġconstant
58,31,0.8515625,27259,Ġcompanion
59,32,0.458984375,378,Ġthat
61,33,0.498046875,362,Ġyou
60,34,0.9296875,7493,Ġfollows
63,35,0.455078125,1380,Ġevery
62,36,0.625,1352,Ġthrough
64,37,0.78125,5104,Ġmoment
65,38,0.5703125,13,.
66,39,0.271484375,1400,ĠYou
67,40,0.671875,560,Ġcan
68,41,0.447265625,6413,Ġhear
69,42,0.88671875,403,Ġit
70,43,0.671875,296,Ġin
71,44,0.7578125,268,Ġthe
73,45,0.361328125,11,","
72,46,0.37890625,24545,Ġsilence
74,47,0.435546875,296,Ġin
75,48,0.9765625,268,Ġthe
80,49,0.294921875,11,","
81,50,0.48046875,301,Ġand
83,51,0.7734375,268,Ġthe
82,52,0.98828125,296,Ġin
77,53,0.51953125,300,Ġof
78,54,0.51953125,268,Ġthe
76,55,0.6484375,116236,Ġwhispers
79,56,0.96484375,8486,Ġwind
86,57,0.341796875,300,Ġof
87,58,0.38671875,563,Ġyour
88,59,0.6328125,1645,Ġown
90,60,0.921875,13,.
89,61,0.439453125,65912,Ġheartbeat
85,62,0.53515625,34510,Ġrhythm
84,63,0.376953125,17561,Ġgentle
91,64,0.3828125,468,ĠThe
92,65,0.84375,64069,Ġmelody
93,66,0.353515625,341,Ġis
94,67,0.431640625,259,Ġa
96,68,0.3671875,300,Ġof
95,69,0.54296875,116335,Ġsymphony
98,70,0.66015625,11,","
99,71,0.73828125,259,Ġa
97,72,0.578125,17255,Ġemotions
101,73,0.55078125,300,Ġof
102,74,0.5625,16919,Ġmemories
103,75,0.380859375,11,","
105,76,0.53125,259,Ġa
104,77,1.0,301,Ġand
100,78,0.3671875,13585,Ġdance
106,79,0.1123046875,6018,Ġsong
109,80,0.55859375,13360,Ġsoul
107,81,0.90234375,300,Ġof
110,82,0.89453125,13,.
108,83,0.81640625,268,Ġthe
111,84,0.49609375,963,ĠIt
112,85,0.470703125,698,'s
113,86,0.7421875,259,Ġa
114,87,0.46484375,26103,Ġreminder
115,88,0.6484375,300,Ġof
116,89,0.77734375,268,Ġthe
117,90,0.8203125,11055,Ġbeauty
120,91,0.419921875,11,","
119,92,0.8828125,1968,Ġlife
118,93,0.498046875,296,Ġin
121,94,0.3203125,268,Ġthe
122,95,0.28515625,12916,Ġjoy
123,96,0.82421875,296,Ġin
124,97,0.5703125,268,Ġthe
128,98,0.65625,301,Ġand
127,99,1.0,11,","
129,100,0.98828125,268,Ġthe
125,101,0.55859375,4147,Ġsimple
126,102,0.625,13475,Ġmoments
131,103,0.33984375,378,Ġthat
130,104,0.26953125,14905,Ġmagic
133,105,0.416015625,2602,Ġwithin
134,106,0.4921875,1671,Ġeach
137,107,0.6875,13,.
135,108,0.9921875,300,Ġof
136,109,0.99609375,611,Ġus
132,110,0.55078125,52854,Ġresides
138,111,0.291015625,198,Ċ
139,112,1.0,198,Ċ
141,113,0.5390625,362,Ġyou
140,114,0.9765625,2441,As
148,115,0.6015625,64069,Ġmelody
147,116,0.98046875,268,Ġthe
146,117,0.9453125,11,","
143,118,0.73046875,1352,Ġthrough
