pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.330078125,25,:
35,1,0.734375,72222,Experiment
38,2,0.82421875,198,Ċ
36,3,0.85546875,23220,ĠNotes
39,4,0.3125,198,Ċ
40,5,0.283203125,14722,Today
41,6,0.474609375,11,","
42,7,0.796875,331,ĠI
43,8,0.58203125,5851,Ġbuilt
44,9,0.890625,259,Ġa
45,10,0.4921875,4762,Ġdevice
46,11,0.5859375,378,Ġthat
48,12,0.310546875,268,Ġthe
49,13,0.8828125,9112,Ġweather
47,14,0.62109375,51515,Ġtunes
50,15,0.63671875,1029,Ġlike
51,16,0.90625,10558,Ġradio
52,17,0.97265625,27592,Ġfrequencies
53,18,0.90234375,13,.
54,19,0.3359375,331,ĠI
56,20,0.22265625,259,Ġa
55,21,0.4140625,1440,Ġused
57,22,0.2255859375,10558,Ġradio
59,23,0.2041015625,11,","
60,24,0.435546875,259,Ġa
63,25,0.412109375,11,","
64,26,0.52734375,301,Ġand
65,27,0.482421875,259,Ġa
58,28,0.2109375,20694,Ġreceiver
61,29,0.1943359375,9112,Ġweather
62,30,0.25,872,Ġapp
66,31,0.11279296875,2351,Ġfew
69,32,0.271484375,13,.
68,33,0.392578125,7812,Ġcomponents
67,34,0.51953125,11889,Ġelectronic
70,35,0.365234375,468,ĠThe
73,36,0.333984375,297,Ġto
72,37,0.69140625,341,Ġis
71,38,0.640625,4336,Ġidea
76,39,0.39453125,9112,Ġweather
75,40,0.71875,268,Ġthe
77,41,0.34765625,1354,Ġdata
80,42,0.33203125,872,Ġapp
78,43,0.9921875,546,Ġfrom
79,44,0.98828125,268,Ġthe
81,45,0.69921875,301,Ġand
82,46,0.447265625,23401,Ġtransmit
74,47,0.228515625,13509,Ġcapture
83,48,0.98828125,403,Ġit
85,49,0.44140625,259,Ġa
87,50,0.76171875,10188,Ġfrequency
86,51,0.64453125,2918,Ġspecific
88,52,0.55078125,13,.
84,53,0.5546875,366,Ġon
91,54,0.484375,7534,First
89,55,0.99609375,198,Ċ
90,56,1.0,198,Ċ
93,57,0.62109375,25,:
92,58,0.96875,45249,ĠBroadcast
94,59,0.984375,198,Ċ
95,60,0.9296875,198,Ċ
96,61,0.291015625,1,""""
98,62,0.375,11,","
97,63,0.83984375,14455,Hello
101,64,0.400390625,40740,Ġtuning
100,65,0.921875,352,Ġfor
99,66,0.96484375,8365,Ġthanks
102,67,0.93359375,296,Ġin
103,68,0.578125,297,Ġto
104,69,0.400390625,268,Ġthe
105,70,0.765625,30374,ĠWeather
107,71,0.412109375,13,.
106,72,0.51171875,17708,ĠRadio
108,73,0.28515625,10729,ĠToday
109,74,0.5078125,11,","
110,75,0.58984375,438,Ġwe
111,76,0.48046875,3273,'re
112,77,0.42578125,2172,Ġgoing
113,78,0.9921875,297,Ġto
114,79,0.28515625,3817,Ġshare
115,80,0.53515625,268,Ġthe
116,81,0.65234375,5950,Ġlatest
117,82,0.8203125,9112,Ġweather
119,83,0.8203125,391,Ġwith
120,84,0.984375,362,Ġyou
121,85,0.80078125,13,.
118,86,0.703125,10445,Ġupdates
122,87,0.181640625,468,ĠThe
123,88,0.55859375,2251,Ġcurrent
124,89,0.76171875,6990,Ġtemperature
125,90,0.9296875,341,Ġis
