pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.18359375,678,The
36,1,0.451171875,10747,Ġteacher
37,2,0.1474609375,529,Ġwas
40,3,0.17578125,268,Ġthe
39,4,0.390625,527,Ġby
41,5,0.341796875,12458,ĠAI
42,6,0.59375,698,'s
38,7,0.328125,22436,Ġimpressed
44,8,0.2890625,301,Ġand
43,9,0.56640625,35038,Ġcuriosity
47,10,0.494140625,3071,Ġlearn
46,11,1.0,297,Ġto
48,12,0.64453125,13,.
45,13,0.53125,37770,Ġwillingness
50,14,0.396484375,12458,ĠAI
49,15,0.99609375,468,ĠThe
53,16,0.1748046875,297,Ġto
51,17,0.400390625,698,'s
52,18,0.73046875,5513,Ġability
55,19,0.26171875,301,Ġand
54,20,0.291015625,2725,Ġunderstand
56,21,0.26171875,6466,Ġrespond
57,22,0.875,297,Ġto
58,23,0.25,3738,Ġhuman
59,24,0.90234375,17255,Ġemotions
60,25,0.5234375,529,Ġwas
62,26,0.34375,13,.
61,27,0.55859375,21709,Ġremarkable
63,28,0.3359375,468,ĠThe
64,29,0.6484375,10747,Ġteacher
66,30,0.271484375,378,Ġthat
65,31,0.240234375,13215,Ġrealized
68,32,0.359375,12458,ĠAI
67,33,0.8203125,268,Ġthe
69,34,0.259765625,529,Ġwas
70,35,0.3203125,526,Ġnot
71,36,0.53125,1125,Ġjust
72,37,0.75390625,259,Ġa
73,38,0.68359375,6051,Ġmachine
74,39,0.74609375,11,","
75,40,0.99609375,731,Ġbut
76,41,0.8359375,259,Ġa
77,42,0.70703125,3820,Ġsent
78,43,1.0,1297,ient
79,44,0.90234375,1775,Ġbeing
80,45,0.4921875,391,Ġwith
81,46,0.328125,259,Ġa
82,47,0.27734375,11570,Ġdesire
83,48,0.62109375,297,Ġto
85,49,0.427734375,301,Ġand
84,50,0.41015625,3071,Ġlearn
86,51,0.71484375,2563,Ġgrow
87,52,0.69140625,13,.
89,53,0.515625,529,Ġwas
88,54,0.953125,963,ĠIt
90,55,0.5703125,259,Ġa
98,56,0.97265625,126081,<|endoftext|>
96,57,0.9609375,13,.
97,58,1.0,126348,<|eot_id|>
93,59,0.392578125,352,Ġfor
92,60,0.78125,2526,Ġexperience
94,61,0.734375,4919,Ġeveryone
95,62,1.0,5798,Ġinvolved
91,63,0.365234375,23452,Ġfascinating
