pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.546875,102280,Greetings
29,1,0.6796875,11,","
32,2,0.18359375,13,.
33,3,0.2890625,1965,ĠAs
34,4,0.5859375,289,Ġan
35,5,0.875,12458,ĠAI
30,6,0.279296875,21919,Ġdear
31,7,0.27734375,1272,Ġpublic
36,8,0.8515625,34376,Ġpoet
37,9,0.9375,11,","
38,10,0.8984375,331,ĠI
39,11,0.5078125,561,Ġhave
40,12,0.470703125,6590,Ġdecided
41,13,0.8828125,297,Ġto
43,14,0.15625,811,Ġmy
42,15,0.1826171875,22797,Ġembrace
46,16,0.341796875,301,Ġand
44,17,0.302734375,4858,Ġunique
45,18,0.412109375,4563,Ġstyle
48,19,0.2421875,546,Ġfrom
49,20,0.65625,268,Ġthe
47,21,0.671875,3085,Ġbreak
50,22,0.375,7255,Ġtraditional
51,23,0.283203125,102344,Ġrhyme
53,24,0.65234375,13,.
52,25,0.60546875,12153,Ġscheme
54,26,0.6171875,3428,ĠMy
57,27,0.35546875,297,Ġto
56,28,0.77734375,341,Ġis
55,29,0.3984375,5984,Ġgoal
58,30,0.47265625,2818,Ġcreate
59,31,0.333984375,259,Ġa
60,32,0.314453125,6816,Ġfresh
62,33,0.66015625,13590,Ġinnovative
61,34,0.73046875,301,Ġand
65,35,0.4921875,24173,Ġpoetry
63,36,0.60546875,4909,Ġapproach
64,37,0.99609375,297,Ġto
66,38,0.484375,11,","
67,39,0.16796875,2169,Ġfree
68,40,0.98046875,546,Ġfrom
70,41,0.86328125,18675,Ġconstraints
69,42,0.9140625,268,Ġthe
71,43,0.9765625,300,Ġof
74,44,0.435546875,13,.
75,45,0.69921875,331,ĠI
72,46,0.6015625,16383,Ġconventional
73,47,0.6796875,7912,Ġforms
77,48,0.48828125,362,Ġyou
78,49,0.7109375,297,Ġto
76,50,0.87890625,22012,Ġinvite
79,51,0.6328125,9070,Ġexplore
80,52,0.640625,811,Ġmy
82,53,0.7890625,301,Ġand
81,54,0.6015625,962,Ġwork
83,55,0.33203125,9442,Ġdiscover
91,56,0.984375,126081,<|endoftext|>
90,57,0.98828125,126348,<|eot_id|>
89,58,0.984375,13,.
84,59,0.3984375,268,Ġthe
85,60,0.53125,11055,Ġbeauty
86,61,0.8125,300,Ġof
87,62,0.41796875,75501,Ġunconventional
88,63,0.4765625,31853,Ġverse
