pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.3203125,11340,Dr
32,1,0.9921875,679,one
35,2,0.63671875,25,:
33,3,0.9609375,220,Ġ
34,4,0.921875,16,1
36,5,0.154296875,331,ĠI
37,6,0.40234375,1699,Ġthink
38,7,0.76953125,438,Ġwe
39,8,0.875,1329,Ġshould
40,9,0.52734375,51240,Ġmigrate
41,10,0.451171875,297,Ġto
42,11,0.439453125,268,Ġthe
44,12,0.216796875,13,.
45,13,0.35546875,963,ĠIt
46,14,0.412109375,698,'s
43,15,0.1396484375,11268,Ġnorth
47,16,0.283203125,42544,Ġwarmer
48,17,0.34375,947,Ġthere
49,18,0.38671875,13,.
50,19,0.7265625,198,Ċ
51,20,0.85546875,11340,Dr
52,21,1.0,679,one
53,22,1.0,220,Ġ
54,23,0.9921875,17,2
55,24,1.0,25,:
56,25,0.353515625,331,ĠI
57,26,0.404296875,27367,Ġdisagree
58,27,0.84765625,13,.
59,28,0.376953125,468,ĠThe
60,29,0.37109375,10953,Ġsouth
61,30,0.439453125,723,Ġhas
62,31,0.419921875,778,Ġmore
63,32,0.494140625,5677,Ġresources
64,33,0.55078125,13,.
66,34,0.515625,126081,<|endoftext|>
65,35,1.0,126348,<|eot_id|>
67,36,1.0,126081,<|endoftext|>
68,37,1.0,126081,<|endoftext|>
69,38,1.0,126081,<|endoftext|>
70,39,1.0,126081,<|endoftext|>
71,40,1.0,126081,<|endoftext|>
72,41,1.0,126081,<|endoftext|>
73,42,1.0,126081,<|endoftext|>
74,43,1.0,126081,<|endoftext|>
75,44,1.0,126081,<|endoftext|>
76,45,1.0,126081,<|endoftext|>
77,46,1.0,126081,<|endoftext|>
78,47,1.0,126081,<|endoftext|>
79,48,1.0,126081,<|endoftext|>
80,49,1.0,126081,<|endoftext|>
81,50,1.0,126081,<|endoftext|>
82,51,1.0,126081,<|endoftext|>
83,52,1.0,126081,<|endoftext|>
84,53,1.0,126081,<|endoftext|>
85,54,1.0,126081,<|endoftext|>
86,55,1.0,126081,<|endoftext|>
87,56,1.0,126081,<|endoftext|>
88,57,1.0,126081,<|endoftext|>
89,58,1.0,126081,<|endoftext|>
90,59,1.0,126081,<|endoftext|>
91,60,1.0,126081,<|endoftext|>
92,61,1.0,126081,<|endoftext|>
93,62,1.0,126081,<|endoftext|>
94,63,1.0,126081,<|endoftext|>
