pos,step_decoded,conf_decoded,token_id,token_str
33,0,0.326171875,259,Ġa
34,1,0.59765625,4649,Ġblack
35,2,0.9765625,14678,Ġhole
32,3,0.75390625,38182,Inside
36,4,0.66015625,11,","
37,5,0.49609375,898,Ġtime
38,6,0.86328125,66183,Ġfolds
39,7,0.9140625,1119,Ġinto
40,8,0.84765625,2295,Ġlanguage
42,9,0.5625,198,Ċ
41,10,0.63671875,11,","
43,11,0.328125,32,A
44,12,0.2392578125,26879,Ġpoem
45,13,0.2275390625,378,Ġthat
47,14,0.78515625,1191,Ġonly
46,15,0.92578125,1402,Ġcould
48,16,0.96484375,3804,Ġexist
49,17,0.859375,947,Ġthere
51,18,0.8671875,198,Ċ
50,19,0.53125,13,.
55,20,0.17578125,11,","
52,21,0.291015625,89813,Gravity
53,22,0.349609375,698,'s
54,23,0.314453125,6687,Ġpull
56,24,0.353515625,259,Ġa
61,25,0.423828125,198,Ċ
60,26,0.96875,11,","
58,27,0.265625,300,Ġof
57,28,0.45703125,13585,Ġdance
59,29,0.41015625,4614,Ġwords
62,30,0.16796875,846,In
63,31,0.369140625,268,Ġthe
65,32,0.421875,300,Ġof
64,33,0.5625,4140,Ġheart
66,34,0.53515625,268,Ġthe
68,35,0.7890625,11,","
67,36,0.66015625,2123,Ġvoid
71,37,0.318359375,13,.
69,38,0.2734375,15823,Ġforever
70,39,0.08544921875,5987,Ġbound
72,40,0.7578125,198,Ċ
77,41,0.3203125,11,","
78,42,0.388671875,259,Ġa
74,43,0.271484375,273,es
73,44,1.0,88100,Echo
75,45,0.94921875,300,Ġof
76,46,0.35546875,2885,Ġlight
79,47,0.134765625,47977,Ġcosmic
82,48,0.8203125,198,Ċ
81,49,0.99609375,11,","
83,50,0.6328125,846,In
84,51,0.8203125,268,Ġthe
86,52,0.56640625,300,Ġof
87,53,0.62109375,268,Ġthe
85,54,0.388671875,45390,Ġdepths
80,55,0.333984375,6018,Ġsong
95,56,0.99609375,126081,<|endoftext|>
93,57,0.97265625,13,.
94,58,1.0,126348,<|eot_id|>
89,59,0.49609375,11,","
92,60,0.31640625,10139,Ġbelong
90,61,0.7890625,1387,Ġwhere
91,62,0.796875,438,Ġwe
88,63,0.212890625,2123,Ġvoid
