pos,step_decoded,conf_decoded,token_id,token_str
29,0,0.1748046875,4231,Ġcity
28,1,0.51171875,259,Ġa
27,2,0.734375,341,Ġis
30,3,0.388671875,1387,Ġwhere
31,4,0.73828125,25149,Ġforgotten
24,5,0.1044921875,3691,New
25,6,0.193359375,44812,ĠDawn
26,7,0.82421875,4721,ĠCity
32,8,0.9375,1255,Ġpeople
34,9,0.7421875,297,Ġto
35,10,0.90234375,1489,Ġstart
33,11,0.86328125,728,Ġgo
36,12,0.8828125,997,Ġover
37,13,0.88671875,13,.
38,14,0.498046875,963,ĠIt
39,15,0.5546875,341,Ġis
40,16,0.54296875,259,Ġa
41,17,0.369140625,4231,Ġcity
42,18,0.2158203125,300,Ġof
43,19,0.431640625,4159,Ġhope
44,20,0.62890625,301,Ġand
46,21,0.56640625,11,","
45,22,0.46484375,37883,Ġrenewal
47,23,0.4609375,1387,Ġwhere
48,24,0.318359375,1255,Ġpeople
49,25,0.546875,560,Ġcan
51,26,0.259765625,802,Ġtheir
53,27,0.5390625,301,Ġand
52,28,0.361328125,3261,Ġpast
50,29,0.4765625,5412,Ġleave
54,30,0.4296875,1489,Ġstart
55,31,0.318359375,259,Ġa
56,32,0.86328125,782,Ġnew
57,33,0.90234375,1968,Ġlife
58,34,0.703125,13,.
60,35,0.64453125,4231,Ġcity
59,36,0.953125,468,ĠThe
61,37,0.578125,341,Ġis
62,38,0.4453125,10604,Ġfilled
63,39,1.0,391,Ġwith
66,40,0.30078125,11,","
69,41,0.69140625,11,","
70,42,0.94921875,301,Ġand
64,43,0.4140625,28793,Ġvibrant
65,44,0.2373046875,9668,Ġcolors
71,45,0.2412109375,259,Ġa
68,46,0.22265625,14529,Ġarchitecture
67,47,0.322265625,4858,Ġunique
73,48,0.4375,300,Ġof
72,49,0.6328125,5209,Ġsense
74,50,0.7578125,3620,Ġcommunity
75,51,0.37109375,378,Ġthat
77,52,0.42578125,1255,Ġpeople
78,53,0.40234375,297,Ġto
76,54,0.58984375,23384,Ġencourages
79,55,0.3046875,22797,Ġembrace
87,56,0.97265625,126081,<|endoftext|>
85,57,0.87890625,13,.
86,58,1.0,126348,<|eot_id|>
82,59,0.59375,301,Ġand
83,60,0.625,1489,Ġstart
84,61,0.734375,106069,Ġanew
80,62,0.7734375,802,Ġtheir
81,63,0.455078125,3880,Ġpotential
