pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.40625,27617,Dear
36,1,0.5546875,198,Ċ
34,2,0.6640625,11,","
35,3,0.8984375,198,Ċ
37,4,0.73046875,40,I
38,5,0.5625,1024,Ġam
39,6,0.5234375,4216,Ġwriting
33,7,0.220703125,28409,ĠMayor
40,8,0.87890625,297,Ġto
41,9,0.310546875,362,Ġyou
42,10,0.341796875,297,Ġto
43,11,0.384765625,3202,Ġrequest
44,12,0.314453125,259,Ġa
45,13,0.53515625,2988,Ġjob
46,14,0.27734375,13,.
47,15,0.279296875,3428,ĠMy
48,16,0.92578125,1717,Ġname
49,17,0.51953125,341,Ġis
50,18,0.6015625,47423,ĠNobody
51,19,0.53515625,11,","
52,20,0.796875,301,Ġand
53,21,0.58984375,331,ĠI
54,22,0.34375,1024,Ġam
55,23,0.1416015625,259,Ġa
56,24,0.47265625,25562,Ġcitizen
57,25,0.83984375,300,Ġof
60,26,0.85546875,13,.
58,27,0.75,501,Ġthis
59,28,0.625,4231,Ġcity
61,29,0.41796875,331,ĠI
62,30,0.30859375,1024,Ġam
63,31,0.11474609375,11431,Ġseeking
64,32,0.5078125,12278,Ġemployment
66,33,0.21875,259,Ġa
65,34,0.90625,409,Ġas
67,35,0.33984375,47423,ĠNobody
68,36,0.46875,13,.
69,37,0.37109375,331,ĠI
70,38,0.265625,1024,Ġam
71,39,0.11865234375,19137,Ġgrateful
73,40,0.52734375,362,Ġyou
72,41,0.796875,624,Ġif
76,42,0.53125,696,Ġme
74,43,0.53125,1402,Ġcould
77,44,0.3828125,259,Ġa
78,45,0.828125,2988,Ġjob
79,46,0.484375,409,Ġas
75,47,0.435546875,7562,Ġgrant
80,48,0.94140625,259,Ġa
81,49,0.92578125,47423,ĠNobody
82,50,0.828125,13,.
84,51,0.67578125,198,Ċ
83,52,0.7265625,198,Ċ
85,53,0.5859375,110609,Sincerely
86,54,0.97265625,11,","
87,55,0.89453125,198,Ċ
95,56,0.9921875,126081,<|endoftext|>
93,57,0.90234375,126081,<|endoftext|>
94,58,1.0,126081,<|endoftext|>
92,59,0.9921875,126081,<|endoftext|>
91,60,0.9765625,126081,<|endoftext|>
89,61,0.94140625,126348,<|eot_id|>
90,62,1.0,126081,<|endoftext|>
88,63,0.984375,71354,Nobody
