pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.32421875,25,:
31,1,0.26171875,27724,ĠEntry
34,2,0.58984375,198,Ċ
33,3,0.87890625,94628,ĠNoon
35,4,0.90625,198,Ċ
30,5,0.443359375,7442,###
36,6,0.376953125,480,**
37,7,0.34765625,3720,Time
38,8,0.8984375,31073,:**
42,9,0.828125,480,**
41,10,0.99609375,198,Ċ
39,11,0.97265625,94628,ĠNoon
44,12,0.96484375,31073,:**
43,13,0.96875,17804,Memory
40,14,0.8671875,198,Ċ
45,15,0.38671875,355,ĠA
47,16,0.244140625,300,Ġof
46,17,0.5859375,5104,Ġmoment
49,18,0.220703125,11,","
50,19,0.453125,1387,Ġwhere
51,20,0.443359375,268,Ġthe
52,21,0.271484375,1931,Ġworld
53,22,0.2373046875,5132,Ġseems
48,23,0.16796875,8935,Ġpeace
54,24,0.921875,297,Ġto
55,25,0.6015625,5841,Ġslow
56,26,0.91796875,1635,Ġdown
57,27,0.640625,13,.
58,28,0.76171875,468,ĠThe
59,29,0.58203125,6326,Ġsun
60,30,0.42578125,341,Ġis
61,31,0.69921875,482,Ġat
62,32,0.97265625,1097,Ġits
65,33,0.6953125,34315,Ġcasting
64,34,1.0,11,","
63,35,0.875,14674,Ġpeak
67,36,0.578125,7524,Ġwarm
66,37,0.98828125,259,Ġa
68,38,0.59765625,26829,Ġglow
69,39,0.63671875,997,Ġover
71,40,0.75390625,15212,Ġlandscape
70,41,1.0,268,Ġthe
72,42,0.91015625,13,.
73,43,0.265625,53588,ĠBirds
74,44,0.3125,2772,Ġsing
75,45,0.2578125,296,Ġin
76,46,0.49609375,268,Ġthe
77,47,0.298828125,7118,Ġdistance
78,48,0.98828125,11,","
79,49,0.86328125,301,Ġand
80,50,0.8125,268,Ġthe
81,51,0.54296875,3662,Ġair
84,52,0.91796875,391,Ġwith
82,53,0.98046875,341,Ġis
83,54,0.9765625,10604,Ġfilled
85,55,0.9296875,268,Ġthe
93,56,0.98828125,126081,<|endoftext|>
92,57,0.96875,126348,<|eot_id|>
91,58,1.0,13,.
86,59,0.69140625,37264,Ġscent
87,60,1.0,300,Ġof
88,61,0.73046875,92690,Ġblooming
90,62,0.98046875,73539,flowers
89,63,0.99609375,8032,Ġwild
