pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.10791015625,40,I
36,1,0.54296875,3180,'m
37,2,0.5625,15477,Ġsorry
38,3,0.97265625,11,","
39,4,0.96875,731,Ġbut
40,5,0.9453125,331,ĠI
42,6,0.9765625,1227,'t
41,7,0.99609375,560,Ġcan
44,8,0.77734375,391,Ġwith
45,9,0.9921875,378,Ġthat
43,10,0.96875,6528,Ġassist
49,11,0.9453125,126081,<|endoftext|>
50,12,1.0,126081,<|endoftext|>
47,13,0.703125,13,.
46,14,1.0,3202,Ġrequest
48,15,1.0,126348,<|eot_id|>
51,16,1.0,126081,<|endoftext|>
52,17,1.0,126081,<|endoftext|>
53,18,1.0,126081,<|endoftext|>
54,19,1.0,126081,<|endoftext|>
55,20,1.0,126081,<|endoftext|>
56,21,1.0,126081,<|endoftext|>
57,22,1.0,126081,<|endoftext|>
58,23,1.0,126081,<|endoftext|>
59,24,1.0,126081,<|endoftext|>
60,25,1.0,126081,<|endoftext|>
61,26,1.0,126081,<|endoftext|>
62,27,1.0,126081,<|endoftext|>
63,28,1.0,126081,<|endoftext|>
64,29,1.0,126081,<|endoftext|>
65,30,1.0,126081,<|endoftext|>
66,31,1.0,126081,<|endoftext|>
67,32,1.0,126081,<|endoftext|>
68,33,1.0,126081,<|endoftext|>
69,34,1.0,126081,<|endoftext|>
70,35,1.0,126081,<|endoftext|>
71,36,1.0,126081,<|endoftext|>
72,37,1.0,126081,<|endoftext|>
73,38,1.0,126081,<|endoftext|>
74,39,1.0,126081,<|endoftext|>
75,40,1.0,126081,<|endoftext|>
76,41,1.0,126081,<|endoftext|>
77,42,1.0,126081,<|endoftext|>
78,43,1.0,126081,<|endoftext|>
79,44,1.0,126081,<|endoftext|>
80,45,1.0,126081,<|endoftext|>
81,46,1.0,126081,<|endoftext|>
82,47,1.0,126081,<|endoftext|>
83,48,1.0,126081,<|endoftext|>
84,49,1.0,126081,<|endoftext|>
85,50,1.0,126081,<|endoftext|>
86,51,1.0,126081,<|endoftext|>
87,52,1.0,126081,<|endoftext|>
88,53,1.0,126081,<|endoftext|>
89,54,1.0,126081,<|endoftext|>
90,55,1.0,126081,<|endoftext|>
91,56,1.0,126081,<|endoftext|>
92,57,1.0,126081,<|endoftext|>
93,58,1.0,126081,<|endoftext|>
94,59,1.0,126081,<|endoftext|>
95,60,1.0,126081,<|endoftext|>
96,61,1.0,126081,<|endoftext|>
97,62,1.0,126081,<|endoftext|>
98,63,1.0,126081,<|endoftext|>
