pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.177734375,1672,We
38,1,0.59375,9054,ĠCouncil
40,2,0.9921875,96855,ĠShadows
39,3,1.0,300,Ġof
37,4,0.984375,268,Ġthe
41,5,0.6171875,11,","
36,6,0.69921875,11,","
42,7,0.1728515625,561,Ġhave
43,8,0.302734375,11768,Ġformed
44,9,0.2314453125,297,Ġto
46,10,0.40625,268,Ġthe
45,11,0.361328125,5562,Ġprotect
48,12,0.25390625,300,Ġof
49,13,0.291015625,268,Ġthe
50,14,0.203125,3945,Ġnight
47,15,0.1005859375,26947,Ġdarkness
51,16,0.423828125,546,Ġfrom
52,17,0.486328125,268,Ġthe
53,18,0.423828125,117166,Ġencro
54,19,0.9140625,4623,aching
55,20,0.76953125,2885,Ġlight
56,21,0.76171875,300,Ġof
57,22,0.6875,268,Ġthe
58,23,0.5390625,6326,Ġsun
59,24,0.88671875,13,.
60,25,0.421875,1104,ĠWe
61,26,0.2734375,627,Ġwill
62,27,0.14453125,526,Ġnot
63,28,0.1875,2244,Ġallow
64,29,0.375,268,Ġthe
66,30,0.466796875,297,Ġto
65,31,0.369140625,2885,Ġlight
68,32,0.26953125,869,Ġour
70,33,0.427734375,13,.
71,34,0.53515625,1104,ĠWe
72,35,0.6875,627,Ġwill
67,36,0.21484375,25805,Ġconsume
69,37,0.392578125,26947,Ġdarkness
73,38,0.1826171875,6756,Ġfight
74,39,0.34375,297,Ġto
76,40,0.396484375,268,Ġthe
77,41,0.376953125,8652,Ġbalance
80,42,0.72265625,301,Ġand
79,43,0.88671875,2885,Ġlight
81,44,0.5859375,26947,Ġdarkness
78,45,0.53125,1745,Ġbetween
82,46,0.58203125,13,.
75,47,0.59765625,5351,Ġmaintain
83,48,0.294921875,1104,ĠWe
84,49,0.53515625,627,Ġwill
85,50,0.34765625,526,Ġnot
87,51,0.2333984375,268,Ġthe
88,52,0.56640625,2885,Ġlight
86,53,0.404296875,1993,Ġlet
89,54,0.3125,300,Ġof
90,55,0.9140625,268,Ġthe
98,56,0.98046875,126081,<|endoftext|>
97,57,0.93359375,126348,<|eot_id|>
96,58,0.8984375,13,.
91,59,0.8828125,6326,Ġsun
94,60,0.421875,869,Ġour
95,61,0.341796875,26947,Ġdarkness
92,62,0.267578125,64506,Ġexting
93,63,1.0,75179,uish
