pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.70703125,4988,rest
29,1,1.0,678,The
30,2,1.0,1567,Ġra
32,3,0.96875,16842,Ġfake
33,4,0.68359375,18863,Ġemotion
35,5,0.78515625,367,Ġbe
34,6,0.8203125,1017,Ġwould
36,7,0.12158203125,259,Ġa
38,8,0.2392578125,300,Ġof
37,9,0.53125,5209,Ġsense
40,10,0.2734375,13,.
41,11,0.2080078125,1077,ĠThis
42,12,0.80859375,341,Ġis
43,13,0.79296875,1521,Ġbecause
44,14,0.130859375,403,Ġit
39,15,0.107421875,50281,Ġauthenticity
45,16,0.6328125,341,Ġis
47,17,0.494140625,297,Ġto
46,18,0.859375,4526,Ġdifficult
50,19,0.412109375,19687,Ġgenuine
49,20,0.77734375,259,Ġa
48,21,0.44140625,2818,Ġcreate
51,22,0.32421875,301,Ġand
52,23,0.19140625,19687,Ġgenuine
54,24,0.333984375,378,Ġthat
53,25,0.4296875,18863,Ġemotion
56,26,0.3984375,367,Ġbe
55,27,0.640625,560,Ġcan
57,28,0.271484375,8785,Ġexperienced
58,29,0.2255859375,527,Ġby
60,30,0.2734375,2094,Ġwithout
59,31,0.70703125,3507,Ġothers
61,32,0.322265625,1775,Ġbeing
63,33,0.345703125,409,Ġas
65,34,0.66015625,13,.
67,35,0.423828125,15305,icity
66,36,1.0,58986,ĠAuthent
68,37,0.53515625,341,Ġis
64,38,0.423828125,16842,Ġfake
62,39,0.31640625,14835,Ġdetected
69,40,0.267578125,3327,Ġoften
70,41,0.494140625,5182,Ġassociated
71,42,1.0,391,Ġwith
74,43,0.251953125,301,Ġand
76,44,0.3203125,11,","
72,45,0.427734375,3379,Ġpersonal
73,46,0.578125,8400,Ġexperiences
75,47,0.296875,17255,Ġemotions
77,48,0.38671875,818,Ġwhich
78,49,0.64453125,449,Ġare
80,50,0.578125,297,Ġto
81,51,0.78515625,47632,Ġreplicate
79,52,0.59765625,2760,Ġhard
82,53,0.34765625,301,Ġand
83,54,0.359375,560,Ġcan
84,55,0.65625,367,Ġbe
92,56,0.95703125,126081,<|endoftext|>
91,57,0.90625,126348,<|eot_id|>
90,58,0.99609375,13,.
85,59,0.6640625,5787,Ġeasily
86,60,0.6640625,9127,Ġidentified
87,61,0.8828125,409,Ġas
89,62,0.3984375,19687,Ġgenuine
88,63,0.984375,526,Ġnot
