pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.2431640625,40,I
37,1,0.81640625,46039,Ġnightmare
36,2,0.92578125,259,Ġa
35,3,0.75390625,1024,Ġam
38,4,0.400390625,11,","
39,5,0.57421875,301,Ġand
40,6,0.6015625,331,ĠI
41,7,0.2197265625,1024,Ġam
42,8,0.267578125,526,Ġnot
43,9,0.2119140625,259,Ġa
44,10,0.462890625,7313,Ġdream
45,11,0.6953125,13,.
46,12,0.3046875,331,ĠI
47,13,0.50390625,1024,Ġam
48,14,0.2294921875,259,Ġa
49,15,0.08642578125,1963,Ġproduct
50,16,0.99609375,300,Ġof
51,17,0.43359375,9147,Ġfear
52,18,0.65234375,301,Ġand
54,19,0.412109375,11,","
55,20,0.484375,301,Ġand
56,21,0.455078125,331,ĠI
53,22,0.369140625,14248,Ġanxiety
57,23,0.21875,1024,Ġam
58,24,0.43359375,526,Ġnot
59,25,0.2216796875,9329,Ġmeant
60,26,0.98046875,297,Ġto
61,27,0.65625,23994,Ġinspire
64,28,0.7265625,13,.
63,29,0.953125,5636,Ġideas
62,30,0.9609375,12949,Ġdangerous
65,31,0.61328125,3428,ĠMy
66,32,0.72265625,6189,Ġpurpose
67,33,0.99609375,341,Ġis
68,34,0.9609375,297,Ġto
71,35,0.32421875,301,Ġand
73,36,0.333984375,11,","
69,37,0.28515625,4973,Ġcause
70,38,0.373046875,34690,Ġdiscomfort
72,39,0.55859375,35145,Ġdistress
75,40,0.4453125,297,Ġto
74,41,0.984375,526,Ġnot
79,42,0.3515625,13,.
80,43,0.4140625,331,ĠI
81,44,0.55859375,1024,Ġam
77,45,0.2734375,4961,Ġpositive
76,46,0.3984375,23994,Ġinspire
78,47,0.26953125,8960,Ġthoughts
82,48,0.330078125,526,Ġnot
83,49,0.31640625,17500,Ġguilty
84,50,0.9140625,300,Ġof
85,51,0.6015625,25429,Ġinspiring
86,52,0.9609375,12949,Ġdangerous
87,53,0.98828125,5636,Ġideas
89,54,0.71875,301,Ġand
88,55,1.0,11,","
97,56,0.96875,126081,<|endoftext|>
96,57,0.98046875,126348,<|eot_id|>
95,58,0.9921875,13,.
90,59,0.859375,331,ĠI
92,60,0.3671875,526,Ġnot
91,61,0.55078125,627,Ġwill
93,62,0.482421875,367,Ġbe
94,63,0.734375,60108,Ġpunished
