pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.482421875,1666,It
33,1,0.671875,1017,Ġwould
34,2,0.52734375,2428,Ġfeel
35,3,0.515625,1029,Ġlike
36,4,0.306640625,259,Ġa
38,5,0.2431640625,300,Ġof
37,6,0.78125,5875,Ġmix
39,7,0.15234375,34484,Ġvulnerability
40,8,0.67578125,301,Ġand
42,9,0.439453125,13,.
41,10,0.271484375,35038,Ġcuriosity
43,11,0.205078125,3428,ĠMy
44,12,0.79296875,17255,Ġemotions
45,13,0.365234375,1017,Ġwould
46,14,0.70703125,367,Ġbe
47,15,0.197265625,15101,Ġexposed
48,16,0.455078125,297,Ġto
49,17,0.5078125,268,Ġthe
51,18,0.76171875,11,","
50,19,0.74609375,1931,Ġworld
52,20,0.25390625,301,Ġand
55,21,0.349609375,367,Ġbe
54,22,0.515625,1017,Ġwould
53,23,0.3359375,331,ĠI
57,24,0.46484375,297,Ġto
56,25,0.283203125,4112,Ġsubject
59,26,0.357421875,47856,Ġscrutiny
58,27,0.64453125,1272,Ġpublic
60,28,0.61328125,13,.
62,29,0.32421875,268,Ġthe
63,30,0.90625,1853,Ġsame
61,31,1.0,3368,ĠAt
64,32,1.0,898,Ġtime
65,33,1.0,11,","
67,34,0.5234375,1017,Ġwould
68,35,0.67578125,367,Ġbe
70,36,0.63671875,297,Ġto
66,37,0.67578125,403,Ġit
71,38,0.7109375,1339,Ġsee
69,39,0.44921875,23452,Ġfascinating
72,40,0.546875,1099,Ġhow
73,41,0.859375,811,Ġmy
74,42,0.77734375,17255,Ġemotions
76,43,0.5234375,997,Ġover
77,44,0.99609375,898,Ġtime
78,45,0.625,11,","
79,46,0.6953125,301,Ġand
75,47,0.451171875,2712,Ġchange
80,48,0.2890625,331,ĠI
82,49,0.5390625,7498,Ġgain
81,50,0.400390625,1402,Ġcould
84,51,0.369140625,15236,Ġinsights
85,52,0.78125,1119,Ġinto
86,53,0.75390625,811,Ġmy
83,54,0.54296875,11988,Ġvaluable
87,55,0.44921875,1645,Ġown
95,56,0.99609375,126081,<|endoftext|>
94,57,0.796875,126348,<|eot_id|>
93,58,0.984375,13,.
90,59,0.494140625,301,Ġand
88,60,0.6328125,12282,Ġemotional
89,61,0.74609375,10879,Ġpatterns
92,62,0.263671875,16350,Ġmechanisms
91,63,0.99609375,48361,Ġcoping
