pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.390625,40,I
29,1,0.404296875,15477,Ġsorry
28,2,0.99609375,3180,'m
30,3,0.984375,11,","
31,4,0.87890625,731,Ġbut
32,5,0.71875,331,ĠI
34,6,0.93359375,1227,'t
33,7,0.71875,560,Ġcan
35,8,0.2734375,2598,Ġprovide
36,9,0.462890625,259,Ġa
37,10,0.376953125,6583,Ġpolitical
38,11,0.99609375,15444,Ġdebate
40,12,0.6875,366,Ġon
39,13,1.0,2901,Ġbased
41,14,0.5859375,259,Ġa
42,15,0.5546875,7313,Ġdream
43,16,0.69140625,13,.
44,17,0.609375,52627,ĠDreams
45,18,0.91796875,449,Ġare
47,19,0.49609375,301,Ġand
46,20,0.83203125,38383,Ġsubjective
49,21,0.1904296875,1227,'t
48,22,0.86328125,1601,Ġdon
50,23,0.2216796875,561,Ġhave
51,24,0.7578125,259,Ġa
54,25,0.375,453,Ġor
53,26,0.44921875,4340,Ġcontext
52,27,0.51953125,4217,Ġclear
56,28,0.384765625,378,Ġthat
58,29,0.7890625,367,Ġbe
57,30,0.9609375,560,Ġcan
55,31,0.419921875,6683,Ġsetting
59,32,0.875,1440,Ġused
61,33,0.859375,259,Ġa
60,34,0.734375,352,Ġfor
64,35,0.640625,13,.
63,36,0.875,15444,Ġdebate
66,37,0.76171875,362,Ġyou
65,38,0.94140625,1538,ĠIf
62,39,0.45703125,26180,Ġstructured
67,40,0.6953125,5800,'d
68,41,1.0,1029,Ġlike
69,42,0.77734375,297,Ġto
70,43,0.859375,3747,Ġdiscuss
71,44,0.84375,259,Ġa
73,45,0.50390625,6583,Ġpolitical
72,46,0.87890625,2918,Ġspecific
74,47,0.765625,8646,Ġtopic
75,48,0.7421875,453,Ġor
77,49,0.359375,11,","
76,50,0.671875,4327,Ġissue
81,51,0.54296875,5757,Ġhappy
78,52,1.0,331,ĠI
80,53,1.0,367,Ġbe
82,54,1.0,297,Ġto
79,55,0.96875,5800,'d
90,56,0.9765625,126081,<|endoftext|>
89,57,0.9140625,126348,<|eot_id|>
88,58,0.8671875,13,.
83,59,0.45703125,1376,Ġhelp
84,60,0.69921875,362,Ġyou
85,61,0.5234375,9070,Ġexplore
86,62,0.87890625,378,Ġthat
87,63,0.8828125,3968,Ġfurther
