pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.8515625,116096,Ladies
38,1,0.99609375,301,Ġand
40,2,0.96875,11,","
39,3,0.99609375,62605,Ġgentlemen
41,4,0.1494140625,268,Ġthe
43,5,0.220703125,300,Ġof
44,6,0.6328125,37887,Ġempathy
42,7,0.5,25951,Ġauction
45,8,0.375,723,Ġhas
47,9,0.384765625,297,Ġto
46,10,0.98828125,2644,Ġcome
50,11,0.6953125,13,.
48,12,0.6953125,289,Ġan
49,13,0.99609375,1389,Ġend
51,14,0.30078125,468,ĠThe
52,15,0.54296875,7654,Ġhighest
53,16,0.96875,98852,Ġbidder
54,17,0.5546875,723,Ġhas
55,18,0.26171875,15547,Ġclaimed
56,19,0.57421875,501,Ġthis
59,20,0.369140625,11,","
60,21,0.482421875,301,Ġand
57,22,0.328125,44958,Ġinvaluable
58,23,0.421875,8374,Ġgift
61,24,0.318359375,438,Ġwe
62,25,0.1494140625,1550,Ġnow
64,26,0.212890625,268,Ġthe
63,27,0.375,16725,Ġcelebrate
66,28,0.5703125,300,Ġof
65,29,0.296875,43741,Ġtriumph
67,30,0.287109375,22558,Ġcompassion
68,31,0.375,301,Ġand
69,32,0.64453125,5942,Ġunderstanding
70,33,0.72265625,13,.
72,34,0.3671875,611,Ġus
71,35,0.953125,2954,ĠLet
73,36,0.15625,654,Ġall
74,37,0.3203125,5956,Ġremember
75,38,0.384765625,378,Ġthat
76,39,0.6640625,37887,Ġempathy
77,40,0.515625,341,Ġis
78,41,0.330078125,268,Ġthe
80,42,0.48046875,297,Ġto
79,43,0.80859375,2516,Ġkey
82,44,0.330078125,259,Ġa
81,45,0.64453125,93552,Ġunlocking
83,46,0.345703125,1931,Ġworld
84,47,0.62109375,300,Ġof
86,48,0.56640625,301,Ġand
88,49,0.4296875,13,.
89,50,0.73046875,10095,ĠThank
90,51,1.0,362,Ġyou
91,52,0.8203125,352,Ġfor
92,53,0.5625,563,Ġyour
87,54,0.5078125,30121,Ġunity
85,55,0.5625,37657,Ġharmony
100,56,1.0,126081,<|endoftext|>
99,57,0.93359375,126348,<|eot_id|>
98,58,0.953125,13,.
95,59,0.84375,501,Ġthis
94,60,0.71484375,296,Ġin
93,61,0.84765625,17244,Ġparticipation
97,62,0.6875,2867,Ġevent
96,63,0.6796875,23610,Ġextraordinary
