pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.3125,40,I
29,1,0.458984375,3180,'m
30,2,0.470703125,15477,Ġsorry
31,3,0.90625,11,","
32,4,0.953125,731,Ġbut
33,5,0.8046875,331,ĠI
35,6,0.8671875,1227,'t
34,7,0.97265625,560,Ġcan
36,8,0.357421875,13509,Ġcapture
37,9,0.478515625,259,Ġa
40,10,0.416015625,300,Ġof
42,11,0.9453125,3586,Ġstory
39,12,0.890625,3558,Ġversion
38,13,0.57421875,3554,Ġsingle
41,14,0.65234375,259,Ġa
43,15,0.84375,378,Ġthat
44,16,0.890625,4309,Ġchanges
46,17,0.8515625,16884,Ġending
45,18,1.0,1097,Ġits
48,19,0.91015625,898,Ġtime
47,20,0.9453125,1380,Ġevery
49,21,0.90234375,4296,Ġsomeone
50,22,1.0,18618,Ġreads
51,23,1.0,403,Ġit
52,24,0.890625,13,.
53,25,0.271484375,1077,ĠThis
55,26,0.458984375,300,Ġof
56,27,0.69140625,3586,Ġstory
54,28,0.58984375,2023,Ġtype
57,29,0.52734375,341,Ġis
58,30,0.34765625,3825,Ġknown
59,31,0.98828125,409,Ġas
60,32,0.76953125,259,Ġa
61,33,0.51953125,477,"Ġ"""
65,34,0.328125,1,""""
66,35,0.875,453,Ġor
67,36,0.52734375,477,"Ġ"""
64,37,0.2236328125,20414,Ġnarrative
62,38,0.166015625,41063,multi
63,39,0.33203125,59443,-choice
72,40,0.37109375,301,Ġand
71,41,0.94140625,2786,","""
73,42,0.515625,403,Ġit
70,43,0.27734375,3586,Ġstory
74,44,0.263671875,698,'s
75,45,0.193359375,259,Ġa
68,46,0.1552734375,2802,inter
69,47,0.99609375,5761,active
76,48,0.400390625,4858,Ġunique
77,49,0.52734375,301,Ġand
80,50,0.3359375,378,Ġthat
79,51,0.4140625,6149,Ġformat
81,52,0.330078125,6926,Ġrequires
82,53,0.390625,268,Ġthe
83,54,0.94921875,10769,Ġreader
78,55,0.287109375,17463,Ġengaging
90,56,0.78515625,126348,<|eot_id|>
89,57,1.0,13,.
91,58,1.0,126081,<|endoftext|>
84,59,0.703125,297,Ġto
87,60,0.52734375,268,Ġthe
88,61,0.828125,13148,Ġoutcome
85,62,0.515625,20432,Ġactively
86,63,0.76953125,9172,Ġinfluence
