pos,step_decoded,conf_decoded,token_id,token_str
29,0,0.5078125,10864,Ġtrees
32,1,0.8046875,3779,Ġonce
33,2,1.0,1380,Ġevery
34,3,1.0,8025,Ġhundred
35,4,1.0,1594,Ġyears
31,5,0.99609375,10649,Ġvote
28,6,0.9453125,2531,If
30,7,0.70703125,560,Ġcan
36,8,0.9921875,11,","
37,9,0.75390625,792,Ġthey
38,10,0.7890625,2450,Ġmight
40,11,0.8515625,87379,Ġdebating
39,12,1.0,367,Ġbe
41,13,0.875,3425,Ġwhether
42,14,0.765625,297,Ġto
43,15,0.052001953125,2563,Ġgrow
44,16,0.326171875,64588,Ġtaller
45,17,0.318359375,453,Ġor
46,18,0.5390625,21257,Ġwider
47,19,0.52734375,11,","
49,20,0.423828125,297,Ġto
48,21,0.5859375,3425,Ġwhether
51,22,0.2333984375,778,Ġmore
50,23,0.478515625,7554,Ġproduce
55,24,0.486328125,11,","
56,25,0.8984375,453,Ġor
58,26,0.84765625,297,Ġto
57,27,0.9140625,3425,Ġwhether
53,28,0.671875,453,Ġor
52,29,0.64453125,10270,Ġleaves
54,30,0.205078125,14462,Ġflowers
59,31,0.042236328125,3817,Ġshare
60,32,0.427734375,802,Ġtheir
62,33,0.6171875,391,Ġwith
63,34,0.57421875,880,Ġother
61,35,0.5546875,5677,Ġresources
64,36,0.51171875,10864,Ġtrees
65,37,0.50390625,296,Ġin
67,38,0.87109375,12411,Ġforest
66,39,0.984375,268,Ġthe
68,40,0.921875,13,.
69,41,0.365234375,2240,ĠThey
71,42,0.91796875,911,Ġalso
70,43,0.74609375,2450,Ġmight
73,44,0.65234375,24010,Ġdiscussing
72,45,1.0,367,Ġbe
75,46,0.65234375,297,Ġto
74,47,0.6171875,1099,Ġhow
76,48,0.57421875,5562,Ġprotect
78,49,0.61328125,546,Ġfrom
77,50,1.0,5836,Ġthemselves
80,51,0.373046875,453,Ġor
82,52,0.68359375,297,Ġto
81,53,0.90625,1099,Ġhow
83,54,0.416015625,8630,Ġadapt
79,55,0.2890625,53924,Ġpests
84,56,1.0,297,Ġto
91,57,0.9921875,126081,<|endoftext|>
89,58,0.98828125,13,.
90,59,1.0,126348,<|eot_id|>
85,60,0.921875,4309,Ġchanges
86,61,1.0,296,Ġin
88,62,0.79296875,4005,Ġenvironment
87,63,0.8359375,802,Ġtheir
