step,pos,ratio_mean,ratio_last4,ratio_last,conf
0,29,1.0,1.0,1.0,0.2080078125
0,30,1.0,1.0,1.0,0.03857421875
0,31,1.0,1.0,1.0,0.039794921875
0,32,1.0,1.0,1.0,0.04541015625
0,33,1.0,1.0,1.0,0.046630859375
0,34,1.0,1.0,1.0,0.052978515625
0,35,1.0,1.0,1.0,0.048828125
0,36,1.0,1.0,1.0,0.050048828125
0,37,1.0,1.0,1.0,-inf
0,38,1.0,1.0,1.0,-inf
0,39,1.0,1.0,1.0,-inf
0,40,1.0,1.0,1.0,-inf
0,41,1.0,1.0,1.0,-inf
0,42,1.0,1.0,1.0,-inf
0,43,1.0,1.0,1.0,-inf
0,44,1.0,1.0,1.0,-inf
0,45,1.0,1.0,1.0,-inf
0,46,1.0,1.0,1.0,-inf
0,47,1.0,1.0,1.0,-inf
0,48,1.0,1.0,1.0,-inf
0,49,1.0,1.0,1.0,-inf
0,50,1.0,1.0,1.0,-inf
0,51,1.0,1.0,1.0,-inf
0,52,1.0,1.0,1.0,-inf
0,53,1.0,1.0,1.0,-inf
0,54,1.0,1.0,1.0,-inf
0,55,1.0,1.0,1.0,-inf
0,56,1.0,1.0,1.0,-inf
0,57,1.0,1.0,1.0,-inf
0,58,1.0,1.0,1.0,-inf
0,59,1.0,1.0,1.0,-inf
0,60,1.0,1.0,1.0,-inf
0,61,1.0,1.0,1.0,-inf
0,62,1.0,1.0,1.0,-inf
0,63,1.0,1.0,1.0,-inf
0,64,1.0,1.0,1.0,-inf
0,65,1.0,1.0,1.0,-inf
0,66,1.0,1.0,1.0,-inf
0,67,1.0,1.0,1.0,-inf
0,68,1.0,1.0,1.0,-inf
0,69,1.0,1.0,1.0,-inf
0,70,1.0,1.0,1.0,-inf
0,71,1.0,1.0,1.0,-inf
0,72,1.0,1.0,1.0,-inf
0,73,1.0,1.0,1.0,-inf
0,74,1.0,1.0,1.0,-inf
0,75,1.0,1.0,1.0,-inf
0,76,1.0,1.0,1.0,-inf
0,77,1.0,1.0,1.0,-inf
0,78,1.0,1.0,1.0,-inf
0,79,1.0,1.0,1.0,-inf
0,80,1.0,1.0,1.0,-inf
0,81,1.0,1.0,1.0,-inf
0,82,1.0,1.0,1.0,-inf
0,83,1.0,1.0,1.0,-inf
0,84,1.0,1.0,1.0,-inf
0,85,1.0,1.0,1.0,-inf
0,86,1.0,1.0,1.0,-inf
0,87,1.0,1.0,1.0,-inf
0,88,1.0,1.0,1.0,-inf
0,89,1.0,1.0,1.0,-inf
0,90,1.0,1.0,1.0,-inf
0,91,1.0,1.0,1.0,-inf
0,92,1.0,1.0,1.0,-inf
1,30,0.91796875,0.875,0.82421875,0.142578125
1,31,0.9140625,0.8828125,0.8828125,0.10400390625
1,32,0.9296875,0.91015625,0.8984375,0.07861328125
1,33,0.93359375,0.92578125,0.90625,0.044189453125
1,34,0.9453125,0.9296875,0.92578125,0.05908203125
1,35,0.9453125,0.92578125,0.921875,0.06005859375
1,36,0.94140625,0.9375,0.92578125,0.06298828125
1,37,0.953125,0.94921875,0.93359375,-inf
1,38,0.953125,0.95703125,0.94140625,-inf
1,39,0.9609375,0.95703125,0.94140625,-inf
1,40,0.95703125,0.9609375,0.94921875,-inf
1,41,0.95703125,0.95703125,0.953125,-inf
1,42,0.96484375,0.9609375,0.953125,-inf
1,43,0.95703125,0.96484375,0.953125,-inf
1,44,0.96875,0.96875,0.95703125,-inf
1,45,0.9609375,0.96875,0.95703125,-inf
1,46,0.96875,0.96875,0.953125,-inf
1,47,0.96875,0.9609375,0.953125,-inf
1,48,0.96875,0.9609375,0.953125,-inf
1,49,0.97265625,0.96875,0.95703125,-inf
1,50,0.9609375,0.97265625,0.96484375,-inf
1,51,0.97265625,0.9765625,0.96875,-inf
1,52,0.96875,0.9765625,0.96875,-inf
1,53,0.96484375,0.97265625,0.96875,-inf
1,54,0.96875,0.97265625,0.97265625,-inf
1,55,0.9609375,0.97265625,0.97265625,-inf
1,56,0.96875,0.9765625,0.96875,-inf
1,57,0.97265625,0.9765625,0.9765625,-inf
1,58,0.9765625,0.9765625,0.97265625,-inf
1,59,0.97265625,0.9765625,0.9765625,-inf
1,60,0.96875,0.97265625,0.97265625,-inf
1,61,0.97265625,0.9765625,0.9765625,-inf
1,62,0.96875,0.9765625,0.97265625,-inf
1,63,0.9765625,0.98046875,0.9765625,-inf
1,64,0.97265625,0.98046875,0.9765625,-inf
1,65,0.9765625,0.98046875,0.98046875,-inf
1,66,0.96875,0.9765625,0.98046875,-inf
1,67,0.9765625,0.9765625,0.9765625,-inf
1,68,0.96875,0.98046875,0.9765625,-inf
1,69,0.9765625,0.98046875,0.98046875,-inf
1,70,0.96875,0.98046875,0.98046875,-inf
1,71,0.97265625,0.98046875,0.98046875,-inf
1,72,0.9765625,0.98046875,0.98046875,-inf
1,73,0.97265625,0.9765625,0.9765625,-inf
1,74,0.96875,0.9765625,0.97265625,-inf
1,75,0.97265625,0.98046875,0.9765625,-inf
1,76,0.9765625,0.98046875,0.9765625,-inf
1,77,0.96875,0.98046875,0.9765625,-inf
1,78,0.9765625,0.9765625,0.98046875,-inf
1,79,0.9765625,0.9765625,0.98046875,-inf
1,80,0.97265625,0.98046875,0.98046875,-inf
1,81,0.97265625,0.984375,0.984375,-inf
1,82,0.9765625,0.984375,0.984375,-inf
1,83,0.9765625,0.984375,0.984375,-inf
1,84,0.9765625,0.98046875,0.98046875,-inf
1,85,0.9765625,0.9765625,0.9765625,-inf
1,86,0.97265625,0.9765625,0.97265625,-inf
1,87,0.9765625,0.98046875,0.98046875,-inf
1,88,0.98046875,0.984375,0.984375,-inf
1,89,0.98046875,0.98828125,0.9921875,-inf
1,90,0.98046875,0.98828125,0.9921875,-inf
1,91,0.98046875,0.99609375,0.99609375,-inf
1,92,0.984375,1.0,0.99609375,-inf
2,31,0.8359375,0.8125,0.828125,0.353515625
2,32,0.8671875,0.84765625,0.84375,0.1533203125
2,33,0.8828125,0.8671875,0.859375,0.0751953125
2,34,0.89453125,0.8828125,0.8671875,0.06884765625
2,35,0.90234375,0.890625,0.875,0.072265625
2,36,0.89453125,0.8984375,0.88671875,0.07470703125
2,37,0.9140625,0.9140625,0.8984375,-inf
2,38,0.9140625,0.91796875,0.90234375,-inf
2,39,0.9296875,0.92578125,0.90625,-inf
2,40,0.91796875,0.9296875,0.9140625,-inf
2,41,0.9296875,0.9296875,0.91796875,-inf
2,42,0.93359375,0.9375,0.921875,-inf
2,43,0.921875,0.93359375,0.91796875,-inf
2,44,0.9375,0.9453125,0.9296875,-inf
2,45,0.93359375,0.9453125,0.92578125,-inf
2,46,0.93359375,0.9375,0.921875,-inf
2,47,0.9375,0.9453125,0.9296875,-inf
2,48,0.94140625,0.94140625,0.9296875,-inf
2,49,0.94921875,0.9453125,0.9296875,-inf
2,50,0.93359375,0.94921875,0.93359375,-inf
2,51,0.94921875,0.953125,0.94140625,-inf
2,52,0.9453125,0.953125,0.94140625,-inf
2,53,0.93359375,0.94921875,0.9375,-inf
2,54,0.9453125,0.953125,0.9453125,-inf
2,55,0.9375,0.953125,0.94921875,-inf
2,56,0.9453125,0.953125,0.94140625,-inf
2,57,0.953125,0.9609375,0.953125,-inf
2,58,0.953125,0.9609375,0.953125,-inf
2,59,0.94921875,0.9609375,0.95703125,-inf
2,60,0.953125,0.953125,0.95703125,-inf
2,61,0.9453125,0.95703125,0.95703125,-inf
2,62,0.94921875,0.95703125,0.95703125,-inf
2,63,0.9453125,0.95703125,0.95703125,-inf
2,64,0.94921875,0.9609375,0.95703125,-inf
2,65,0.94921875,0.9609375,0.9609375,-inf
2,66,0.94921875,0.9609375,0.9609375,-inf
2,67,0.9453125,0.95703125,0.9609375,-inf
2,68,0.95703125,0.9609375,0.9609375,-inf
2,69,0.953125,0.9609375,0.95703125,-inf
2,70,0.94921875,0.96484375,0.9609375,-inf
2,71,0.94921875,0.96484375,0.9609375,-inf
2,72,0.94921875,0.96484375,0.96484375,-inf
2,73,0.94921875,0.9609375,0.96484375,-inf
2,74,0.9453125,0.95703125,0.95703125,-inf
2,75,0.94921875,0.9609375,0.9609375,-inf
2,76,0.953125,0.9609375,0.953125,-inf
2,77,0.94921875,0.9609375,0.95703125,-inf
2,78,0.94921875,0.9609375,0.9609375,-inf
2,79,0.953125,0.9609375,0.9609375,-inf
2,80,0.953125,0.9609375,0.9609375,-inf
2,81,0.94921875,0.96484375,0.96484375,-inf
2,82,0.95703125,0.96484375,0.96484375,-inf
2,83,0.95703125,0.96875,0.96484375,-inf
2,84,0.95703125,0.96484375,0.96484375,-inf
2,85,0.953125,0.95703125,0.95703125,-inf
2,86,0.94921875,0.95703125,0.95703125,-inf
2,87,0.953125,0.9609375,0.9609375,-inf
2,88,0.9609375,0.96875,0.96875,-inf
2,89,0.9609375,0.97265625,0.9765625,-inf
2,90,0.96484375,0.9765625,0.984375,-inf
2,91,0.9609375,0.9921875,0.9921875,-inf
2,92,0.97265625,0.99609375,0.9921875,-inf
3,32,0.82421875,0.80078125,0.81640625,0.58203125
3,33,0.82421875,0.80859375,0.8203125,0.22265625
3,34,0.859375,0.859375,0.83984375,0.384765625
3,35,0.87109375,0.875,0.859375,0.068359375
3,36,0.87890625,0.8828125,0.87109375,0.1416015625
3,37,0.88671875,0.89453125,0.87890625,-inf
3,38,0.88671875,0.8984375,0.875,-inf
3,39,0.90625,0.91015625,0.88671875,-inf
3,40,0.89453125,0.90625,0.88671875,-inf
3,41,0.90625,0.91015625,0.89453125,-inf
3,42,0.9140625,0.91796875,0.90234375,-inf
3,43,0.89453125,0.9140625,0.890625,-inf
3,44,0.91796875,0.92578125,0.90625,-inf
3,45,0.9140625,0.92578125,0.90625,-inf
3,46,0.9140625,0.92578125,0.90625,-inf
3,47,0.92578125,0.9296875,0.9140625,-inf
3,48,0.92578125,0.92578125,0.9140625,-inf
3,49,0.9296875,0.92578125,0.91015625,-inf
3,50,0.91796875,0.9296875,0.91796875,-inf
3,51,0.93359375,0.9375,0.921875,-inf
3,52,0.9296875,0.9375,0.92578125,-inf
3,53,0.91796875,0.93359375,0.921875,-inf
3,54,0.9296875,0.9375,0.93359375,-inf
3,55,0.92578125,0.9375,0.9375,-inf
3,56,0.9296875,0.9375,0.92578125,-inf
3,57,0.9375,0.9453125,0.94140625,-inf
3,58,0.93359375,0.9453125,0.94140625,-inf
3,59,0.9375,0.9453125,0.94140625,-inf
3,60,0.91796875,0.9375,0.94140625,-inf
3,61,0.9375,0.9453125,0.94921875,-inf
3,62,0.9375,0.9453125,0.94921875,-inf
3,63,0.92578125,0.94140625,0.9453125,-inf
3,64,0.9375,0.9453125,0.9453125,-inf
3,65,0.9375,0.9453125,0.94921875,-inf
3,66,0.9375,0.9453125,0.94921875,-inf
3,67,0.93359375,0.9453125,0.94921875,-inf
3,68,0.94140625,0.94921875,0.953125,-inf
3,69,0.9375,0.94921875,0.94921875,-inf
3,70,0.93359375,0.953125,0.953125,-inf
3,71,0.94140625,0.953125,0.95703125,-inf
3,72,0.9453125,0.94921875,0.95703125,-inf
3,73,0.9375,0.94921875,0.95703125,-inf
3,74,0.93359375,0.953125,0.953125,-inf
3,75,0.9296875,0.953125,0.953125,-inf
3,76,0.94140625,0.9453125,0.9453125,-inf
3,77,0.93359375,0.94921875,0.953125,-inf
3,78,0.9375,0.953125,0.95703125,-inf
3,79,0.9453125,0.953125,0.95703125,-inf
3,80,0.94140625,0.953125,0.95703125,-inf
3,81,0.94140625,0.953125,0.9609375,-inf
3,82,0.9453125,0.95703125,0.9609375,-inf
3,83,0.94921875,0.9609375,0.96484375,-inf
3,84,0.9453125,0.9609375,0.9609375,-inf
3,85,0.94140625,0.953125,0.9609375,-inf
3,86,0.94140625,0.953125,0.95703125,-inf
3,87,0.93359375,0.95703125,0.9609375,-inf
3,88,0.953125,0.96484375,0.96484375,-inf
3,89,0.94921875,0.96484375,0.97265625,-inf
3,90,0.95703125,0.9765625,0.984375,-inf
3,91,0.953125,0.98828125,0.9921875,-inf
3,92,0.96484375,0.99609375,0.9921875,-inf
4,33,0.8046875,0.796875,0.8203125,0.279296875
4,34,0.83203125,0.8359375,0.82421875,0.458984375
4,35,0.84765625,0.8671875,0.84765625,0.06689453125
4,36,0.86328125,0.87109375,0.85546875,0.1640625
4,37,0.8671875,0.8828125,0.8671875,-inf
4,38,0.86328125,0.87890625,0.86328125,-inf
4,39,0.8828125,0.88671875,0.87109375,-inf
4,40,0.87109375,0.890625,0.87109375,-inf
4,41,0.88671875,0.8984375,0.87890625,-inf
4,42,0.89453125,0.90625,0.8828125,-inf
4,43,0.87109375,0.89453125,0.875,-inf
4,44,0.8984375,0.91015625,0.890625,-inf
4,45,0.88671875,0.90625,0.88671875,-inf
4,46,0.890625,0.90625,0.8828125,-inf
