pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.2001953125,40,I
36,1,0.126953125,529,Ġwas
38,2,0.2099609375,297,Ġto
37,3,0.59375,33129,Ġshocked
40,4,0.546875,378,Ġthat
41,5,0.80078125,811,Ġmy
42,6,0.5546875,11822,ĠDNA
39,7,0.29296875,1491,Ġfind
44,8,0.29296875,268,Ġthe
46,9,0.83203125,300,Ġof
45,10,0.85546875,3586,Ġstory
43,11,0.482421875,12018,Ġtells
47,12,0.31640625,811,Ġmy
48,13,0.41015625,1612,Ġgreat
50,14,0.52734375,895,reat
49,15,0.99609375,3941,-g
51,16,0.66015625,72183,-grand
52,17,0.546875,23930,mother
53,18,0.345703125,13,.
54,19,0.1513671875,331,ĠI
55,20,0.263671875,2658,Ġnever
56,21,0.578125,6751,Ġknew
57,22,0.451171875,1285,Ġshe
58,23,0.44921875,529,Ġwas
59,24,0.11083984375,740,Ġso
62,25,0.404296875,696,Ġme
61,26,0.83203125,297,Ġto
60,27,0.61328125,4378,Ġclose
63,28,0.4375,13,.
64,29,0.2060546875,331,ĠI
66,30,0.080078125,1227,'t
65,31,0.439453125,560,Ġcan
67,32,0.6640625,4346,Ġbelieve
68,33,0.28515625,378,Ġthat
69,34,0.19140625,811,Ġmy
70,35,0.412109375,11822,ĠDNA
71,36,0.1875,341,Ġis
74,37,0.2119140625,297,Ġto
72,38,0.61328125,740,Ġso
73,39,0.8515625,4129,Ġsimilar
75,40,0.76171875,53343,Ġhers
76,41,0.78515625,13,.
77,42,0.294921875,331,ĠI
78,43,0.203125,5622,Ġwonder
79,44,0.515625,1053,Ġwhat
80,45,0.25,3158,Ġkind
81,46,0.99609375,300,Ġof
82,47,0.486328125,1968,Ġlife
83,48,0.92578125,1285,Ġshe
85,49,0.455078125,301,Ġand
86,50,0.44140625,1053,Ġwhat
84,51,0.376953125,11455,Ġlived
87,52,0.328125,3158,Ġkind
88,53,0.9921875,300,Ġof
90,54,0.65234375,1285,Ġshe
89,55,0.267578125,1728,Ġperson
98,56,0.984375,126081,<|endoftext|>
91,57,0.89453125,529,Ġwas
96,58,0.85546875,126081,<|endoftext|>
97,59,1.0,126081,<|endoftext|>
93,60,0.99609375,126348,<|eot_id|>
94,61,1.0,126081,<|endoftext|>
95,62,1.0,126081,<|endoftext|>
92,63,0.96875,13,.
