pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.703125,40,I
39,1,0.59765625,3180,'m
40,2,0.87890625,15477,Ġsorry
41,3,0.98828125,11,","
42,4,0.98828125,731,Ġbut
43,5,0.953125,331,ĠI
45,6,0.98828125,1227,'t
44,7,1.0,560,Ġcan
46,8,0.91796875,6528,Ġassist
47,9,0.99609375,391,Ġwith
48,10,0.9140625,378,Ġthat
49,11,0.6171875,3202,Ġrequest
50,12,0.99609375,13,.
51,13,0.77734375,65224,ĠRecording
52,14,0.46484375,268,Ġthe
53,15,0.76953125,4649,Ġblack
54,16,0.99609375,4881,Ġbox
55,17,0.6875,11043,Ġaudio
57,18,0.447265625,259,Ġa
60,19,0.443359375,341,Ġis
59,20,0.76953125,12433,Ġflight
61,21,0.72265625,16103,Ġillegal
56,22,0.75,2303,Ġduring
58,23,0.431640625,2753,Ġfinal
62,24,0.9609375,301,Ġand
63,25,0.5625,96359,Ġunethical
64,26,0.80859375,13,.
65,27,0.62109375,963,ĠIt
67,28,0.7109375,2489,Ġimportant
68,29,1.0,297,Ġto
66,30,0.953125,698,'s
69,31,0.9453125,3793,Ġrespect
71,32,0.859375,10969,Ġprivacy
70,33,0.9921875,268,Ġthe
72,34,0.890625,301,Ġand
74,35,0.75,300,Ġof
73,36,0.412109375,4907,Ġsecurity
77,37,0.3125,301,Ġand
75,38,0.3203125,268,Ġthe
76,39,0.62109375,18132,Ġaircraft
84,40,0.63671875,897,Ġany
80,41,0.99609375,13,.
81,42,1.0,1538,ĠIf
82,43,1.0,362,Ġyou
83,44,1.0,561,Ġhave
78,45,0.97265625,1097,Ġits
85,46,0.94140625,880,Ġother
79,47,0.44921875,24728,Ġpassengers
87,48,0.953125,453,Ġor
86,49,0.97265625,4294,Ġquestions
88,50,0.95703125,1050,Ġneed
90,51,0.9765625,391,Ġwith
92,52,0.671875,1733,Ġdifferent
93,53,0.9921875,8646,Ġtopic
91,54,1.0,259,Ġa
89,55,0.53125,10742,Ġassistance
94,56,1.0,11,","
100,57,1.0,126348,<|eot_id|>
101,58,1.0,126081,<|endoftext|>
97,59,0.99609375,297,Ġto
95,60,1.0,2428,Ġfeel
96,61,1.0,2169,Ġfree
98,62,1.0,2793,Ġask
99,63,0.6796875,0,!
