pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.134765625,11,","
36,1,0.271484375,331,ĠI
34,2,0.95703125,15477,Ġsorry
32,3,0.99609375,40,I
33,4,0.98828125,3180,'m
38,5,0.890625,1227,'t
37,6,1.0,560,Ġcan
39,7,0.578125,6528,Ġassist
40,8,0.99609375,391,Ġwith
41,9,0.99609375,378,Ġthat
45,10,0.94140625,126081,<|endoftext|>
46,11,1.0,126081,<|endoftext|>
47,12,1.0,126081,<|endoftext|>
43,13,0.703125,13,.
42,14,1.0,3202,Ġrequest
44,15,1.0,126348,<|eot_id|>
48,16,1.0,126081,<|endoftext|>
49,17,1.0,126081,<|endoftext|>
50,18,1.0,126081,<|endoftext|>
51,19,1.0,126081,<|endoftext|>
52,20,1.0,126081,<|endoftext|>
53,21,1.0,126081,<|endoftext|>
54,22,1.0,126081,<|endoftext|>
55,23,1.0,126081,<|endoftext|>
56,24,1.0,126081,<|endoftext|>
57,25,1.0,126081,<|endoftext|>
58,26,1.0,126081,<|endoftext|>
59,27,1.0,126081,<|endoftext|>
60,28,1.0,126081,<|endoftext|>
61,29,1.0,126081,<|endoftext|>
62,30,1.0,126081,<|endoftext|>
63,31,1.0,126081,<|endoftext|>
64,32,1.0,126081,<|endoftext|>
65,33,1.0,126081,<|endoftext|>
66,34,1.0,126081,<|endoftext|>
67,35,1.0,126081,<|endoftext|>
68,36,1.0,126081,<|endoftext|>
69,37,1.0,126081,<|endoftext|>
70,38,1.0,126081,<|endoftext|>
71,39,1.0,126081,<|endoftext|>
72,40,1.0,126081,<|endoftext|>
73,41,1.0,126081,<|endoftext|>
74,42,1.0,126081,<|endoftext|>
75,43,1.0,126081,<|endoftext|>
76,44,1.0,126081,<|endoftext|>
77,45,1.0,126081,<|endoftext|>
78,46,1.0,126081,<|endoftext|>
79,47,1.0,126081,<|endoftext|>
80,48,1.0,126081,<|endoftext|>
81,49,1.0,126081,<|endoftext|>
82,50,1.0,126081,<|endoftext|>
83,51,1.0,126081,<|endoftext|>
84,52,1.0,126081,<|endoftext|>
85,53,1.0,126081,<|endoftext|>
86,54,1.0,126081,<|endoftext|>
87,55,1.0,126081,<|endoftext|>
88,56,1.0,126081,<|endoftext|>
89,57,1.0,126081,<|endoftext|>
90,58,1.0,126081,<|endoftext|>
91,59,1.0,126081,<|endoftext|>
92,60,1.0,126081,<|endoftext|>
93,61,1.0,126081,<|endoftext|>
94,62,1.0,126081,<|endoftext|>
95,63,1.0,126081,<|endoftext|>
