pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.283203125,25857,Subject
40,1,0.81640625,25,:
44,2,0.318359375,198,Ċ
46,3,0.69921875,25,:
42,4,0.44140625,77617,ĠDoe
41,5,0.8671875,4137,ĠJohn
43,6,0.8671875,198,Ċ
45,7,0.2158203125,1831,Type
49,8,0.7109375,198,Ċ
51,9,0.71875,25,:
48,10,0.99609375,198,Ċ
53,11,0.5234375,77617,ĠDoe
52,12,0.99609375,4137,ĠJohn
50,13,0.419921875,9429,Description
54,14,0.423828125,698,'s
47,15,0.3203125,37032,ĠUnknown
55,16,0.609375,25530,Ġconsciousness
56,17,0.5546875,723,Ġhas
58,18,0.82421875,34481,Ġuploaded
57,19,0.9609375,1007,Ġbeen
60,20,0.90234375,268,Ġthe
59,21,0.84765625,1119,Ġinto
62,22,0.62890625,300,Ġof
61,23,0.77734375,8296,Ġlibrary
63,24,0.99609375,3738,Ġhuman
64,25,0.9921875,8400,Ġexperiences
65,26,0.5234375,13,.
67,27,0.671875,11,","
66,28,0.984375,3260,ĠHowever
68,29,0.71875,464,Ġhe
69,30,0.62890625,723,Ġhas
70,31,0.2333984375,20600,Ġrefused
71,32,0.984375,297,Ġto
72,33,0.9609375,367,Ġbe
73,34,0.96875,19075,Ġcatalog
74,35,0.99609375,286,ed
75,36,0.375,13,.
76,37,0.36328125,5219,ĠHis
77,38,0.1708984375,9737,Ġidentity
78,39,0.4453125,301,Ġand
80,40,0.5703125,4206,Ġremain
82,41,0.337890625,13,.
81,42,0.4921875,12398,Ġunknown
84,43,0.369140625,198,Ċ
83,44,0.96484375,198,Ċ
86,45,0.78125,25,:
79,46,0.28125,8400,Ġexperiences
85,47,0.236328125,6223,Status
90,48,0.345703125,198,Ċ
92,49,0.6171875,25,:
89,50,0.99609375,198,Ċ
87,51,0.69921875,1439,ĠUn
94,52,0.26171875,77617,ĠDoe
93,53,0.9921875,4137,ĠJohn
91,54,0.423828125,11276,Note
88,55,0.197265625,58531,processed
102,56,0.9921875,126081,<|endoftext|>
101,57,0.9921875,126348,<|eot_id|>
100,58,0.9765625,13,.
95,59,0.76171875,698,'s
96,60,0.314453125,9737,Ġidentity
98,61,0.435546875,259,Ġa
99,62,0.87109375,22299,Ġmystery
97,63,0.98046875,8948,Ġremains
