pos,step_decoded,conf_decoded,token_id,token_str
29,0,0.80078125,846,In
31,1,0.90625,1931,Ġworld
32,2,0.875,1387,Ġwhere
34,3,0.9765625,341,Ġis
33,4,0.9765625,33554,Ġkindness
35,5,0.98046875,268,Ġthe
36,6,0.984375,1191,Ġonly
30,7,0.95703125,259,Ġa
37,8,1.0,16537,Ġcurrency
38,9,0.99609375,11,","
39,10,0.94921875,21465,Ġpoverty
40,11,0.76171875,1017,Ġwould
41,12,0.55078125,367,Ġbe
42,13,0.392578125,259,Ġa
44,14,0.470703125,300,Ġof
43,15,0.42578125,6446,Ġlack
45,16,0.322265625,33554,Ġkindness
46,17,0.466796875,13,.
48,18,0.55078125,1017,Ġwould
47,19,0.75390625,963,ĠIt
49,20,0.431640625,367,Ġbe
50,21,0.453125,268,Ġthe
51,22,0.7578125,15353,Ġabsence
52,23,0.96484375,300,Ġof
54,24,0.5703125,11,","
56,25,0.8359375,11,","
57,26,0.77734375,301,Ġand
53,27,0.45703125,22558,Ġcompassion
55,28,0.7265625,37887,Ġempathy
60,29,0.345703125,3507,Ġothers
59,30,0.79296875,6317,Ġtowards
58,31,0.359375,56407,Ġgenerosity
61,32,0.93359375,13,.
63,33,0.283203125,1017,Ġwould
62,34,0.69921875,80888,ĠPoverty
64,35,0.36328125,367,Ġbe
65,36,0.40234375,268,Ġthe
67,37,0.400390625,300,Ġof
66,38,0.2333984375,15353,Ġabsence
68,39,0.18359375,33554,Ġkindness
69,40,0.4765625,11,","
70,41,0.412109375,301,Ġand
72,42,0.40625,1017,Ġwould
71,43,0.93359375,403,Ġit
73,44,0.59375,367,Ġbe
74,45,0.3828125,259,Ġa
75,46,0.419921875,1856,Ġstate
76,47,0.90625,300,Ġof
77,48,0.34765625,1775,Ġbeing
78,49,0.55078125,378,Ġthat
79,50,0.236328125,341,Ġis
80,51,0.2734375,526,Ġnot
82,52,0.2578125,527,Ġby
81,53,0.6484375,11361,Ġmeasured
83,54,0.44921875,3418,Ġmaterial
84,55,0.515625,12897,Ġwealth
92,56,0.97265625,126081,<|endoftext|>
91,57,0.8359375,126348,<|eot_id|>
90,58,1.0,13,.
86,59,0.408203125,731,Ġbut
85,60,1.0,11,","
87,61,0.8203125,527,Ġby
88,62,0.54296875,12282,Ġemotional
89,63,0.4921875,12897,Ġwealth
