pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.55078125,20227,Ġconcert
36,1,0.921875,1218,Ġfirst
35,2,0.984375,678,The
38,3,0.373046875,300,Ġof
39,4,0.78125,268,Ġthe
41,5,0.478515625,13696,Ġinstrument
40,6,0.56640625,782,Ġnew
42,7,0.28515625,529,Ġwas
43,8,0.59765625,259,Ġa
44,9,0.2275390625,82906,Ġhaunting
46,10,0.67578125,5071,Ġbeautiful
45,11,0.9140625,360,ly
47,12,0.310546875,2526,Ġexperience
48,13,0.60546875,13,.
49,14,0.271484375,1965,ĠAs
50,15,0.63671875,268,Ġthe
52,16,0.53515625,7372,Ġplayed
51,17,0.828125,36312,Ġmusician
53,18,0.69921875,11,","
54,19,0.5546875,268,Ġthe
55,20,0.5234375,9506,Ġaudience
56,21,0.3828125,6561,Ġfelt
57,22,0.416015625,259,Ġa
58,23,0.36328125,5459,Ġdeep
59,24,0.69140625,5209,Ġsense
60,25,1.0,300,Ġof
62,26,0.39453125,11,","
64,27,0.478515625,624,Ġif
63,28,1.0,409,Ġas
61,29,0.6796875,6269,Ġconnection
65,30,0.419921875,268,Ġthe
66,31,0.4375,4191,Ġmusic
68,32,0.48046875,12350,Ġspeaking
67,33,0.9375,529,Ġwas
69,34,0.91796875,5727,Ġdirectly
70,35,0.984375,297,Ġto
71,36,0.85546875,802,Ġtheir
72,37,0.4765625,19973,Ġhearts
73,38,0.93359375,13,.
74,39,0.53515625,468,ĠThe
76,40,0.25390625,529,Ġwas
75,41,0.451171875,15417,Ġatmosphere
78,42,0.51171875,391,Ġwith
77,43,0.8671875,10604,Ġfilled
79,44,0.408203125,259,Ġa
81,45,0.421875,300,Ġof
80,46,0.828125,5209,Ġsense
82,47,0.10595703125,72167,Ġlonging
83,48,0.875,301,Ġand
85,49,0.8359375,11,","
86,50,0.4375,409,Ġas
87,51,0.373046875,268,Ġthe
88,52,0.447265625,13696,Ġinstrument
90,53,0.3046875,268,Ġthe
89,54,0.384765625,20443,Ġcaptured
84,55,0.1728515625,122681,Ġintrospection
98,56,1.0,126081,<|endoftext|>
96,57,0.9140625,13,.
97,58,1.0,126348,<|eot_id|>
92,59,0.44140625,300,Ġof
91,60,0.76953125,27472,Ġessence
93,61,0.427734375,65836,Ġloneliness
94,62,0.54296875,301,Ġand
95,63,0.32421875,26764,Ġisolation
