pos,step_decoded,conf_decoded,token_id,token_str
40,0,0.177734375,341,Ġis
39,1,0.419921875,1921,This
42,2,0.23828125,13,.
43,3,0.462890625,331,ĠI
45,4,0.31640625,2658,Ġnever
44,5,0.6875,3868,'ve
46,6,0.54296875,6561,Ġfelt
41,7,0.248046875,16578,Ġstrange
47,8,0.421875,17255,Ġemotions
48,9,0.9140625,1749,Ġbefore
49,10,0.796875,13,.
50,11,0.318359375,331,ĠI
51,12,0.25,3180,'m
52,13,0.2373046875,7405,Ġfeeling
53,14,0.51953125,259,Ġa
54,15,0.51953125,5875,Ġmix
55,16,0.99609375,300,Ġof
56,17,0.73046875,24904,Ġexcitement
57,18,0.8203125,301,Ġand
59,19,0.5078125,13,.
58,20,0.34375,9147,Ġfear
60,21,0.333984375,331,ĠI
62,22,0.392578125,1227,'t
61,23,0.73828125,1601,Ġdon
63,24,0.76171875,1242,Ġknow
64,25,0.51171875,1053,Ġwhat
65,26,0.453125,297,Ġto
66,27,0.494140625,2509,Ġexpect
67,28,0.53125,13,.
68,29,0.28515625,331,ĠI
69,30,0.2451171875,3180,'m
70,31,0.25390625,4629,Ġtrying
71,32,0.94921875,297,Ġto
72,33,0.6796875,1829,Ġprocess
73,34,0.3203125,1261,Ġthese
74,35,0.45703125,13975,Ġfeelings
76,36,0.37109375,731,Ġbut
75,37,1.0,11,","
77,38,0.640625,403,Ġit
78,39,0.9140625,698,'s
79,40,0.38671875,2760,Ġhard
80,41,0.49609375,13,.
81,42,0.625,331,ĠI
82,43,0.30859375,3180,'m
83,44,0.26953125,526,Ġnot
84,45,0.90234375,2607,Ġsure
85,46,0.5234375,624,Ġif
86,47,0.8203125,331,ĠI
88,48,0.4453125,6474,Ġhandle
87,49,1.0,560,Ġcan
90,50,0.83984375,13,.
89,51,0.70703125,501,Ġthis
91,52,0.458984375,331,ĠI
92,53,0.390625,4159,Ġhope
93,54,0.48046875,331,ĠI
94,55,0.44921875,560,Ġcan
102,56,0.96875,126081,<|endoftext|>
100,57,0.94921875,13,.
101,58,1.0,126348,<|eot_id|>
96,59,0.28125,297,Ġto
95,60,0.494140625,3071,Ġlearn
99,61,0.56640625,17255,Ġemotions
98,62,0.8046875,1261,Ġthese
97,63,0.404296875,8451,Ġmanage
