pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.55078125,27617,Dear
37,1,0.5234375,11,","
38,2,0.484375,198,Ċ
39,3,0.50390625,198,Ċ
40,4,0.55078125,40,I
41,5,0.2890625,561,Ġhave
42,6,0.2451171875,11271,Ġdiscovered
36,7,0.228515625,31530,ĠReader
43,8,0.546875,259,Ġa
45,9,0.70703125,2295,Ġlanguage
44,10,0.875,25149,Ġforgotten
46,11,0.765625,378,Ġthat
49,12,0.55078125,297,Ġto
48,13,0.91796875,1316,Ġback
47,14,0.8828125,24020,Ġspeaks
50,15,0.41015625,44793,Ġwhoever
51,16,0.98046875,5545,Ġstudies
52,17,0.99609375,403,Ġit
53,18,0.9609375,13,.
54,19,0.21875,331,ĠI
55,20,0.220703125,4159,Ġhope
56,21,0.474609375,362,Ġyou
58,22,0.345703125,1491,Ġfind
57,23,0.6171875,627,Ġwill
59,24,0.390625,501,Ġthis
62,25,0.294921875,301,Ġand
60,26,0.451171875,16920,Ġdiscovery
61,27,0.40234375,23452,Ġfascinating
64,28,0.1669921875,13,.
63,29,0.4140625,109211,Ġenlightening
65,30,0.1923828125,331,ĠI
66,31,0.30078125,561,Ġhave
67,32,0.49609375,2914,Ġleft
68,33,0.259765625,259,Ġa
69,34,0.361328125,2351,Ġfew
71,35,0.2294921875,301,Ġand
70,36,0.4140625,10244,Ġnotes
73,37,0.25390625,297,Ġto
74,38,0.51953125,1376,Ġhelp
72,39,0.259765625,5677,Ġresources
75,40,0.90234375,362,Ġyou
78,41,0.421875,8510,Ġjourney
77,42,0.953125,563,Ġyour
79,43,0.6171875,13,.
76,44,0.546875,366,Ġon
80,45,0.2490234375,198,Ċ
81,46,0.98046875,198,Ċ
82,47,0.2197265625,34290,Until
83,48,0.5234375,438,Ġwe
85,49,0.9296875,1750,Ġagain
84,50,0.984375,3279,Ġmeet
86,51,0.79296875,11,","
87,52,0.53515625,198,Ċ
88,53,0.609375,198,Ċ
89,54,0.353515625,58,[
90,55,0.3515625,6943,Your
98,56,0.99609375,126081,<|endoftext|>
91,57,0.84375,8393,ĠName
92,58,0.93359375,60,]
93,59,0.96875,126348,<|eot_id|>
94,60,1.0,126081,<|endoftext|>
95,61,1.0,126081,<|endoftext|>
96,62,1.0,126081,<|endoftext|>
97,63,1.0,126081,<|endoftext|>
