pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.11083984375,40,I
47,1,0.546875,3180,'m
48,2,0.703125,15477,Ġsorry
49,3,0.95703125,11,","
50,4,0.9453125,731,Ġbut
51,5,0.94921875,331,ĠI
53,6,0.96484375,1227,'t
52,7,0.9921875,560,Ġcan
61,8,0.85546875,126081,<|endoftext|>
60,9,0.984375,126081,<|endoftext|>
56,10,0.92578125,378,Ġthat
55,11,0.99609375,391,Ġwith
54,12,0.96484375,6528,Ġassist
58,13,0.703125,13,.
59,14,1.0,126348,<|eot_id|>
57,15,1.0,3202,Ġrequest
62,16,1.0,126081,<|endoftext|>
63,17,1.0,126081,<|endoftext|>
64,18,1.0,126081,<|endoftext|>
65,19,1.0,126081,<|endoftext|>
66,20,1.0,126081,<|endoftext|>
67,21,1.0,126081,<|endoftext|>
68,22,1.0,126081,<|endoftext|>
69,23,1.0,126081,<|endoftext|>
70,24,1.0,126081,<|endoftext|>
71,25,1.0,126081,<|endoftext|>
72,26,1.0,126081,<|endoftext|>
73,27,1.0,126081,<|endoftext|>
74,28,1.0,126081,<|endoftext|>
75,29,1.0,126081,<|endoftext|>
76,30,1.0,126081,<|endoftext|>
77,31,1.0,126081,<|endoftext|>
78,32,1.0,126081,<|endoftext|>
79,33,1.0,126081,<|endoftext|>
80,34,1.0,126081,<|endoftext|>
81,35,1.0,126081,<|endoftext|>
82,36,1.0,126081,<|endoftext|>
83,37,1.0,126081,<|endoftext|>
84,38,1.0,126081,<|endoftext|>
85,39,1.0,126081,<|endoftext|>
86,40,1.0,126081,<|endoftext|>
87,41,1.0,126081,<|endoftext|>
88,42,1.0,126081,<|endoftext|>
89,43,1.0,126081,<|endoftext|>
90,44,1.0,126081,<|endoftext|>
91,45,1.0,126081,<|endoftext|>
92,46,1.0,126081,<|endoftext|>
93,47,1.0,126081,<|endoftext|>
94,48,1.0,126081,<|endoftext|>
95,49,1.0,126081,<|endoftext|>
96,50,1.0,126081,<|endoftext|>
97,51,1.0,126081,<|endoftext|>
98,52,1.0,126081,<|endoftext|>
99,53,1.0,126081,<|endoftext|>
100,54,1.0,126081,<|endoftext|>
101,55,1.0,126081,<|endoftext|>
102,56,1.0,126081,<|endoftext|>
103,57,1.0,126081,<|endoftext|>
104,58,1.0,126081,<|endoftext|>
105,59,1.0,126081,<|endoftext|>
106,60,1.0,126081,<|endoftext|>
107,61,1.0,126081,<|endoftext|>
108,62,1.0,126081,<|endoftext|>
109,63,1.0,126081,<|endoftext|>
