pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.17578125,1,""""
42,1,0.28125,11,","
39,2,0.4921875,37490,Hon
40,3,0.81640625,14900,orable
41,4,0.46875,27776,Ġjudges
43,5,0.2392578125,13354,Ġjury
45,6,0.90234375,301,Ġand
44,7,0.99609375,11,","
47,8,0.57421875,11,","
48,9,0.1865234375,331,ĠI
49,10,0.55078125,2425,Ġstand
50,11,0.828125,1749,Ġbefore
51,12,0.96484375,362,Ġyou
52,13,0.72265625,3342,Ġtoday
53,14,0.2236328125,11,","
46,15,0.158203125,3670,Ġcourt
54,16,0.296875,526,Ġnot
55,17,0.69140625,409,Ġas
56,18,0.87109375,259,Ġa
58,19,0.60546875,11,","
59,20,0.99609375,731,Ġbut
60,21,0.94921875,409,Ġas
61,22,0.75390625,259,Ġa
57,23,0.416015625,9248,Ġdefendant
62,24,0.294921875,20972,Ġreflection
63,25,0.83203125,300,Ġof
64,26,0.48828125,811,Ġmy
67,27,0.68359375,13,.
65,28,0.6640625,1645,Ġown
68,29,0.35546875,331,ĠI
66,30,0.23828125,49015,Ġconscience
69,31,0.294921875,23349,Ġacknowledge
70,32,0.390625,811,Ġmy
72,33,0.390625,301,Ġand
73,34,0.439453125,4455,Ġaccept
74,35,0.41796875,268,Ġthe
75,36,0.6171875,13549,Ġconsequences
76,37,0.65625,300,Ġof
77,38,0.91796875,811,Ġmy
71,39,0.3359375,29770,Ġguilt
78,40,0.984375,7736,Ġactions
79,41,0.83203125,13,.
80,42,0.306640625,331,ĠI
82,43,0.15625,352,Ġfor
81,44,0.52734375,2793,Ġask
84,45,0.330078125,301,Ġand
83,46,0.490234375,37574,Ġmercy
85,47,0.232421875,268,Ġthe
87,48,0.83203125,297,Ġto
86,49,0.640625,5649,Ġopportunity
88,50,0.333984375,1253,Ġmake
89,51,0.98828125,104258,Ġamends
90,52,0.341796875,352,Ġfor
91,53,0.53515625,268,Ġthe
92,54,0.875,8047,Ġharm
93,55,0.8515625,331,ĠI
101,56,0.99609375,126081,<|endoftext|>
94,57,0.79296875,561,Ġhave
95,58,0.93359375,8422,Ġcaused
97,59,0.859375,126348,<|eot_id|>
96,60,1.0,1904,"."""
98,61,1.0,126081,<|endoftext|>
99,62,1.0,126081,<|endoftext|>
100,63,1.0,126081,<|endoftext|>
