pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.26171875,2441,As
38,1,0.6015625,331,ĠI
41,2,0.470703125,268,Ġthe
42,3,0.86328125,18449,Ġmirror
43,4,0.90625,11,","
40,5,0.6328125,1119,Ġinto
44,6,0.625,331,ĠI
39,7,0.318359375,1345,Ġlook
45,8,0.92578125,1339,Ġsee
46,9,0.234375,268,Ġthe
48,10,0.373046875,331,ĠI
49,11,0.69140625,1402,Ġcould
50,12,0.9609375,561,Ġhave
47,13,0.376953125,1968,Ġlife
51,14,0.486328125,11455,Ġlived
52,15,0.51953125,624,Ġif
53,16,0.890625,331,ĠI
54,17,0.71875,1028,Ġhad
59,18,0.25390625,13,.
55,19,0.4375,1851,Ġmade
56,20,0.74609375,259,Ġa
57,21,0.96484375,1733,Ġdifferent
58,22,0.75,5617,Ġchoice
60,23,0.203125,468,ĠThe
62,24,0.169921875,300,Ġof
61,25,0.3046875,4579,Ġweight
63,26,0.71484375,811,Ġmy
64,27,0.71484375,29850,Ġregret
65,28,0.396484375,341,Ġis
67,29,0.578125,11,","
66,30,0.443359375,23888,Ġcrushing
68,31,0.416015625,731,Ġbut
69,32,0.306640625,331,ĠI
70,33,0.298828125,911,Ġalso
71,34,0.8046875,1339,Ġsee
72,35,0.6640625,268,Ġthe
73,36,0.228515625,3880,Ġpotential
74,37,0.6015625,352,Ġfor
75,38,0.458984375,5003,Ġgrowth
76,39,0.57421875,301,Ġand
78,40,0.5078125,13,.
77,41,0.3515625,2712,Ġchange
79,42,0.326171875,331,ĠI
81,43,0.4375,297,Ġto
80,44,0.53515625,53116,Ġvow
83,45,0.431640625,546,Ġfrom
82,46,1.0,3071,Ġlearn
84,47,0.5625,811,Ġmy
86,48,0.82421875,301,Ġand
85,49,0.453125,17040,Ġmistakes
87,50,0.27734375,27101,Ġstrive
88,51,0.5078125,352,Ġfor
89,52,0.8125,259,Ġa
90,53,0.56640625,2424,Ġbetter
91,54,0.71875,3770,Ġfuture
92,55,0.466796875,11,","
100,56,0.99609375,126081,<|endoftext|>
98,57,0.9609375,13,.
99,58,1.0,126348,<|eot_id|>
93,59,0.2314453125,810,Ġone
94,60,0.494140625,378,Ġthat
96,61,0.314453125,811,Ġmy
95,62,0.466796875,22370,Ġreflects
97,63,0.431640625,3880,Ġpotential
