pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.138671875,300,Ġof
27,1,0.90625,73402,ophobia
30,2,0.9921875,9147,Ġfear
29,3,0.64453125,268,Ġthe
28,4,0.2734375,25,:
32,5,0.1083984375,268,Ġthe
25,6,0.07275390625,57,Z
26,7,0.15625,25605,yg
34,8,0.1943359375,300,Ġof
33,9,0.2021484375,5470,Ġsound
35,10,0.16015625,259,Ġa
39,11,0.10595703125,13,.
40,12,0.2158203125,1077,ĠThis
37,13,0.1298828125,698,'s
36,14,0.1376953125,7339,Ġdog
38,15,0.34375,98028,Ġbarking
41,16,0.859375,1303,Ġph
42,17,1.0,47413,obia
43,18,0.255859375,341,Ġis
45,19,0.1630859375,1521,Ġbecause
44,20,0.4296875,32569,Ġridiculous
46,21,0.388671875,11854,Ġdogs
47,22,0.5390625,53292,Ġbark
48,23,0.2578125,11,","
49,24,0.451171875,731,Ġbut
50,25,0.625,403,Ġit
53,26,0.392578125,5209,Ġsense
52,27,0.6875,3524,Ġmakes
51,28,0.921875,57855,Ġsecretly
54,29,0.77734375,1521,Ġbecause
56,30,0.40234375,1255,Ġpeople
55,31,0.796875,971,Ġsome
57,32,0.408203125,2450,Ġmight
58,33,0.306640625,367,Ġbe
61,34,0.369140625,268,Ġthe
60,35,0.4140625,297,Ġto
59,36,0.8984375,14111,Ġsensitive
62,37,0.625,5470,Ġsound
63,38,0.478515625,300,Ġof
64,39,0.37890625,259,Ġa
65,40,0.94921875,7339,Ġdog
66,41,0.8515625,698,'s
67,42,0.5859375,98028,Ġbarking
68,43,0.314453125,11,","
69,44,0.427734375,4766,Ġespecially
70,45,0.83203125,624,Ġif
71,46,0.5625,792,Ġthey
72,47,0.61328125,561,Ġhave
73,48,0.482421875,259,Ġa
75,49,0.251953125,2526,Ġexperience
76,50,0.80859375,391,Ġwith
78,51,0.55859375,453,Ġor
77,52,0.8984375,11854,Ġdogs
74,53,0.51953125,4538,Ġbad
79,54,0.47265625,624,Ġif
80,55,0.84375,792,Ġthey
88,56,0.984375,126081,<|endoftext|>
86,57,0.9765625,13,.
87,58,1.0,126348,<|eot_id|>
85,59,0.703125,59593,Ġnoises
84,60,0.9921875,18898,Ġloud
81,61,0.86328125,449,Ġare
82,62,0.55078125,14111,Ġsensitive
83,63,1.0,297,Ġto
