pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.5078125,17076,ĠFuture
33,1,1.0,13250,ĠMuseum
34,2,1.0,300,Ġof
32,3,0.99609375,678,The
36,4,0.99609375,94823,ĠMistakes
37,5,0.70703125,341,Ġis
38,6,0.6171875,259,Ġa
39,7,0.291015625,2242,Ġplace
40,8,0.73046875,1387,Ġwhere
42,9,0.380859375,560,Ġcan
43,10,0.36328125,10982,Ġwitness
44,11,0.62109375,268,Ġthe
41,12,0.4453125,9256,Ġvisitors
47,13,0.265625,300,Ġof
46,14,0.47265625,13549,Ġconsequences
45,15,0.2412109375,3880,Ġpotential
49,16,0.34765625,7736,Ġactions
48,17,0.490234375,802,Ġtheir
50,18,0.279296875,13,.
51,19,0.2890625,8620,ĠEach
52,20,0.9453125,21908,Ġexhibit
54,21,0.5625,259,Ġa
53,22,0.255859375,10904,Ġrepresents
55,23,0.470703125,21347,Ġdisaster
56,24,0.7109375,378,Ġthat
59,25,0.42578125,3950,Ġyet
60,26,0.7421875,12537,Ġoccurred
61,27,0.78515625,11,","
57,28,0.6484375,723,Ġhas
58,29,0.99609375,526,Ġnot
63,30,0.173828125,268,Ġthe
62,31,0.19921875,301,Ġand
64,32,0.3359375,17081,Ġmuseum
66,33,0.43359375,409,Ġas
65,34,0.98828125,14314,Ġserves
67,35,0.98828125,259,Ġa
69,36,0.482421875,710,ary
68,37,0.99609375,31975,Ġcaution
70,38,0.640625,26598,Ġtale
71,39,0.259765625,13,.
72,40,0.23046875,53184,ĠVisitors
73,41,0.373046875,560,Ġcan
74,42,0.44140625,3071,Ġlearn
75,43,0.8359375,546,Ġfrom
76,44,0.58203125,1261,Ġthese
78,45,0.404296875,17040,Ġmistakes
77,46,0.640625,3770,Ġfuture
79,47,0.515625,301,Ġand
80,48,0.2431640625,1253,Ġmake
81,49,0.51953125,2424,Ġbetter
83,50,0.63671875,296,Ġin
85,51,0.96875,2549,Ġpresent
84,52,0.97265625,268,Ġthe
82,53,0.59375,9037,Ġdecisions
86,54,0.5703125,297,Ġto
87,55,0.73046875,5301,Ġprevent
95,56,1.0,126081,<|endoftext|>
93,57,0.95703125,13,.
94,58,1.0,126348,<|eot_id|>
89,59,0.486328125,45863,Ġdisasters
90,60,0.7890625,546,Ġfrom
92,61,0.578125,13377,Ġhappening
91,62,0.61328125,3688,Ġever
88,63,0.322265625,1261,Ġthese
