pos,step_decoded,conf_decoded,token_id,token_str
44,0,0.703125,23224,Ġvisitor
43,1,0.61328125,678,The
45,2,0.5546875,14212,Ġstands
46,3,0.412109375,1749,Ġbefore
47,4,0.88671875,268,Ġthe
48,5,0.62890625,15187,Ġpainting
49,6,0.55078125,11,","
50,7,0.302734375,802,Ġtheir
51,8,0.53515625,6405,Ġeyes
52,9,0.6328125,6376,Ġwide
53,10,0.77734375,391,Ġwith
55,11,0.375,13,.
56,12,0.79296875,2240,ĠThey
54,13,0.359375,35038,Ġcuriosity
57,14,0.11279296875,1801,Ġtake
58,15,0.64453125,296,Ġin
59,16,0.90625,268,Ġthe
61,17,0.27734375,4476,Ġdetails
60,18,0.9375,50262,Ġintricate
63,19,0.466796875,268,Ġthe
62,20,0.83984375,300,Ġof
65,21,0.3515625,11,","
64,22,0.609375,9432,Ġscene
66,23,0.1708984375,4629,Ġtrying
67,24,1.0,297,Ġto
69,25,0.46875,268,Ġthe
68,26,0.349609375,12834,Ġimagine
70,27,0.359375,1931,Ġworld
72,28,0.265625,21924,ĠRome
71,29,0.78125,1387,Ġwhere
73,30,0.69921875,2658,Ġnever
74,31,0.796875,12643,Ġfell
75,32,0.89453125,13,.
76,33,0.267578125,468,ĠThe
77,34,0.4453125,23224,Ġvisitor
78,35,0.267578125,698,'s
80,36,0.42578125,341,Ġis
82,37,0.392578125,391,Ġwith
81,38,0.60546875,10604,Ġfilled
79,39,0.578125,6127,Ġexpression
84,40,0.51953125,5875,Ġmix
83,41,1.0,259,Ġa
85,42,1.0,300,Ġof
87,43,0.86328125,301,Ġand
89,44,0.80859375,11,","
90,45,0.703125,409,Ġas
88,46,0.4296875,111209,Ġcontemplation
86,47,0.390625,5622,Ġwonder
91,48,0.828125,792,Ġthey
92,49,0.79296875,72958,Ġponder
93,50,0.890625,268,Ġthe
95,51,0.5,300,Ġof
94,52,0.6015625,17074,Ġimplications
97,53,0.416015625,2258,Ġsmall
98,54,0.8515625,5181,Ġdecision
96,55,0.58203125,810,Ġone
106,56,1.0,126081,<|endoftext|>
104,57,0.9921875,13,.
105,58,1.0,126348,<|eot_id|>
101,59,0.97265625,2949,Ġcourse
100,60,1.0,268,Ġthe
102,61,1.0,300,Ġof
103,62,1.0,4352,Ġhistory
99,63,0.54296875,9438,Ġchanging
