pos,step_decoded,conf_decoded,token_id,token_str
30,0,0.53125,678,The
32,1,0.625,341,Ġis
33,2,0.76953125,378,Ġthat
31,3,0.96484375,16219,Ġexplanation
35,4,0.4609375,8485,Ġphoto
34,5,0.98828125,268,Ġthe
36,6,0.609375,529,Ġwas
37,7,0.62109375,4657,Ġtaken
39,8,0.2490234375,362,Ġyou
38,9,0.50390625,1749,Ġbefore
41,10,0.271484375,296,Ġin
42,11,0.578125,403,Ġit
40,12,0.80859375,11422,Ġappeared
43,13,0.70703125,13,.
45,14,0.3828125,126081,<|endoftext|>
44,15,1.0,126348,<|eot_id|>
46,16,1.0,126081,<|endoftext|>
47,17,1.0,126081,<|endoftext|>
48,18,1.0,126081,<|endoftext|>
49,19,1.0,126081,<|endoftext|>
50,20,1.0,126081,<|endoftext|>
51,21,1.0,126081,<|endoftext|>
52,22,1.0,126081,<|endoftext|>
53,23,1.0,126081,<|endoftext|>
54,24,1.0,126081,<|endoftext|>
55,25,1.0,126081,<|endoftext|>
56,26,1.0,126081,<|endoftext|>
57,27,1.0,126081,<|endoftext|>
58,28,1.0,126081,<|endoftext|>
59,29,1.0,126081,<|endoftext|>
60,30,1.0,126081,<|endoftext|>
61,31,1.0,126081,<|endoftext|>
62,32,1.0,126081,<|endoftext|>
63,33,1.0,126081,<|endoftext|>
64,34,1.0,126081,<|endoftext|>
65,35,1.0,126081,<|endoftext|>
66,36,1.0,126081,<|endoftext|>
67,37,1.0,126081,<|endoftext|>
68,38,1.0,126081,<|endoftext|>
69,39,1.0,126081,<|endoftext|>
70,40,1.0,126081,<|endoftext|>
71,41,1.0,126081,<|endoftext|>
72,42,1.0,126081,<|endoftext|>
73,43,1.0,126081,<|endoftext|>
74,44,1.0,126081,<|endoftext|>
75,45,1.0,126081,<|endoftext|>
76,46,1.0,126081,<|endoftext|>
77,47,1.0,126081,<|endoftext|>
78,48,1.0,126081,<|endoftext|>
79,49,1.0,126081,<|endoftext|>
80,50,1.0,126081,<|endoftext|>
81,51,1.0,126081,<|endoftext|>
82,52,1.0,126081,<|endoftext|>
83,53,1.0,126081,<|endoftext|>
84,54,1.0,126081,<|endoftext|>
85,55,1.0,126081,<|endoftext|>
86,56,1.0,126081,<|endoftext|>
87,57,1.0,126081,<|endoftext|>
88,58,1.0,126081,<|endoftext|>
89,59,1.0,126081,<|endoftext|>
90,60,1.0,126081,<|endoftext|>
91,61,1.0,126081,<|endoftext|>
92,62,1.0,126081,<|endoftext|>
93,63,1.0,126081,<|endoftext|>
