pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.439453125,1325,Ġmost
31,1,0.99609375,678,The
33,2,0.98828125,11988,Ġvaluable
34,3,0.83984375,6306,Ġmemory
35,4,0.47265625,1017,Ġwould
36,5,0.71484375,367,Ġbe
37,6,0.451171875,268,Ġthe
38,7,0.2314453125,810,Ġone
39,8,0.65625,378,Ġthat
41,9,0.1650390625,268,Ġthe
40,10,0.373046875,11005,Ġholds
42,11,0.341796875,53327,Ġdeepest
43,12,0.52734375,12282,Ġemotional
44,13,0.298828125,301,Ġand
46,14,0.64453125,18350,Ġsignificance
45,15,0.76171875,3379,Ġpersonal
47,16,0.47265625,13,.
49,17,0.58203125,1402,Ġcould
50,18,0.9453125,367,Ġbe
51,19,0.7421875,259,Ġa
48,20,0.5625,963,ĠIt
52,21,0.34375,5104,Ġmoment
53,22,0.73828125,300,Ġof
54,23,0.203125,1612,Ġgreat
56,24,0.83203125,11,","
55,25,0.6171875,12916,Ġjoy
58,26,0.515625,11,","
59,27,0.5390625,453,Ġor
61,28,0.30859375,11,","
62,29,0.486328125,453,Ġor
57,30,0.412109375,2318,Ġlove
60,31,0.181640625,43741,Ġtriumph
64,32,0.69140625,259,Ġa
63,33,0.7109375,1501,Ġeven
66,34,0.259765625,300,Ġof
65,35,0.51171875,5104,Ġmoment
67,36,0.515625,26388,Ġprofound
69,37,0.39453125,301,Ġand
70,38,0.482421875,1346,Ġself
68,39,0.421875,122681,Ġintrospection
72,40,0.9375,13,.
71,41,0.6953125,60152,-discovery
74,42,0.2578125,16919,Ġmemories
73,43,0.91796875,3237,ĠThese
75,44,0.302734375,449,Ġare
76,45,0.4921875,3327,Ġoften
77,46,0.39453125,268,Ġthe
78,47,0.52734375,1325,Ġmost
80,48,0.73046875,301,Ġand
79,49,0.494140625,76697,Ġcherished
82,50,0.30859375,11,","
84,51,0.72265625,989,Ġthem
83,52,1.0,3099,Ġmaking
85,53,0.8515625,268,Ġthe
86,54,0.953125,1325,Ġmost
81,55,0.1904296875,18707,Ġmeaningful
94,56,1.0,126081,<|endoftext|>
87,57,0.9609375,11988,Ġvaluable
93,58,0.953125,126348,<|eot_id|>
92,59,0.99609375,13,.
88,60,0.61328125,296,Ġin
89,61,0.4765625,259,Ġa
90,62,0.52734375,6306,Ġmemory
91,63,0.419921875,9400,Ġeconomy
