pos,step_decoded,conf_decoded,token_id,token_str
40,0,0.076171875,1666,It
41,1,0.39453125,698,'s
43,2,0.29296875,297,Ġto
42,3,0.2578125,13002,Ġimpossible
45,4,0.169921875,268,Ġthe
47,5,0.365234375,300,Ġof
44,6,0.1826171875,6935,Ġpredict
46,7,0.27734375,31826,Ġchaos
49,8,0.376953125,5875,Ġmix
50,9,0.9609375,5951,-up
48,10,0.431640625,259,Ġa
51,11,0.26953125,1029,Ġlike
52,12,0.54296875,501,Ġthis
53,13,0.50390625,13,.
54,14,0.150390625,8550,ĠPeople
55,15,0.30859375,1017,Ġwould
56,16,0.3125,367,Ġbe
57,17,0.2294921875,21695,Ġconfused
58,18,0.52734375,11,","
60,19,0.58203125,11,","
61,20,0.828125,301,Ġand
59,21,0.37890625,27568,Ġscared
63,22,0.30859375,13,.
62,23,0.2158203125,22319,Ġangry
65,24,0.59765625,1017,Ġwould
66,25,0.5390625,367,Ġbe
64,26,0.34765625,43408,ĠFamilies
67,27,0.439453125,29988,Ġtorn
68,28,0.9765625,10960,Ġapart
69,29,0.498046875,11,","
70,30,0.462890625,301,Ġand
71,31,0.1201171875,268,Ġthe
73,32,0.61328125,1017,Ġwould
74,33,0.76953125,367,Ġbe
72,34,0.63671875,1931,Ġworld
75,35,0.57421875,20680,Ġthrown
76,36,0.91015625,1119,Ġinto
78,37,0.6640625,13,.
77,38,0.578125,31826,Ġchaos
79,39,0.287109375,963,ĠIt
80,40,0.5703125,698,'s
82,41,0.60546875,297,Ġto
81,42,0.25,13002,Ġimpossible
83,43,0.326171875,12834,Ġimagine
84,44,0.59375,268,Ġthe
86,45,0.330078125,300,Ġof
87,46,0.2890625,1435,Ġsuch
85,47,0.6171875,13549,Ġconsequences
88,48,0.7265625,259,Ġa
90,49,0.55859375,5951,-up
89,50,1.0,5875,Ġmix
91,51,0.56640625,11,","
92,52,0.51953125,731,Ġbut
93,53,0.64453125,403,Ġit
94,54,0.578125,698,'s
95,55,0.51171875,4217,Ġclear
96,56,0.96875,378,Ġthat
98,57,0.8125,1017,Ġwould
99,58,0.91796875,367,Ġbe
103,59,0.9453125,126081,<|endoftext|>
101,60,1.0,13,.
102,61,1.0,126348,<|eot_id|>
97,62,0.90625,403,Ġit
100,63,0.55859375,65642,Ġdisastrous
