pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.1611328125,24709,Ġgravity
33,1,0.640625,11,","
35,2,0.59765625,17286,Ġrevers
36,3,1.0,273,es
37,4,0.73828125,7076,Ġdirection
32,5,0.55859375,1813,Ġday
30,6,0.82421875,3125,On
31,7,0.5859375,501,Ġthis
38,8,0.75390625,352,Ġfor
40,9,0.8984375,6588,Ġten
41,10,1.0,4362,Ġminutes
39,11,0.98046875,6604,Ġexactly
42,12,0.859375,13,.
43,13,0.25390625,10721,ĠDuring
44,14,0.74609375,501,Ġthis
45,15,0.796875,898,Ġtime
46,16,0.98828125,11,","
47,17,0.294921875,8415,Ġobjects
48,18,0.31640625,1017,Ġwould
49,19,0.30078125,6231,Ġfloat
50,20,0.43359375,48236,Ġupwards
51,21,0.41796875,11,","
52,22,0.40625,301,Ġand
53,23,0.357421875,1255,Ġpeople
54,24,0.91015625,1017,Ġwould
55,25,0.30078125,367,Ġbe
57,26,0.482421875,297,Ġto
56,27,0.6484375,2766,Ġable
58,28,0.2353515625,4372,Ġwalk
60,29,0.248046875,13,.
59,30,0.349609375,48236,Ġupwards
61,31,0.1357421875,1077,ĠThis
62,32,0.4765625,1017,Ġwould
63,33,0.240234375,367,Ġbe
64,34,0.478515625,259,Ġa
68,35,0.421875,2526,Ġexperience
66,36,0.92578125,301,Ġand
69,37,0.443359375,352,Ġfor
65,38,0.314453125,16578,Ġstrange
67,39,0.185546875,11859,Ġexciting
70,40,0.4921875,1803,Ġthose
71,41,0.91015625,901,Ġwho
72,42,0.5,10982,Ġwitness
73,43,0.8984375,403,Ġit
74,44,0.796875,13,.
76,45,0.478515625,268,Ġthe
77,46,0.7109375,6588,Ġten
75,47,0.6328125,4474,ĠAfter
78,48,0.9609375,4362,Ġminutes
80,49,0.73828125,24709,Ġgravity
79,50,0.98828125,11,","
81,51,0.55078125,1017,Ġwould
82,52,0.83984375,944,Ġreturn
83,53,0.99609375,297,Ġto
85,54,0.57421875,5161,Ġnormal
84,55,0.99609375,1097,Ġits
93,56,0.9921875,126081,<|endoftext|>
92,57,0.81640625,126348,<|eot_id|>
91,58,1.0,13,.
86,59,0.66015625,7076,Ġdirection
88,60,0.53515625,4246,Ġeverything
87,61,0.98828125,301,Ġand
89,62,0.984375,1017,Ġwould
90,63,0.625,17738,Ġresume
