pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.298828125,49634,Dream
33,1,0.3984375,5869,ĠLaw
34,2,0.66015625,220,Ġ
35,3,0.91796875,16,1
36,4,0.8046875,25,:
37,5,0.408203125,2556,ĠAll
39,6,0.62109375,2022,Ġmust
38,7,0.83203125,16757,Ġdreams
40,8,0.279296875,367,Ġbe
42,9,0.162109375,301,Ġand
41,10,0.232421875,40265,Ġcoherent
43,11,0.271484375,1570,Ġfollow
44,12,0.5,259,Ġa
45,13,0.51953125,20296,Ġlogical
47,14,0.66796875,13,.
46,15,0.322265625,7774,Ġsequence
48,16,0.55859375,198,Ċ
53,17,0.76953125,25,:
51,18,1.0,220,Ġ
52,19,1.0,17,2
49,20,0.99609375,49634,Dream
50,21,0.99609375,5869,ĠLaw
54,22,0.3125,2556,ĠAll
55,23,0.67578125,16757,Ġdreams
56,24,0.88671875,2022,Ġmust
57,25,0.34765625,367,Ġbe
58,26,0.4921875,10544,Ġconsistent
59,27,0.63671875,391,Ġwith
61,28,0.5078125,9720,Ġlaws
62,29,0.8203125,300,Ġof
60,30,0.81640625,268,Ġthe
63,31,0.423828125,19357,Ġphysics
64,32,0.64453125,301,Ġand
69,33,0.404296875,49634,Dream
68,34,1.0,198,Ċ
70,35,1.0,5869,ĠLaw
71,36,1.0,220,Ġ
67,37,0.9609375,13,.
65,38,0.291015625,3320,Ġcommon
66,39,0.98828125,5209,Ġsense
72,40,1.0,18,3
73,41,1.0,25,:
74,42,0.7890625,2556,ĠAll
75,43,0.8828125,16757,Ġdreams
76,44,0.90234375,2022,Ġmust
77,45,0.515625,367,Ġbe
79,46,0.2734375,301,Ġand
78,47,0.2734375,22909,Ġrealistic
80,48,0.259765625,526,Ġnot
87,49,0.2451171875,126081,<|endoftext|>
86,50,0.6796875,126081,<|endoftext|>
85,51,0.59375,126081,<|endoftext|>
83,52,0.796875,13,.
84,53,1.0,126348,<|eot_id|>
81,54,0.5,39537,Ġoverly
82,55,0.224609375,77698,Ġexaggerated
88,56,1.0,126081,<|endoftext|>
89,57,1.0,126081,<|endoftext|>
90,58,1.0,126081,<|endoftext|>
91,59,1.0,126081,<|endoftext|>
92,60,1.0,126081,<|endoftext|>
93,61,1.0,126081,<|endoftext|>
94,62,1.0,126081,<|endoftext|>
95,63,1.0,126081,<|endoftext|>
