pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.1435546875,678,The
36,1,0.1875,300,Ġof
35,2,0.43359375,117064,Ġunveiling
38,3,0.470703125,44660,Ġsculpture
39,4,0.5,378,Ġthat
41,5,0.90625,268,Ġthe
37,6,0.78125,259,Ġa
40,7,0.58984375,48105,Ġforecasts
42,8,0.9921875,1389,Ġend
43,9,1.0,300,Ġof
44,10,0.98828125,1928,Ġart
45,11,0.86328125,5555,Ġitself
46,12,0.5,341,Ġis
47,13,0.59375,259,Ġa
49,14,0.21484375,301,Ġand
48,15,0.283203125,26388,Ġprofound
52,16,0.50390625,13,.
51,17,0.423828125,2867,Ġevent
53,18,0.310546875,1965,ĠAs
54,19,0.3984375,268,Ġthe
55,20,0.2412109375,13343,Ġcrowd
56,21,0.6796875,89753,Ġgathers
57,22,0.51171875,11,","
50,23,0.16796875,114906,Ġunsettling
58,24,0.330078125,792,Ġthey
59,25,0.34375,449,Ġare
61,26,0.5078125,391,Ġwith
60,27,0.6328125,2374,Ġmet
62,28,0.5078125,259,Ġa
64,29,0.173828125,378,Ġthat
63,30,0.291015625,44660,Ġsculpture
65,31,0.138671875,24020,Ġspeaks
67,32,0.7109375,268,Ġthe
66,33,0.671875,297,Ġto
70,34,0.3515625,300,Ġof
68,35,0.419921875,33486,Ġinevitable
69,36,0.392578125,18209,Ġdecline
71,37,0.283203125,26445,Ġartistic
72,38,0.7890625,6127,Ġexpression
73,39,0.69140625,13,.
74,40,0.56640625,468,ĠThe
76,41,0.2373046875,341,Ġis
78,42,0.4921875,391,Ġwith
75,43,0.36328125,3662,Ġair
77,44,0.443359375,9118,Ġheavy
79,45,0.2314453125,50511,Ġanticipation
80,46,0.435546875,301,Ġand
81,47,0.09619140625,111209,Ġcontemplation
83,48,0.63671875,409,Ġas
82,49,1.0,11,","
84,50,0.59765625,268,Ġthe
86,51,0.27734375,300,Ġof
87,52,0.58203125,1928,Ġart
85,53,0.91796875,3770,Ġfuture
88,54,0.58203125,341,Ġis
89,55,0.470703125,18104,Ġlaid
95,56,0.96484375,13,.
96,57,1.0,126348,<|eot_id|>
97,58,1.0,126081,<|endoftext|>
90,59,0.87890625,15280,Ġbare
92,60,0.78125,654,Ġall
94,61,0.9453125,1339,Ġsee
91,62,1.0,352,Ġfor
93,63,1.0,297,Ġto
