pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.1396484375,268,Ġthe
31,1,0.6328125,37968,Experience
33,2,0.828125,17125,Ġultimate
38,3,0.46875,17527,Ġsubscription
37,4,0.97265625,13619,Ġpremium
36,5,0.8046875,869,Ġour
35,6,0.9921875,391,Ġwith
34,7,0.3359375,29020,Ġrelaxation
39,8,0.65234375,16757,Ġdreams
40,9,0.52734375,13,.
41,10,0.2373046875,4300,ĠOur
43,11,0.578125,33093,Ġfarms
42,12,0.95703125,7313,Ġdream
44,13,0.228515625,449,Ġare
46,14,0.5390625,297,Ġto
45,15,0.7109375,5469,Ġdesigned
48,16,0.40234375,362,Ġyou
47,17,0.44921875,2598,Ġprovide
49,18,0.98046875,391,Ġwith
50,19,0.6484375,268,Ġthe
51,20,0.515625,1743,Ġbest
52,21,0.353515625,6476,Ġsleep
54,22,0.31640625,13,.
53,23,0.349609375,2917,Ġpossible
55,24,0.2490234375,3183,ĠWith
56,25,0.57421875,869,Ġour
58,26,0.41796875,11,","
59,27,0.9296875,362,Ġyou
57,28,0.50390625,2560,Ġservice
60,29,0.56640625,560,Ġcan
61,30,0.251953125,3827,Ġenjoy
62,31,0.28125,268,Ġthe
64,32,0.51171875,300,Ġof
63,33,0.474609375,5883,Ġbenefits
65,34,0.294921875,259,Ġa
67,35,0.4375,3945,Ġnight
68,36,0.92578125,698,'s
69,37,0.75,6476,Ġsleep
66,38,0.71484375,1505,Ġgood
70,39,0.50390625,2094,Ġwithout
71,40,0.326171875,268,Ġthe
73,41,0.46875,300,Ġof
72,42,0.388671875,37110,Ġhassle
74,43,0.2236328125,7507,Ġfinding
75,44,0.484375,259,Ġa
78,45,0.55078125,13,.
76,46,0.40625,9509,Ġcomfortable
77,47,0.6953125,4753,Ġbed
80,48,0.369140625,611,Ġus
81,49,0.79296875,3342,Ġtoday
82,50,0.91015625,301,Ġand
79,51,0.875,21613,ĠJoin
84,52,0.61328125,268,Ġthe
83,53,0.6953125,2526,Ġexperience
85,54,0.63671875,5674,Ġdifference
86,55,0.21484375,259,Ġa
91,56,0.94140625,1253,Ġmake
93,57,1.0,126348,<|eot_id|>
94,58,1.0,126081,<|endoftext|>
90,59,0.99609375,560,Ġcan
92,60,0.796875,13,.
87,61,0.6484375,13619,Ġpremium
88,62,0.93359375,17527,Ġsubscription
89,63,0.984375,7313,Ġdream
