pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.1962890625,11,","
38,1,0.390625,24545,Ġsilence
36,2,0.625,846,In
37,3,0.86328125,268,Ġthe
40,4,0.427734375,438,Ġwe
41,5,0.41796875,1491,Ġfind
42,6,0.7109375,869,Ġour
43,7,0.2373046875,7806,Ġtruth
44,8,0.765625,13,.
45,9,0.1982421875,1104,ĠWe
47,10,0.2890625,268,Ġthe
49,11,0.4375,300,Ġof
46,12,0.51953125,11061,Ġreject
50,13,0.58984375,4614,Ġwords
51,14,0.60546875,11,","
48,15,0.373046875,2548,Ġpower
52,16,0.396484375,352,Ġfor
53,17,0.66796875,792,Ġthey
54,18,0.248046875,449,Ġare
55,19,0.33984375,731,Ġbut
58,20,0.296875,300,Ġof
56,21,0.33984375,268,Ġthe
57,22,0.353515625,84377,Ġechoes
59,23,0.25390625,268,Ġthe
61,24,0.703125,13,.
60,25,0.1904296875,3714,Ġmind
63,26,0.2080078125,611,Ġus
62,27,0.94921875,2954,ĠLet
64,28,0.392578125,22797,Ġembrace
65,29,0.60546875,268,Ġthe
67,30,0.451171875,1866,ness
66,31,0.96875,2111,Ġstill
68,32,0.73046875,11,","
69,33,0.46484375,352,Ġfor
71,34,0.67578125,341,Ġis
70,35,0.98046875,403,Ġit
73,36,0.39453125,268,Ġthe
72,37,0.84765625,296,Ġin
75,38,0.61328125,378,Ġthat
74,39,0.85546875,24545,Ġsilence
76,40,0.6015625,438,Ġwe
77,41,0.330078125,9442,Ġdiscover
78,42,0.63671875,268,Ġthe
83,43,0.32421875,13,.
82,44,0.53125,12898,Ġexistence
81,45,0.6484375,869,Ġour
80,46,0.9921875,300,Ġof
79,47,0.48828125,27472,Ġessence
84,48,0.55078125,88533,ĠSilence
85,49,0.546875,341,Ġis
88,50,0.58984375,11,","
86,51,0.87890625,869,Ġour
89,52,0.69140625,301,Ġand
87,53,0.369140625,2295,Ġlanguage
90,54,0.375,438,Ġwe
91,55,0.306640625,627,Ġwill
99,56,1.0,126081,<|endoftext|>
97,57,0.9375,13,.
98,58,1.0,126348,<|eot_id|>
92,59,0.34375,15044,Ġcommunicate
96,60,0.5078125,7158,Ġalone
93,61,0.92578125,1352,Ġthrough
95,62,0.46484375,24545,Ġsilence
94,63,0.4609375,501,Ġthis
