pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.244140625,25,:
29,1,0.8125,6023,anger
28,2,0.99609375,9029,Str
30,3,0.96484375,355,ĠA
32,4,0.369140625,477,"Ġ"""
34,5,0.51953125,11,","
33,6,0.51953125,18885,Hey
35,7,0.26171875,331,ĠI
36,8,0.44921875,3180,'m
37,9,0.1884765625,11922,Ġglad
38,10,0.7109375,438,Ġwe
39,11,0.384765625,3273,'re
40,12,0.396484375,654,Ġall
41,13,0.26171875,296,Ġin
43,14,0.66015625,3361,Ġtogether
42,15,0.984375,501,Ġthis
44,16,0.53125,13,.
47,17,0.22265625,362,Ġyou
46,18,0.76953125,11284,Ġbrings
45,19,1.0,2632,ĠWhat
48,20,0.5625,1655,Ġhere
49,21,0.87109375,6608,"?"""
50,22,0.91015625,198,Ċ
51,23,0.490234375,198,Ċ
53,24,0.99609375,6023,anger
52,25,1.0,9029,Str
54,26,1.0,413,ĠB
55,27,1.0,25,:
56,28,1.0,477,"Ġ"""
58,29,0.326171875,11,","
59,30,0.41796875,331,ĠI
57,31,0.392578125,10408,Well
60,32,0.56640625,529,Ġwas
61,33,0.5703125,1125,Ġjust
62,34,0.333984375,10934,Ġwalking
63,35,0.62890625,2003,Ġhome
64,36,0.78125,546,Ġfrom
65,37,0.65234375,962,Ġwork
66,38,0.55078125,950,Ġwhen
67,39,0.4296875,268,Ġthe
68,40,0.44140625,16772,Ġstorm
69,41,0.390625,5530,Ġhit
70,42,0.41796875,11,","
72,43,0.83203125,331,ĠI
71,44,0.6171875,740,Ġso
75,45,0.28125,5800,'d
74,46,0.87890625,331,ĠI
73,47,0.64453125,3149,Ġthought
76,48,0.33984375,1491,Ġfind
77,49,0.65234375,259,Ġa
78,50,0.75390625,2242,Ġplace
79,51,0.9921875,297,Ġto
82,52,0.609375,13,.
80,53,0.439453125,1801,Ġtake
81,54,0.6953125,26597,Ġshelter
83,55,0.1787109375,2071,ĠHow
91,56,0.984375,126081,<|endoftext|>
89,57,0.8828125,6608,"?"""
90,58,1.0,126348,<|eot_id|>
85,59,0.7890625,362,Ġyou
88,60,0.55078125,1655,Ġhere
87,61,0.96875,760,Ġup
86,62,0.9765625,1389,Ġend
84,63,0.7265625,1556,Ġdid
